Day,ForecastedLogReturn
1,-0.03066735
2,-0.0034138204
3,0.0025136622
4,0.006807588
5,0.008668485
6,-0.0148222875
7,-0.0025829608
8,0.005462939
9,-0.00021237884
10,-0.0070422287
11,0.0013181318
12,0.003103426
13,-0.0101372935
14,-0.0042681755
15,0.0057457495
16,0.00600099
17,-0.0039101876
18,0.0012449212
19,0.002933243
20,-0.0017563528
21,-0.0043767984
22,0.0017760517
23,0.002035977
24,-0.00203197
25,-0.0035037647
26,0.0010896395
27,0.0045524733
28,-0.0020722328
29,-0.0032612488
30,0.0043120105
31,0.0042224857
32,-0.010252196
33,0.0013019214
34,0.0019178027
35,-0.0058394084
36,-0.00017138782
37,0.006436952
38,0.008638933
39,-0.008306216
40,-0.0054501314
41,0.003482808
42,0.0010681854
43,-0.0036120694
44,0.00042315986
45,0.0024691827
46,0.004015971
47,9.1189824e-05
48,0.0004671234
49,-0.00029645266
50,-0.0050720386
51,-0.0005661867
52,0.002875272
53,0.0016322224
54,-0.0030540642
55,0.00072172156
56,0.0018510807
57,-0.0026619434
58,-0.005982849
59,-0.0012492731
60,0.003993739
61,-0.003527022
62,0.00017069356
63,0.0046377997
64,-0.0006337824
65,-0.0066583743
66,0.0015949437
67,0.0034290948
68,-0.011624885
69,-0.0026301008
70,0.0079955775
71,0.0077427835
72,-0.001963318
73,-0.0040354324
74,0.0014997735
75,0.0063351025
76,-0.0082370555
77,-0.0039103734
78,0.0036667043
79,0.0055690343
80,-0.00737574
