Day,ForecastedLogReturn
1,-0.007528377
2,0.0047112503
3,0.00034619286
4,-0.0004739466
5,0.0034662788
6,0.000590576
7,-0.0007756897
8,0.0034726686
9,-0.0008198782
10,-0.0009997337
11,0.0022831063
12,-0.000112392256
13,-0.0009997337
14,0.0032908295
15,-0.0010388686
16,-0.0027018213
17,0.0013806266
18,-0.0025178723
19,0.0029780304
20,-0.021344014
21,-0.024053233
22,-0.045123443
23,0.009155923
24,-0.021595964
25,0.019616028
26,-0.008957291
27,-0.015164355
28,-0.007871211
29,-0.011136721
30,-0.011646253
31,-0.01702475
32,-0.020499429
33,-0.031359807
34,-0.023240423
35,-0.028423587
36,0.012274098
37,-0.01977766
38,0.028169973
39,-0.0126143275
40,-0.010456763
41,-0.032632846
42,-0.018826606
43,-0.037789024
44,-0.008827349
45,-0.014063511
46,0.032483377
47,-0.00070616
48,0.0049893847
49,-0.012835367
50,-0.03237547
51,-0.024381166
52,-0.021266496
53,-0.013638084
54,-0.0153741855
55,-0.0016491584
56,0.00840791
57,-0.0024659717
58,0.004937589
59,-0.024291096
60,-0.022109162
61,-0.029880643
62,-0.01644339
63,-0.026127525
64,0.013393357
65,-0.021848349
66,0.027658539
67,-0.004273608
68,-0.036069866
69,-0.11929602
70,0.036829483
71,-0.013333361
72,0.0018747934
73,-0.033099387
74,0.046562776
75,-0.0116305975
76,-0.006331952
77,-0.013311887
78,-0.0078226095
79,-0.025894865
80,-0.012057716
