Day,ForecastedLogReturn
1,0.035774987
2,0.0013071914
3,-0.0012594805
4,0.0010433882
5,-0.013025324
6,0.019286143
7,-0.0022735056
8,0.030436236
9,-0.0073745637
10,0.04513011
11,-0.0030164453
12,0.04058963
13,-0.00082644395
14,0.04404211
15,0.03995552
16,0.000962135
17,-0.017790908
18,0.03947359
19,-0.031125892
20,0.023240114
21,0.00894268
22,0.048738483
23,0.008003911
24,0.044300452
25,-0.0040199296
26,0.04215818
27,-0.007812482
28,0.043337494
29,0.0041499455
30,0.0006522339
31,-0.00927575
32,0.04388567
33,-0.022075588
34,0.050586935
35,0.0053183436
36,0.0027569863
37,-0.0038687417
38,0.07782181
39,-0.015505408
40,0.009998112
41,0.0022006796
42,-0.008432995
43,-0.00087669236
44,0.0061897356
45,-0.002845661
46,0.00018896906
47,-4.5025274e-07
48,0.0005405644
49,-0.0018961461
50,-0.0013781134
51,-0.0028663743
52,0.043745127
53,-0.0010278227
54,-0.0013400479
55,0.0020799804
56,-0.007933331
57,-0.016615495
58,-0.0027445164
59,0.030768787
60,0.002719704
61,0.00065964105
62,0.0016857457
63,-0.00084980286
64,-0.001258845
65,0.021970185
66,0.0020248564
67,-0.006794661
68,-0.0054176557
69,0.03841924
70,-0.0060273525
71,0.0022785233
72,-0.0031723578
73,0.03874221
74,-0.015678935
75,0.0026625213
76,-0.004530638
77,0.040361293
78,-0.016382422
79,0.006656929
80,0.0063884105
