Day,ForecastedLogReturn
1,0.0024354118
2,-0.008159838
3,0.0010321222
4,-0.007296743
5,0.0014450717
6,0.00563832
7,0.0026896559
8,0.013064191
9,-0.0017108847
10,0.00016782132
11,-0.0020478205
12,0.008441449
13,-0.0036579554
14,-0.00017422452
15,-0.013159642
16,-0.005733955
17,0.002044102
18,0.004999488
19,-0.0033057479
20,-0.0003072504
21,-0.0021237263
22,-9.5368014e-05
23,0.0026783934
24,-0.0030394252
25,-0.0035050209
26,-0.008610542
27,-0.00075890374
28,-0.0023160852
29,0.0017236894
30,-0.003082419
31,-0.0106974635
32,-0.0023687892
33,-0.0012748274
34,-0.0047042435
35,-0.009854626
36,-0.006095086
37,-0.0058686915
38,-0.008774669
39,-0.0066643823
40,-0.016617144
41,0.0038886925
42,-0.004444357
43,-0.006189225
44,0.0009376647
45,0.0065552546
46,0.004804679
47,-0.004234262
48,0.005420711
49,0.015698846
50,0.005417245
51,0.00837547
52,0.029331388
53,0.003427528
54,0.010477701
55,0.004716425
56,-0.0024147774
57,0.02048143
58,-0.0034599237
59,-0.008225839
60,-0.0044263965
61,-0.012781
62,0.0017992293
63,-0.0022061688
64,-0.0058243847
65,0.0012676656
66,0.0004120462
67,0.0009164058
68,0.0015843611
69,0.0024102032
70,0.00568028
71,-0.0011973004
72,0.00016286632
73,0.022839442
74,0.00987465
75,-0.00010830351
76,0.0033405393
77,-7.4462994e-05
78,0.0029742368
79,0.0032659024
80,0.00077291316
