Day,ForecastedLogReturn
1,-0.014949966
2,-0.0067191133
3,-0.01906675
4,-0.014194644
5,-0.0018090369
6,0.00031598218
7,0.004181512
8,-0.006300015
9,-0.003698999
10,0.00022983018
11,-0.0093758255
12,-0.0069751414
13,-0.0073169004
14,-0.009186921
15,-0.010486929
16,-0.019750431
17,-0.0018474885
18,-0.0022864207
19,-0.0046915184
20,-0.0038556103
21,-0.019496452
22,-0.016748607
23,0.0017309742
24,0.013371343
25,0.003956538
26,0.0026624263
27,0.002019962
28,-0.009512783
29,-0.007589139
30,-3.5756457e-05
31,-0.0022392308
32,0.0010724498
33,0.0052288743
34,-0.004403946
35,0.001992094
36,0.0025597857
37,-0.0025938551
38,0.00433835
39,-0.0020669769
40,-0.015122891
41,-0.004167486
42,0.004206448
43,-0.0007286972
44,-0.0022400545
45,0.0039828443
46,0.00038125506
47,-0.008965895
48,0.0005138064
49,0.0040941606
50,0.0036783428
51,0.0034622992
52,0.007302849
53,0.0017180338
54,-0.0035124668
55,-0.0021248688
56,-0.020957775
57,-0.0061301687
58,-0.004775575
59,-0.009918482
60,-0.014125022
61,0.0073723644
62,-0.0024578527
63,0.011236902
64,-0.0054264516
65,0.0012813726
66,0.002018416
67,0.0073851827
68,0.004450812
69,0.0111439265
70,-0.0015369076
71,0.007248116
72,-0.0054352623
73,-0.013684036
74,0.0038926117
75,0.0012843731
76,0.0061372556
77,0.0018969108
78,0.0036530236
79,8.071417e-05
80,0.0033871129
