Day,ForecastedLogReturn
1,0.0071726213
2,0.0101707345
3,-0.0035709664
4,-0.0068209004
5,0.0028176152
6,-0.0048787226
7,-0.008835752
8,-0.004863602
9,-0.008936101
10,-0.012298443
11,-0.009887316
12,-0.020111002
13,-0.004742688
14,-0.006631833
15,0.016795395
16,-0.0100781
17,-0.0035654302
18,0.007294877
19,-0.013340314
20,0.009199814
21,-0.013021488
22,0.002000202
23,-0.0048470534
24,-0.0037045444
25,0.001576183
26,-0.0017106334
27,-0.003704742
28,-0.008351865
29,-0.013158263
30,-0.017694179
31,-0.010408182
32,-0.0009547181
33,-0.008543376
34,-0.009569603
35,0.010868679
36,0.0016609038
37,0.0051133367
38,-0.0018577086
39,-0.00035845235
40,-0.0048451307
41,-0.011056153
42,0.0011250173
43,-0.013386862
44,-0.014992731
45,0.006849058
46,-0.0019638804
47,0.003836582
48,-0.0041643903
49,0.021003986
50,0.000628084
51,-0.0056364113
52,-0.002935336
53,-0.0083275
54,-0.020004518
55,-0.018464115
56,-0.007302245
57,0.011611837
58,0.0018924959
59,-0.0011272419
60,0.051147636
61,-0.008404423
62,-0.023453072
63,-0.0052407114
64,-0.01604307
65,0.0052595623
66,-0.00029865565
67,0.008212403
68,0.010856169
69,0.024102429
70,-0.0026564244
71,0.00030838978
72,0.002936825
73,-0.034557782
74,-0.021652803
75,-0.012127445
76,0.002186795
77,0.008067795
78,0.029110307
79,-0.006144154
80,-0.005432798
