Day,ForecastedLogReturn
1,-0.0014859906
2,-0.008926603
3,-0.004669318
4,-0.013787072
5,-0.0007716117
6,-0.0053786384
7,0.025100825
8,-0.0054902104
9,-0.019112438
10,0.009840014
11,-0.004857851
12,0.024686903
13,0.013316684
14,0.0094507225
15,-0.018137118
16,-0.004881023
17,0.0143414
18,0.010296979
19,-0.014170161
20,0.014737717
21,0.013348899
22,0.00088322
23,-0.011416086
24,-0.018807769
25,-0.00979556
26,0.0035826513
27,-0.00736701
28,0.0014373995
29,0.0017406718
30,-0.00044753126
31,-0.0076957745
32,-0.004934022
33,0.0063087232
34,-0.005454884
35,-0.002957416
36,0.0028142596
37,-0.0049281963
38,0.0054301647
39,0.00074420235
40,-0.0045803515
41,0.008433039
42,0.0032303643
43,-0.0055572297
44,0.012380702
45,0.009452513
46,0.011202074
47,0.0035435038
48,0.018782644
49,0.01443963
50,-0.0020211646
51,0.00025100092
52,0.0012769292
53,-0.00029719793
54,-0.003403999
55,0.005141522
56,-0.004099491
57,0.00027125285
58,-0.004823367
59,-0.014652562
60,-0.007463707
61,0.003386883
62,0.012045442
63,0.00038917016
64,0.013245898
65,0.0026804283
66,0.00044252712
67,0.017048929
68,0.0036819098
69,0.0031735154
70,-0.0036906663
71,0.005706135
72,0.001242849
73,-0.0030544
74,-0.0011168142
75,0.006347184
76,-0.0040945276
77,0.00017257356
78,0.0022598284
79,9.8793025e-05
80,0.0013301037
