Day,ForecastedLogReturn
1,-0.00045429266
2,-0.00045429266
3,-1.7954688e-05
4,5.315644e-05
5,5.315644e-05
6,-0.00038318156
7,-0.00045429266
8,-1.7954688e-05
9,5.315644e-05
10,5.315644e-05
11,-0.00038318156
12,-0.00045429266
13,-1.7954688e-05
14,5.315644e-05
15,5.315644e-05
16,-0.00038318156
17,-0.00045429266
18,-1.7954688e-05
19,5.315644e-05
20,5.315644e-05
21,-0.00038318156
22,-0.00045429266
23,-1.7954688e-05
24,5.315644e-05
25,5.315644e-05
26,-0.00038318156
27,-0.00045429266
28,-1.7954688e-05
29,5.315644e-05
30,5.315644e-05
31,-0.00038318156
32,-0.00045429266
33,-1.7954688e-05
34,5.315644e-05
35,5.315644e-05
36,-0.00038318156
37,-0.00045429266
38,-1.7954688e-05
39,5.315644e-05
40,5.315644e-05
41,-0.00038318156
42,-0.00045429266
43,-1.7954688e-05
44,5.315644e-05
45,5.315644e-05
46,-0.00038318156
47,-0.00045429266
48,-1.7954688e-05
49,5.315644e-05
50,5.315644e-05
51,-0.00038318156
52,-0.00045429266
53,-1.7954688e-05
54,5.315644e-05
55,5.315644e-05
56,-0.00038318156
57,-0.00045429266
58,-1.7954688e-05
59,5.315644e-05
60,5.315644e-05
61,-0.00038318156
62,-0.00045429266
63,-1.7954688e-05
64,5.315644e-05
65,5.315644e-05
66,-0.00038318156
67,-0.00045429266
68,-1.7954688e-05
69,5.315644e-05
70,5.315644e-05
71,-0.00038318156
72,-0.00045429266
73,-1.7954688e-05
74,5.315644e-05
75,5.315644e-05
76,-0.00038318156
77,-0.00045429266
78,-1.7954688e-05
79,5.315644e-05
80,5.315644e-05
