Day,ForecastedLogReturn
1,-0.0029731083
2,-0.001284326
3,-0.0015947497
4,0.0061245696
5,0.004199362
6,-0.0017168028
7,-0.0026576167
8,-0.003298083
9,0.005788647
10,-0.004412296
11,-0.0017484254
12,-0.0005041426
13,-0.009092251
14,0.00021790466
15,-0.0038808126
16,-0.0026591755
17,0.00037600257
18,0.00051615894
19,-0.0018957331
20,-0.0050263703
21,-0.0020041142
22,-0.00092232233
23,-0.0075880215
24,0.0026885748
25,-0.0020542922
26,0.00064946833
27,-0.0027379487
28,0.009404663
29,-0.005156943
30,0.0002296791
31,-0.0025145551
32,-0.007264913
33,-0.0070232144
34,0.0049649067
35,0.004217527
36,-0.006231808
37,0.0047144913
38,0.01330262
39,-0.003785003
40,4.7241952e-05
41,-0.0076494017
42,-0.0006382033
43,-0.0033766516
44,0.0016729177
45,-0.004301713
46,-0.00010203976
47,-0.0094001135
48,-0.0023426134
49,-0.003554924
50,-0.00010933791
51,-0.0042563425
52,-0.0040025515
53,-0.0073289517
54,-0.0013007806
55,0.0003456347
56,0.00022127776
57,0.0025427626
58,0.0041388795
59,-0.0007270986
60,-0.0033268486
61,-0.0006893216
62,-0.003447866
63,-0.005705544
64,-0.0066789826
65,0.00598509
66,7.994267e-05
67,-0.004890562
68,-0.0012848456
69,0.013480388
70,-0.005425375
71,0.008009069
72,0.003812686
73,0.012838093
74,0.0014268816
75,-0.0039619408
76,-0.0018330201
77,-0.006115236
78,-0.0030715982
79,0.0047407653
80,-0.007118717
