Day,ForecastedLogReturn
1,0.035662703
2,0.014297598
3,-0.013733137
4,-0.0012901243
5,0.0036834064
6,-0.027040182
7,0.03322737
8,0.000659209
9,-0.012221641
10,0.011822416
11,0.00944618
12,-0.00035339574
13,-0.0020090379
14,0.00501133
15,0.0024641487
16,0.0073341304
17,-0.0036385548
18,-0.0023756227
19,-0.0031356574
20,0.0026577723
21,0.0073341304
22,0.008065867
23,-0.0054802964
24,-0.016283844
25,0.007937086
26,-0.009801809
27,-0.013233587
28,0.001648226
29,0.012898448
30,0.0036373418
31,-0.010554068
32,0.0066133114
33,-0.0008894157
34,0.00071462494
35,0.00071124744
36,0.013534664
37,0.0012768824
38,-0.0062152706
39,-0.004883793
40,0.013666989
41,-0.008900157
42,0.007145695
43,-0.015471639
44,-0.0076704198
45,-0.027155481
46,-0.023825034
47,-0.012458857
48,0.0025214872
49,0.010495366
50,0.03818538
51,0.0082717715
52,-0.0027595113
53,-0.0018298565
54,-0.0027462544
55,0.0070304936
56,0.007792477
57,0.0053597437
58,-0.019238578
59,-0.023671677
60,-0.003582564
61,-0.0153319
62,0.0016408369
63,0.03611096
64,0.006031775
65,-0.014497555
66,0.00404959
67,0.009295399
68,-0.021062331
69,-0.020633914
70,-0.009394558
71,-0.020805849
72,-0.026781544
73,0.03401079
74,0.00042097364
75,-0.018278474
76,0.04461848
77,-0.007819395
78,-0.028123328
79,0.018641502
80,-0.007379152
