Day,ForecastedLogReturn
1,-0.00047495324
2,0.0040254463
3,-0.0029098098
4,-0.004840593
5,0.00038616007
6,0.00045910952
7,0.0019305088
8,-0.00518425
9,-0.006079086
10,-0.0029080869
11,-0.0015099954
12,-0.002539691
13,-0.002868463
14,9.27527e-05
15,-0.008145757
16,0.0021044805
17,-0.0071802554
18,-0.0013868706
19,-0.0032665187
20,-0.0027318886
21,-0.00074754714
22,-0.0029005057
23,0.0002590322
24,-0.0069158534
25,-0.0053234925
26,-6.1740866e-05
27,-0.006227529
28,-0.006281797
29,0.0010084817
30,0.0014606796
31,-0.0043591247
32,-0.006725618
33,0.00025110433
34,0.0010057049
35,-0.007991692
36,0.0040983623
37,0.00088336697
38,-0.0038106113
39,-0.0032830215
40,0.0018412262
41,0.004219899
42,-0.005540902
43,-0.0001208858
44,-0.00893377
45,-0.0029586721
46,-0.0020159886
47,-6.818679e-05
48,-0.003437413
49,-0.0005936785
50,-0.0018586336
51,-0.0033630342
52,-0.0026222274
53,-0.0062697562
54,-0.0061571407
55,-0.0007798598
56,-0.0030925607
57,-0.0050371694
58,-0.000117425196
59,-0.0009808071
60,-0.0052270093
61,-0.0005829208
62,-0.00012622624
63,-0.0046271603
64,-0.002341219
65,0.001356761
66,-0.003219215
67,-0.0020461138
68,5.6772184e-05
69,-0.0049974844
70,-0.002130425
71,-0.009060735
72,-0.00517013
73,-0.0006679697
74,0.00045892523
75,-0.0030632594
76,-0.006673656
77,-0.00028770385
78,-0.0013750915
79,-0.0032033217
80,-0.00838012
