Day,ForecastedLogReturn
1,-0.0069796653
2,-0.009440032
3,0.013851665
4,0.14199278
5,0.03716456
6,-0.014134664
7,-0.006641686
8,-0.029346967
9,-0.032515872
10,0.039595984
11,-0.016898692
12,-0.004586258
13,-0.012781748
14,-0.03430478
15,0.03531024
16,-0.016684582
17,0.0033179065
18,-0.022021113
19,-0.01353697
20,0.028004345
21,0.0011335813
22,0.0004142984
23,0.0010824994
24,-0.006374099
25,0.0034043267
26,0.011532337
27,-0.0067646797
28,0.008015316
29,-0.0004658485
30,0.007766122
31,-0.005653959
32,-0.0012964953
33,0.011052227
34,-0.013811555
35,0.009556427
36,-0.010167887
37,0.0250588
38,-0.0030558545
39,-0.0011503947
40,0.00068529294
41,-0.006475593
42,0.00047205118
43,0.0032359755
44,-0.0080323545
45,0.0076764813
46,-0.0041998406
47,-0.001766779
48,-0.0025471293
49,-0.0069677383
50,0.0062044
51,-0.0039514275
52,-0.008896949
53,0.0022791272
54,-0.0027348204
55,0.003110382
56,-0.006271067
57,0.0040290332
58,0.011227053
59,-0.01351529
60,0.0041160714
61,-0.0089327395
62,0.0035971473
63,0.0024786138
64,0.0027931563
65,0.002278114
66,-0.0012283552
67,-0.003955017
68,-0.0060220286
69,0.00030767338
70,0.011227053
71,-0.013820575
72,-0.0050623505
73,-0.0015865609
74,0.013187373
75,-0.00066663855
76,-0.0017615772
77,0.0013121349
78,-0.0110031245
79,-0.00067430997
80,-0.0042568776
