Day,ForecastedLogReturn
1,-0.0025582477
2,-0.0071994485
3,-0.0034107517
4,-0.17402801
5,0.020825157
6,-0.015937323
7,-0.0054716966
8,0.06730601
9,-0.0828135
10,-0.005298299
11,-0.04548118
12,0.017363477
13,0.045299474
14,0.005026609
15,-0.019431645
16,-0.042817082
17,0.07515448
18,0.035581987
19,-0.04885566
20,-0.0036747595
21,0.02941822
22,-0.040563885
23,-0.004832496
24,0.006852552
25,0.0034143657
26,0.0010560073
27,-0.0003836312
28,-0.000631361
29,0.002877875
30,-0.002418001
31,-9.6836084e-05
32,0.0019601388
33,-0.00036102528
34,-9.6836084e-05
35,0.0019601388
36,-0.00036102528
37,-9.6836084e-05
38,0.0019601388
39,-0.00036102528
40,-9.6836084e-05
41,0.0019601388
42,-0.00036102528
43,-9.6836084e-05
44,0.0019601388
45,-0.00036102528
46,-9.6836084e-05
47,0.0019601388
48,-0.00036102528
49,-9.6836084e-05
50,0.0019601388
51,-0.00036102528
52,-9.6836084e-05
53,0.0019601388
54,-0.00036102528
55,-9.6836084e-05
56,0.0019601388
57,-0.00036102528
58,-9.6836084e-05
59,0.0019601388
60,-0.00036102528
61,-9.6836084e-05
62,0.0019601388
63,-0.00036102528
64,-9.6836084e-05
65,0.0019601388
66,-0.00036102528
67,-9.6836084e-05
68,0.0019601388
69,-0.00036102528
70,-9.6836084e-05
71,0.0019601388
72,-0.00036102528
73,-9.6836084e-05
74,0.0019601388
75,-0.00036102528
76,-9.6836084e-05
77,0.0019601388
78,-0.00036102528
79,-9.6836084e-05
80,0.0019601388
