Day,ForecastedLogReturn
1,-0.0025837205
2,-0.004845085
3,-0.0036407453
4,0.004240486
5,0.0036779214
6,0.008603657
7,0.0053953817
8,0.0173633
9,0.008177938
10,0.0029977271
11,-0.0026539764
12,-0.0008573014
13,0.024869794
14,0.0009974752
15,0.005527521
16,0.0057155485
17,-0.0046380768
18,0.0017423296
19,0.002076611
20,0.0016784011
21,0.0068372954
22,0.0008419816
23,0.0004525726
24,-0.002345644
25,0.0026621437
26,-0.0011948931
27,0.004073434
28,0.007919579
29,0.00023648726
30,0.018430864
31,0.003192749
32,0.00784502
33,-0.009561939
34,0.028424883
35,-0.0015949183
36,-0.0014585468
37,-0.028708665
38,0.0024087098
39,-0.0019541378
40,0.0113898255
41,0.004281005
42,0.00034300826
43,0.005215688
44,0.008702984
45,-0.0019433285
46,0.013058584
47,-0.0025364934
48,0.0061446643
49,0.0053570746
50,0.004279405
51,0.0046567325
52,0.002076611
53,0.0013330088
54,0.0009943242
55,0.002076611
56,0.002076611
57,0.002076611
58,0.002076611
59,0.002076611
60,0.002076611
61,0.002076611
62,0.002076611
63,0.002076611
64,0.002076611
65,0.002076611
66,0.002076611
67,0.002076611
68,0.002076611
69,0.002076611
70,0.002076611
71,0.002076611
72,0.002076611
73,0.002076611
74,0.002076611
75,0.002076611
76,0.002076611
77,0.002076611
78,0.002076611
79,0.002076611
80,0.002076611
