Day,ForecastedLogReturn
1,0.0136456005
2,-0.005238858
3,-0.0019988536
4,0.018880527
5,-0.0026012077
6,0.017183917
7,0.00071197137
8,-0.0066553303
9,0.019627616
10,-0.0040349467
11,0.016902508
12,0.017954154
13,-0.008804195
14,0.006061958
15,-0.0073937825
16,0.018875139
17,0.02627881
18,-0.010308231
19,0.0063740714
20,-0.0014847011
21,0.025126725
22,0.026702505
23,-0.011880556
24,-0.0026997153
25,0.0023184384
26,-0.0052530454
27,0.028760266
28,0.0050180713
29,0.00051739934
30,0.011605944
31,-0.0051277066
32,0.016369322
33,0.001093428
34,-6.2117583e-06
35,0.01487078
36,0.001225404
37,0.0036494264
38,0.00018081635
39,-0.0016650232
40,0.022515161
41,0.0015431873
42,0.0024484494
43,-0.0036158743
44,0.006533937
45,0.0040648533
46,0.0018986333
47,-0.0040556244
48,-4.1069583e-05
49,-0.0047959858
50,0.0029855124
51,-0.012391661
52,0.0069365017
53,0.025004175
54,0.014028783
55,0.0082270615
56,-0.0069722775
57,0.00910451
58,0.011106334
59,0.006068737
60,0.010451965
61,-0.00031238407
62,-0.0012149381
63,0.0021968328
64,-0.0018746854
65,0.011279732
66,-0.00042131165
67,-0.0021250162
68,0.004425312
69,-0.0011360836
70,0.002333996
71,-0.003841428
72,0.0018887757
73,-0.0124706775
74,-0.00029962917
75,-0.0028730286
76,0.010986263
77,0.0029906742
78,0.0069613117
79,-0.014842359
80,0.0011315668
