Day,ForecastedLogReturn
1,0.0072002187
2,-0.008603138
3,0.10144836
4,-0.008591386
5,-0.005081504
6,-0.027891453
7,0.009480588
8,-0.0020511204
9,-0.017823434
10,0.0122555625
11,-0.018447021
12,0.0042458186
13,-0.004020463
14,-0.0059656496
15,-0.0071601365
16,0.0059611946
17,-0.0004056689
18,0.00092489435
19,-9.45176e-05
20,0.016542673
21,-0.011095818
22,0.0036198813
23,0.0067716558
24,0.008996231
25,-0.009534888
26,-0.0031746356
27,-0.0017272277
28,-0.0075624515
29,-0.005702841
30,-0.0012248931
31,0.005396067
32,-0.0067824675
33,0.0016698093
34,0.0052061747
35,0.0038268876
36,0.00026851433
37,0.010575526
38,-0.00053637417
39,0.0035113655
40,-0.0074595353
41,0.001366476
42,-0.00021501003
43,0.003095247
44,-0.0063184877
45,-0.004052923
46,-0.010368638
47,-0.0011903408
48,-0.0022762762
49,-0.007927472
50,0.002943584
51,0.004616381
52,0.0036911778
53,0.0016518339
54,0.009655195
55,-2.6057014e-05
56,0.0077996096
57,-0.002226128
58,-0.0017878353
59,-0.010009443
60,-0.002850135
61,-0.007986999
62,0.00092692056
63,0.014123224
64,0.00021584876
65,-0.0052244305
66,0.012036787
67,0.0076495023
68,0.0008750112
69,0.007144432
70,0.008794335
71,0.0015839151
72,-0.00013480667
73,0.021576717
74,-0.0022705588
75,-0.011629736
76,0.007836448
77,0.001281657
78,-0.005732367
79,-0.00054592045
80,0.012533789
