Day,ForecastedLogReturn
1,-0.0029320687
2,0.005959295
3,0.0010352597
4,0.017064182
5,0.0032338502
6,0.004898275
7,0.0033051101
8,-0.0065915273
9,0.0036057218
10,0.00054460444
11,-0.004237214
12,-0.00893449
13,-0.0024987215
14,-0.0018639988
15,-0.0021718314
16,-0.0017652863
17,0.010830427
18,-0.0036602167
19,0.008491495
20,-0.0053719473
21,0.000977705
22,0.006228784
23,-0.0075766924
24,0.021537961
25,0.00062593346
26,-0.007431105
27,-5.6035035e-05
28,0.012908947
29,0.0034314098
30,-0.0008277655
31,0.002174418
32,0.0022619204
33,0.007933319
34,-0.0007253739
35,-0.004703484
36,0.0040514823
37,0.016134858
38,0.008883093
39,-0.0020989832
40,0.010683171
41,-0.0047458727
42,0.016581109
43,0.0029498476
44,0.004369325
45,0.0010048054
46,0.0034356064
47,0.0003342276
48,0.0042731944
49,0.0032660256
50,0.0017088958
51,-0.0027401668
52,0.022438237
53,0.0006571899
54,-0.011525913
55,0.0041724797
56,-0.003143595
57,-0.0015939495
58,0.0034667691
59,0.010622691
60,0.0018413138
61,0.0012634293
62,0.008093847
63,-0.0009291741
64,0.001728937
65,0.002043665
66,0.00242773
67,2.9058978e-05
68,0.001533864
69,0.0055414545
70,0.0038041028
71,0.0059365616
72,0.0025908994
73,0.009152627
74,-0.006779136
75,-0.0017804792
76,0.0035426028
77,0.0032412298
78,-0.0018448288
79,0.0030492905
80,0.002059462
