Day,ForecastedLogReturn
1,-0.007840283
2,-0.04513074
3,0.0012752757
4,-0.019462228
5,0.008901851
6,-0.016660461
7,-0.0103575755
8,-0.00085933815
9,-0.037347253
10,0.11744698
11,0.014390512
12,0.012001753
13,-0.009535385
14,-0.015505984
15,0.006284781
16,-0.0060432698
17,0.009167195
18,-0.0025597098
19,-0.03688247
20,0.08724701
21,-0.017261956
22,0.01225608
23,-0.02094965
24,-0.009299859
25,0.009208844
26,-0.03214615
27,-0.017731579
28,0.004640802
29,-0.049200524
30,0.12027963
31,-0.042802215
32,-0.015929563
33,-0.04667934
34,-0.030545821
35,0.0025509617
36,-0.03630236
37,0.012169092
38,-0.0053153858
39,-0.033889763
40,0.11780079
41,-0.017957479
42,-0.015864376
43,-0.016572053
44,-0.016211972
45,0.0057264366
46,-0.005545188
47,0.001429716
48,0.002830154
49,-0.032595478
50,-0.035578925
51,-0.016986404
52,0.004360306
53,-0.0038760672
54,-0.004388497
55,-0.009908232
56,-0.021629788
57,-0.018050626
58,0.013743234
59,-0.015339327
60,-0.0017602356
61,-0.0063515515
62,-0.05063611
63,0.12715863
64,-0.050869707
65,-0.042584594
66,-0.070969604
67,-0.055223588
68,0.09322795
69,-0.041630916
70,-0.023123471
71,-0.004207035
72,-0.03922838
73,0.12000523
74,0.018982207
75,0.013400062
76,-0.00897156
77,-0.016852565
78,0.0054619056
79,-0.01016794
80,0.011174456
