Day,ForecastedLogReturn
1,-0.00014808601
2,-0.004215152
3,-0.0035093438
4,-0.0078061633
5,-0.016897725
6,-0.009468713
7,-0.0015139236
8,-0.0062142694
9,0.0047034984
10,0.0048669153
11,0.006599518
12,0.011847987
13,-0.004855791
14,0.0066543855
15,0.0029013064
16,-0.028254481
17,-0.0020553165
18,-0.0019640885
19,-0.03172962
20,0.0116590625
21,0.0034764116
22,-0.009895643
23,0.006184237
24,0.0059978785
25,0.013641331
26,0.0091134235
27,-0.0069770534
28,-0.04644094
29,-0.04865855
30,0.0005908807
31,0.020597832
32,-0.009780422
33,-0.005042672
34,-0.0001404294
35,0.0156597
36,-0.025606927
37,0.008992322
38,0.0070223603
39,0.006123118
40,0.002718022
41,0.0030269918
42,-0.014104961
43,-0.024574809
44,-0.04889123
45,0.013756701
46,-0.0011640715
47,-0.0037804788
48,-0.011333233
49,-0.011500068
50,-0.013862095
51,0.0033261494
52,-0.015629895
53,0.0053513455
54,0.0034806214
55,-0.016598852
56,0.007249483
57,0.010991076
58,-0.007646242
59,0.008320863
60,0.015033946
61,0.01802024
62,-0.010430778
63,-0.008072983
64,-0.011882709
65,-0.009785181
66,-0.009625307
67,0.0050314073
68,0.011803813
69,0.01230336
70,-0.0012912618
71,-0.0026569488
72,0.0023412155
73,-0.019368483
74,-0.00441478
75,-0.0013515878
76,-0.004532062
77,0.002773725
78,0.013331924
79,-0.006882881
80,-0.0051463684
