Day,ForecastedLogReturn
1,-0.0015971324
2,-0.0030439298
3,0.01144244
4,0.0009137732
5,0.008548009
6,-0.00083747157
7,-0.001109383
8,0.009578841
9,0.008903338
10,0.0073950877
11,-0.0077659576
12,-0.016846858
13,-0.022889014
14,-0.001633006
15,-0.005165571
16,0.014695329
17,0.0031200796
18,0.0056498703
19,-0.004471626
20,-0.0071132015
21,-0.0159175
22,-0.0024176652
23,-0.0031752037
24,0.0041814824
25,0.0027468556
26,0.00013254507
27,-0.006202488
28,-0.0034919642
29,-0.0048058885
30,0.00038441338
31,0.0015242829
32,-0.0007083505
33,-0.0034388094
34,-0.007858407
35,0.0011347809
36,-0.0138252815
37,-0.006224889
38,0.0011867211
39,-0.0067705777
40,0.0117291035
41,0.0075724972
42,-0.0016925002
43,0.006596785
44,0.0017440831
45,0.0010200688
46,-0.0043477267
47,0.00043189383
48,0.0023439238
49,-0.001183566
50,0.003569592
51,-0.0015288264
52,-0.005150729
53,0.0056694015
54,0.0023798977
55,-0.0029227922
56,-0.00879415
57,0.0021302036
58,-0.004138653
59,0.0010834964
60,-0.0097463755
61,0.009370478
62,0.0011585915
63,-0.007895863
64,-0.01613103
65,0.006382526
66,-0.0052586165
67,-0.0020089473
68,-0.0006098085
69,0.00464523
70,0.006703701
71,-0.0020537858
72,-0.004978832
73,-0.003548069
74,-0.003226002
75,-0.0107648885
76,-0.004722846
77,0.0015322986
78,-0.002948376
79,-0.008788766
80,0.0056080967
