Company,BestModel,MAE,RMSE
AETEC,Xgboost,0,0
AMV,Xgboost,0,0
ARTES,Xgboost,7.921111762451174e-21,8.288829389654511e-20
AST,ARMA-GARCH,3.779787390316438e-21,7.474151627018592e-20
BHASS,ARMA-GARCH,1.124010891561646e-20,1.3963696075343407e-19
PLTU,ARMA-GARCH,1.2717914046750785e-21,3.321299750275017e-20
BS,Xgboost,1.9917452050452557e-21,1.0390992441407251e-20
BTEI,Xgboost,9.617922497855282e-21,6.603563318258268e-20
CC,Xgboost,4.8320988188769e-20,2.334208842107881e-19
CELL,Xgboost,0,0
CIL,Xgboost,0,0
CITY,Xgboost,9.297905307685796e-21,8.65367036065529e-20
ALKM,ARMA,0,0
ECYCL,Xgboost,4.692815373444721e-21,7.315142513999236e-20
GIF,Xgboost,6.883823317368282e-21,1.5454145018806638e-19
HANL,Xgboost,7.641953638664349e-21,1.151376410185541e-19
ICF,Xgboost,5.246139544284699e-21,3.372795840567758e-20
LNDOR,Xgboost,0,0
LSTR,Xgboost,1.2465078869294422e-19,5.851252244497767e-19
MIP,Xgboost,6.938893903907229e-20,6.938893903907229e-19
MNP,Xgboost,1.0620755975368206e-20,1.175502277425235e-19
MPBS,Xgboost,0,0
NAKL,Xgboost,6.84039225542905e-22,1.2178972160235194e-20
NBL,Xgboost,5.3540848023975525e-21,4.818676322157797e-20
OTH,Xgboost,1.264375711353358e-21,3.311602504029994e-20
PLAST,Xgboost,1.172110456741086e-20,1.425933913527082e-19
SAH,Xgboost,0,0
SAMAA,Xgboost,7.744301232039317e-21,1.159060876410498e-19
SERVI,Xgboost,4.89804275569922e-20,2.9149184816473977e-19
SIPHA,Xgboost,3.6520494231090675e-20,2.5170013646589177e-19
SITS,Xgboost,0,0
SMD,Xgboost,1.486905836551549e-19,1.2440346766628906e-18
SOPAT,Xgboost,1.652117596168388e-20,1.6929167667512993e-19
SOTE,Xgboost,1.2355580313225122e-20,9.259268919016985e-20
SPDI,Xgboost,1.319181350552705e-20,2.139352639409673e-19
STAR,Xgboost,1.7209558293420704e-20,1.0111842061714066e-19
STIP,Xgboost,1.320550742958123e-19,6.768737511571963e-19
STVR,Xgboost,1.3266608861636975e-20,1.3528488700532375e-19
TINV,Xgboost,1.4565131071880738e-19,6.763302125742522e-19
TJL,Xgboost,2.376333528735352e-20,1.435667363815174e-19
TLNET,Xgboost,2.5068258323364263e-21,6.594429180406063e-20
TLS,Xgboost,1.0979262506182323e-20,1.272363421182347e-19
TRE,Xgboost,0,0
UMED,Xgboost,3.7494023255982865e-21,5.702708231663874e-20
WIFAK,Xgboost,6.883823317368282e-21,1.092773074023848e-19
