Day,ForecastedLogReturn,ForecastedVolatility
1,-0.002007559,-9.500069092531905e-06
2,-0.0012440959,-5.887247597611969e-06
3,-0.00044709674,-2.1157286241105996e-06
4,-0.00011762143,-5.566021856360436e-07
5,-0.00051331887,-2.4291016367204847e-06
6,-6.145292e-05,-2.908044057384392e-07
7,-0.0010378915,-4.911457714148079e-06
8,-0.0010378915,-4.911457714148079e-06
9,-0.0010378915,-4.911457714148079e-06
10,-0.0010378915,-4.911457714148079e-06
11,-0.0010378915,-4.911457714148079e-06
12,-0.0010378915,-4.911457714148079e-06
13,-0.0010378915,-4.911457714148079e-06
14,-0.0010378915,-4.911457714148079e-06
15,-0.0010378915,-4.911457714148079e-06
16,-0.0010378915,-4.911457714148079e-06
17,-0.0010378915,-4.911457714148079e-06
18,-0.0010378915,-4.911457714148079e-06
19,-0.0010378915,-4.911457714148079e-06
20,-0.0010378915,-4.911457714148079e-06
21,-0.0010378915,-4.911457714148079e-06
22,-0.0010378915,-4.911457714148079e-06
23,-0.0010378915,-4.911457714148079e-06
24,-0.0010378915,-4.911457714148079e-06
25,-0.0010378915,-4.911457714148079e-06
26,-0.0010378915,-4.911457714148079e-06
27,-0.0010378915,-4.911457714148079e-06
28,-0.0010378915,-4.911457714148079e-06
29,-0.0010378915,-4.911457714148079e-06
30,-0.0010378915,-4.911457714148079e-06
31,-0.0010378915,-4.911457714148079e-06
32,-0.0010378915,-4.911457714148079e-06
33,-0.0010378915,-4.911457714148079e-06
34,-0.0010378915,-4.911457714148079e-06
35,-0.0010378915,-4.911457714148079e-06
36,-0.0010378915,-4.911457714148079e-06
37,-0.0010378915,-4.911457714148079e-06
38,-0.0010378915,-4.911457714148079e-06
39,-0.0010378915,-4.911457714148079e-06
40,-0.0010378915,-4.911457714148079e-06
41,-0.0010378915,-4.911457714148079e-06
42,-0.0010378915,-4.911457714148079e-06
43,-0.0010378915,-4.911457714148079e-06
44,-0.0010378915,-4.911457714148079e-06
45,-0.0010378915,-4.911457714148079e-06
46,-0.0010378915,-4.911457714148079e-06
47,-0.0010378915,-4.911457714148079e-06
48,-0.0010378915,-4.911457714148079e-06
49,-0.0010378915,-4.911457714148079e-06
50,-0.0010378915,-4.911457714148079e-06
51,-0.0010378915,-4.911457714148079e-06
52,-0.0010378915,-4.911457714148079e-06
53,-0.0010378915,-4.911457714148079e-06
54,-0.0010378915,-4.911457714148079e-06
55,-0.0010378915,-4.911457714148079e-06
56,-0.0010378915,-4.911457714148079e-06
57,-0.0010378915,-4.911457714148079e-06
58,-0.0010378915,-4.911457714148079e-06
59,-0.0010378915,-4.911457714148079e-06
60,-0.0010378915,-4.911457714148079e-06
61,-0.0010378915,-4.911457714148079e-06
62,-0.0010378915,-4.911457714148079e-06
63,-0.0010378915,-4.911457714148079e-06
64,-0.0010378915,-4.911457714148079e-06
65,-0.0010378915,-4.911457714148079e-06
66,-0.0010378915,-4.911457714148079e-06
67,-0.0010378915,-4.911457714148079e-06
68,-0.0010378915,-4.911457714148079e-06
69,-0.0010378915,-4.911457714148079e-06
70,-0.0010378915,-4.911457714148079e-06
71,-0.0010378915,-4.911457714148079e-06
72,-0.0010378915,-4.911457714148079e-06
73,-0.0010378915,-4.911457714148079e-06
74,-0.0010378915,-4.911457714148079e-06
75,-0.0010378915,-4.911457714148079e-06
76,-0.0010378915,-4.911457714148079e-06
77,-0.0010378915,-4.911457714148079e-06
78,-0.0010378915,-4.911457714148079e-06
79,-0.0010378915,-4.911457714148079e-06
80,-0.0010378915,-4.911457714148079e-06
