Day,ForecastedLogReturn,ForecastedVolatility
1,0.0076503544,0.00010349487885793424
2,0.0010994667,1.487371255423249e-05
3,0.014394829,0.00019473491142446185
4,0.0019009871,2.57167734800531e-05
5,0.002623186,3.5486763191745334e-05
6,0.004668093,6.315049931050791e-05
7,0.00016938132,2.2914101405569e-06
8,-0.001981186,-2.680171298934352e-05
9,0.0072697373,9.83458467197714e-05
10,-0.008573706,-0.00011598608942894531
11,-0.014922825,-0.00020187769745897208
12,-0.0069020046,-9.337111599288158e-05
13,0.0016036844,2.1694827787901274e-05
14,0.0042012716,5.683528748180019e-05
15,0.010412388,0.00014085998244514392
16,0.01345267,0.00018198926955127482
17,0.003488178,4.718847385417224e-05
18,0.009352572,0.00012652267872014113
19,-0.00065849005,-8.90812958234605e-06
20,-0.0017441525,-2.3595096811528592e-05
21,-0.020249637,-0.0002739394280778507
22,-0.0025395055,-3.435472374835048e-05
23,-0.01616355,-0.000218662377196205
24,0.00032182157,4.35363942259585e-06
25,-0.0076586413,-0.00010360698511096163
26,0.0035976768,4.866978701896388e-05
27,-0.00453431,-6.134067249157347e-05
28,0.023062667,0.0003119944235677517
29,-0.004725651,-6.392915144612551e-05
30,0.012270799,0.00016600078611209382
31,-0.0016956091,-2.2938395503388743e-05
32,-0.0019012113,-2.5719806698800725e-05
33,0.010316379,0.00013956117266630735
34,-0.01667878,-0.0002256324681969721
35,-0.013779035,-0.00018640437614386807
36,-0.011445164,-0.0001548314982577906
37,0.0074308473,0.00010052536085377173
38,0.002591446,3.505738162776466e-05
39,0.009928572,0.00013431486964406966
40,0.00061170565,8.275224709967665e-06
41,4.583556e-05,6.20068764283586e-07
42,-0.0036919815,-4.994555315464612e-05
43,0.005741644,7.767362626836087e-05
44,0.001755906,2.3754099839149284e-05
45,-9.811281e-05,-1.3272814425339848e-06
46,0.012654687,0.0001711940723763253
47,-0.012261812,-0.00016587920538139995
48,0.032631613,0.00044144423712334503
49,0.014286467,0.0001932689753873191
50,-0.0034363293,-4.648706012990376e-05
51,-0.009017104,-0.00012198442911596217
52,-0.006087653,-8.23544718010366e-05
53,0.0043278527,5.854769222818639e-05
54,0.008501862,0.00011501417432768222
55,0.0030464109,4.121219823499245e-05
56,0.009278918,0.00012552627108618696
57,-0.002663801,-3.603620730216616e-05
58,0.0018642882,2.5220306755640203e-05
59,-0.007019326,-9.495825478953472e-05
60,0.00025100174,3.3955805086880328e-06
61,0.0076993247,0.00010415735525078205
62,-0.00042701833,-5.7767532932474575e-06
63,0.013766398,0.00018623341977756907
64,-0.0059960485,-8.111523658024004e-05
65,-0.007979367,-0.00010794579822016454
66,0.00079848134,1.0801947897774892e-05
67,-0.0028310656,-3.829898218837278e-05
68,0.019790024,0.00026772172651496733
69,0.0064903847,8.780267443046286e-05
70,0.017830607,0.0002412145066234914
71,0.008497528,0.00011495553839808124
72,0.003263972,4.415539054622388e-05
73,-0.009369748,-0.00012675503020568072
74,-0.004755886,-6.433817296235476e-05
75,0.0041876636,5.6651196616874397e-05
76,-0.005079662,-6.871825422527661e-05
77,-0.007282006,-9.851182016596789e-05
78,0.0020310876,2.747678842164147e-05
79,5.557539e-05,7.518303062931695e-07
80,-0.0028833346,-3.9006084378953e-05
