Day,ForecastedLogReturn,ForecastedVolatility
1,-0.005972928,-8.298059357117447e-05
2,-0.006002772,-8.339521302058175e-05
3,0.0057133096,7.937377311322092e-05
4,0.008169321,0.00011349461190147337
5,-0.0029454487,-4.092048131056666e-05
6,0.0005487665,7.62389437528601e-06
7,0.0033655465,4.675680804080735e-05
8,-0.0019745454,-2.7431931811507063e-05
9,-0.0030619919,-4.253958999196286e-05
10,-0.00025422982,-3.531959780995409e-06
11,0.007336371,0.00010192261476824005
12,-0.003961165,-5.503160691687715e-05
13,-0.00062650273,-8.7038667684919e-06
14,0.0030194076,4.194797610479097e-05
15,-0.00069094193,-9.599106594912705e-06
16,-0.0019084737,-2.6514011317865306e-05
17,-0.00017003146,-2.3622102521231035e-06
18,-0.0023673202,-3.288866728720419e-05
19,-0.005994581,-8.328141748126088e-05
20,-0.0012290993,-1.7075611001585595e-05
21,-0.0033875604,-4.7062642448062845e-05
22,-0.009921508,-0.0001378373603376431
23,0.0026189012,3.638382708519879e-05
24,-0.0025867152,-3.5936673368182376e-05
25,-0.00904412,-0.00012564800137826706
26,0.0017007343,2.362793260182181e-05
27,0.0062834974,8.729526886288986e-05
28,-0.0018528035,-2.5740597897031676e-05
29,-0.00023418579,-3.2534924650601376e-06
30,0.009857132,0.0001369430011489591
31,-0.0037339556,-5.1875035751014766e-05
32,0.006713314,9.326661700877386e-05
33,0.003350922,4.6553632218868125e-05
34,-0.003613055,-5.0195390301045806e-05
35,-0.0018888563,-2.624147132465841e-05
36,-0.009545842,-0.00013261831780156836
37,0.007405244,0.00010287944829025105
38,-0.00674939,-9.376781552030343e-05
39,-0.00531446,-7.38326419747489e-05
40,0.0023767042,3.301903725357111e-05
41,0.003010536,4.1824725637629436e-05
42,0.005153417,7.159530781146811e-05
43,0.0010627317,1.4764301651082e-05
44,0.002602193,3.615170423991157e-05
45,-0.0007109223,-9.876689431945673e-06
46,0.00028906504,4.015917928677971e-06
47,0.003936605,5.4690401440193756e-05
48,0.0019576156,2.719672956447358e-05
49,-0.00031411636,-4.36395057165412e-06
50,-0.0017968606,-2.4963395065330667e-05
51,0.00060864096,8.45571696332833e-06
52,-0.00170796,-2.3728318834483928e-05
53,-0.003415476,-4.745046916147824e-05
54,-0.0016393183,-2.2774694100847185e-05
55,0.001192021,1.6560488871551003e-05
56,0.0035981827,4.998877279480193e-05
57,-0.0009838054,-1.3667795264151307e-05
58,0.0018104216,2.515179493435296e-05
59,0.0061845477,8.592058122577173e-05
60,0.0029173796,4.053052295245507e-05
61,0.004226941,5.872397781326044e-05
62,-9.92762e-05,-1.3792227395126318e-06
63,-0.00782008,-0.00010864267804500643
64,0.0037610785,5.225184842772215e-05
65,-3.318423e-05,-4.610213353715039e-07
66,-0.005197206,-7.220365785897105e-05
67,-0.0012908871,-1.7934015263682887e-05
68,0.0024789863,3.444001942618555e-05
69,0.024524542,0.00034071414390224975
70,-0.0015081548,-2.0952467821494358e-05
71,0.0053905835,7.489020945598475e-05
72,0.010181677,0.00014145182754531112
73,-0.0067457296,-9.371696010617033e-05
74,0.041419074,0.0005754262226342374
75,-0.0051711593,-7.184179580712839e-05
76,0.007955909,0.00011052971732098723
77,-0.003279316,-4.555882695620654e-05
78,-0.014599365,-0.00020282581817183972
79,0.007584187,0.000105365470021868
80,-0.0020379254,-2.8312456334992806e-05
