Day,ForecastedLogReturn,ForecastedVolatility
1,-0.04842832,-0.0010618310489809459
2,-0.023853574,-0.0005230093830209098
3,-0.024013821,-0.0005265229332559938
4,-0.009092838,-0.0001993680015762188
5,-0.019947175,-0.0004373583463528577
6,0.014900413,0.0003267039147090996
7,4.4174893e-05,9.685711391059417e-07
8,0.0016022827,3.5131377506902e-05
9,-0.00029767907,-6.526860404364639e-06
10,-0.010551506,-0.00023135050997627018
11,-0.02256102,-0.0004946690505587669
12,-0.0072969124,-0.00015999085277503585
13,-0.0041210824,-9.035814725286522e-05
14,-0.024466809,-0.0005364550673801745
15,-0.018278796,-0.0004007777600621083
16,-0.020602804,-0.00045173354999971906
17,-0.025842242,-0.0005666125773775376
18,-0.016350847,-0.00035850586929674045
19,-0.01970367,-0.00043201928721459777
20,-0.031602234,-0.0006929051704541536
21,-0.004685734,-0.00010273860087494263
22,0.018202232,0.0003990990302590916
23,-0.0064074844,-0.00014048940743313366
24,-0.0035571468,-7.799339152077771e-05
25,-0.018140035,-0.0003977352996768672
26,-0.022360539,-0.000490273355481324
27,-0.026977489,-0.0005915038051861353
28,-0.017295482,-0.00037921777255450713
29,-0.041781325,-0.0009160901842932031
30,-0.011001297,-0.0002412125625935301
31,-0.0047419625,-0.00010397145955219762
32,0.020328052,0.00044570939920726606
33,0.0020809923,4.562748193961707e-05
34,0.028494226,0.0006247595222219717
35,-0.019074263,-0.0004182190296367516
36,-0.022216057,-0.00048710547533631983
37,-0.035630655,-0.0007812316380769708
38,-0.0023503378,-5.1533104728887796e-05
39,-0.0038965761,-8.543566161739075e-05
40,-0.002809224,-6.159456394156077e-05
41,-0.0032625769,-7.153470271338502e-05
42,0.015937315,0.0003494388497186564
43,-0.016263705,-0.00035659520891225357
44,-0.021772677,-0.0004773839941332914
45,-0.024045547,-0.0005272185616402484
46,-0.028372739,-0.000622095812358399
47,-0.028391281,-0.0006225023749466251
48,-0.01724044,-0.0003780109494021135
49,-0.018723788,-0.0004105345678988701
50,-0.034140192,-0.0007485520106312414
51,-0.0149810985,-0.0003284730030983996
52,0.01086235,0.0002381660386244087
53,-0.006183927,-0.00013558772469252385
54,-0.0048441966,-0.00010621302635266654
55,-0.006619689,-0.00014514217013605012
56,-0.012326847,-0.0002702763355064852
57,-0.008325845,-0.00018255105367773934
58,-0.020278376,-0.0004446201953671869
59,-0.023861947,-0.0005231929589962062
60,-0.024763634,-0.0005429632134747939
61,-0.008905489,-0.00019526022877371243
62,-0.016637152,-0.0003647833508510986
63,-0.024084859,-0.0005280804906633032
64,-0.025910873,-0.0005681173694544613
65,0.009781401,0.00021446531837262495
66,-0.012918959,-0.00028325889382351145
67,-0.009375195,-0.00020555892266792045
68,-0.013934491,-0.00030552527106564314
69,-0.0053920397,-0.00011822493946282515
70,-0.025326231,-0.0005552986205338564
71,-0.011642083,-0.00025526231196961564
72,-0.0023625742,-5.180139826008091e-05
73,0.003185033,6.983449104985536e-05
74,-0.01105551,-0.00024240121192856964
75,0.015517047,0.00034022411171951637
76,-0.0059530544,-0.00013052565290875876
77,-0.045753017,-0.0010031728276882945
78,-0.026186885,-0.000574169168953316
79,-0.027874766,-0.0006111773504523754
80,-0.0039423155,-8.643853472003283e-05
