Day,ForecastedLogReturn,ForecastedVolatility
1,-0.0014068574,-1.9413252783221772e-05
2,-0.008089706,-0.00011163001593340457
3,0.005735534,7.914474309766984e-05
4,0.0049479706,6.827714365564139e-05
5,-0.009281062,-0.00012806955092087657
6,0.00598213,8.254752692465523e-05
7,0.004827951,6.662099166641406e-05
8,-0.0040124026,-5.5367222354561033e-05
9,0.007327873,0.0001011174604194151
10,0.0021669741,2.9902118461150546e-05
11,0.007413343,0.00010229686630524858
12,0.0067287725,9.285046425678478e-05
13,0.01119336,0.00015445739698093956
14,0.008705601,0.00012012876028274813
15,-0.0017363781,-2.396031496873751e-05
16,-2.3051156e-05,-3.1808335308455357e-07
17,-0.0070990915,-9.796050342044193e-05
18,-0.00031518028,-4.3491788821004844e-06
19,0.005538079,7.642006014529902e-05
20,-0.0019242619,-2.6552927928439036e-05
21,-0.0060811923,-8.39144916698569e-05
22,0.0065391446,9.023378395295487e-05
23,0.003766848,5.1978809536824914e-05
24,0.0008569519,1.1825096447168324e-05
25,9.0266265e-05,1.2455859617313712e-06
26,0.013829007,0.0001908267362695351
27,-0.0021401772,-2.9532346899219624e-05
28,0.0015585223,2.1506080402479024e-05
29,0.0053788503,7.422286038061995e-05
30,0.0015705882,2.167257752450458e-05
31,0.011569352,0.00015964571364724577
32,0.0071612005,9.881754633197745e-05
33,0.005518702,7.615267519699558e-05
34,0.011751129,0.00016215406359340367
35,0.0075931363,0.00010477783647478625
36,-0.004273816,-5.897447097667801e-05
37,-0.0053075366,-7.32388012652703e-05
38,0.0003775041,5.209186436780367e-06
39,-0.0040422003,-5.577840092905726e-05
40,0.008414947,0.00011611802461221201
41,-0.0025155598,-3.471225879016341e-05
42,-0.0013179291,-1.8186129877631946e-05
43,0.0044015,6.073638305588242e-05
44,-0.0008175836,-1.1281851896046079e-05
45,0.011805327,0.00016290193438459708
46,0.003859171,5.3252775571154815e-05
47,0.0015955343,2.2016808657634457e-05
48,0.005857096,8.082218332908041e-05
49,0.0024943638,3.441977517781899e-05
50,0.0073842923,0.00010189599450420902
51,0.013141826,0.00018134431191932688
52,0.0063668457,8.785622850412265e-05
53,0.000832212,1.1483709475884615e-05
54,0.0025056682,3.457576472422421e-05
55,-0.0014224487,-1.9628397040625782e-05
56,0.0073725386,0.00010173380418698977
57,0.0018775633,2.5908532901808835e-05
58,0.008747957,0.00012071322630523645
59,0.004472614,6.171768555912926e-05
60,0.0010235728,1.4124300498155258e-05
61,-0.00792556,-0.00010936495467591015
62,-0.0007341733,-1.0130871564501205e-05
63,0.0074508986,0.00010281509652923858
64,-0.008026362,-0.00011075593214705168
65,0.011018675,0.00015204690997726607
66,0.001530138,2.1114403734118072e-05
67,-0.004117154,-5.681268950083506e-05
68,-0.00116271,-1.6044258337920836e-05
69,0.008719946,0.00012032670944927306
70,0.0050733527,7.000729365180572e-05
71,-0.0048516938,-6.694861726381738e-05
72,-0.003625051,-5.002214827437575e-05
73,-0.006119175,-8.443861423253752e-05
74,0.010888886,0.00015025594744743972
75,-0.0025727313,-3.55011703307756e-05
76,0.00018066878,2.49305203412115e-06
77,0.0044253543,6.106555081390271e-05
78,0.0027867013,3.845374606831727e-05
79,0.0048200423,6.651185810008738e-05
80,-0.00608224,-8.392894942564086e-05
