Day,ForecastedLogReturn,ForecastedVolatility
1,-0.002053667,-5.052985183818181e-05
2,-0.004541667,-0.00011174633436582398
3,0.00030803328,7.5790648777356155e-06
4,-0.002115001,-5.2038953180505566e-05
5,-0.0038412076,-9.451174018065984e-05
6,-0.0005539894,-1.3630739452504233e-05
7,-0.0042979945,-0.00010575084356408232
8,-0.0021175412,-5.210145359103581e-05
9,-0.0058934116,-0.00014500559269897253
10,-0.0035365666,-8.701614213783481e-05
11,0.0020538818,5.0535133724387944e-05
12,-0.008639262,-0.0002125664053957641
13,0.0010223878,2.5155538743209158e-05
14,-0.00046796643,-1.1514171070114987e-05
15,-0.002752626,-6.772752437844518e-05
16,-0.004349469,-0.00010701736196562666
17,-0.006708559,-0.00016506204891157948
18,-0.0066694207,-0.00016409906137635364
19,-0.009258064,-0.00022779184912454726
20,0.0015159633,3.7299815349935276e-05
21,0.0013615453,3.350040622783834e-05
22,0.0067897574,0.00016705990804723132
23,-0.0004898481,-1.2052562553345364e-05
24,-0.0016345595,-4.0217836922836885e-05
25,0.025218872,0.0006205026550200485
26,0.0004485302,1.1035948405564647e-05
27,-0.0037093072,-9.126637055933347e-05
28,-0.0054884856,-0.0001350425116750293
29,-0.007402048,-0.00018212513074194388
30,-0.0013541187,-3.3317677025759205e-05
31,-0.0030800242,-7.578305391766225e-05
32,0.0012533467,3.083821241231981e-05
33,-0.002976975,-7.324755949073147e-05
34,-0.0023907928,-5.882472758747715e-05
35,-0.014593446,-0.00035906727601903935
36,-0.014930016,-0.0003673484944833939
37,0.00016421874,4.040552004150686e-06
38,-0.001161914,-2.8588538492481645e-05
39,-0.0032149567,-7.910302874946851e-05
40,0.0012300641,3.0265351179303867e-05
41,-0.0048232353,-0.00011867423275857421
42,-0.00034411575,-8.466862872337304e-06
43,-0.006753437,-0.00016616626102245992
44,-0.011841044,-0.00029134526840460343
45,-0.0016563861,-4.07548735621543e-05
46,-0.0028824743,-7.092240100083355e-05
47,0.007957645,0.00019579541989281642
48,-0.0011404001,-2.8059195533397237e-05
49,-0.0041579185,-0.0001023043154262244
50,0.029489899,0.0007255899630616673
51,0.003598701,8.85449388432569e-05
52,-0.0050233016,-0.0001235968017557889
53,-0.014450043,-0.00035553890728862094
54,-0.01786556,-0.00043957662702143446
55,0.011224524,0.0002761759891143939
56,-6.583247e-05,-1.6197878650765706e-06
57,-0.0015865691,-3.903704891942135e-05
58,0.012602693,0.0003100854235788642
59,0.026897406,0.0006618024680002852
60,0.006044961,0.00014873442104124015
61,0.0014680439,3.612077174386222e-05
62,-0.0035797816,-8.8079433952435e-05
63,-0.0065276395,-0.0001606105760426457
64,-0.0030144248,-7.416900229844445e-05
65,2.8951303e-05,7.123379651407862e-07
66,-0.008240608,-0.00020275763335972577
67,0.0010223878,2.5155538743209158e-05
68,0.0037600566,9.251504397656966e-05
69,-0.008802264,-0.00021657701835701998
70,0.006260146,0.00015402897919128444
71,-0.0022992678,-5.657278222742127e-05
72,-5.764781e-05,-1.4184067337979597e-06
73,-0.011378905,-0.00027997447877582264
74,0.0030051672,7.394122238798677e-05
75,-0.0030236873,-7.439690251216712e-05
76,-0.005322636,-0.00013096183638372895
77,-0.009043662,-0.00022251653949690274
78,-0.005898991,-0.0001451428759105167
79,-0.00559472,-0.00013765638081474324
80,0.002711847,6.672416650472194e-05
