Day,ForecastedLogReturn,ForecastedVolatility
1,0.0014663956,2.228679754785991e-05
2,0.027438836,0.00041702511982306755
3,0.006396521,9.721658276160907e-05
4,-0.007874781,-0.00011968370598378382
5,-0.00429377,-6.525823340520267e-05
6,-0.028405404,-0.00043171535464977927
7,0.003736939,5.6795319037832964e-05
8,-0.007914482,-0.00012028708696415568
9,-7.653853e-05,-1.1632595507206577e-06
10,0.005573544,8.470869235319623e-05
11,-0.0082207015,-0.00012494112350650466
12,0.0024406933,3.709451883845293e-05
13,0.0066366117,0.00010086556703310803
14,0.005587171,8.491579493399551e-05
15,0.00463897,7.050470236856542e-05
16,0.00033897528,5.151866014746189e-06
17,0.004595493,6.984392460965813e-05
18,0.0015721866,2.3894646923097948e-05
19,0.01868304,0.00028395144605815055
20,0.0019363727,2.942967624429425e-05
21,0.022012977,0.00033456099537483894
22,0.0060510403,9.196584619560059e-05
23,0.0015553762,2.3639156947126467e-05
24,0.014964566,0.00022743675197273402
25,0.004058401,6.168101280008462e-05
26,0.0022988545,3.493880270366075e-05
27,0.01205245,0.00018317739539288981
28,0.010740367,0.000163235886126536
29,0.012428729,0.00018889620941127508
30,0.0068566655,0.00010421002282327522
31,0.007411608,0.00011264423526273489
32,-0.0049148174,-7.469713009671042e-05
33,-0.0028171516,-4.281606468871423e-05
34,-0.0107100755,-0.00016277550875986162
35,-0.0130037125,-0.00019763501402762838
36,0.012753085,0.00019382589203628713
37,-0.0010963245,-1.6662327272540798e-05
38,-0.00580308,-8.819725581346679e-05
39,-0.0030168018,-4.585041863588545e-05
40,0.0057518603,8.74188040426349e-05
41,-0.019500395,-0.00029637389240894834
42,-0.010339384,-0.00015714160800274244
43,0.0060560657,9.204222425157522e-05
44,0.006660762,0.0001012326091697793
45,0.005768638,8.767379860868068e-05
46,0.0042908182,6.521337049778762e-05
47,0.007856654,0.00011940820144681379
48,0.00042624003,6.478146504727207e-06
49,0.0025957203,3.945067429054362e-05
50,0.014678884,0.00022309486614728802
51,0.0011127945,1.691264375343097e-05
52,0.009185533,0.0001396049742160302
53,0.0024468107,3.7187493126938726e-05
54,0.0099708345,0.00015154026275502683
55,0.005440163,8.268151740091327e-05
56,-0.0021884178,-3.3260346798082564e-05
57,-0.011286653,-0.00017153853184429733
58,0.012723703,0.00019337932952925532
59,0.021468332,0.0003262832900081946
60,0.0059988624,9.117282937295294e-05
61,-0.00015230557,-2.314793810092541e-06
62,0.010190463,0.00015487824990702121
63,-0.0040476173,-6.151711704209161e-05
64,0.0070971115,0.00010786440706296437
65,-0.0011044225,-1.6785403021976753e-05
66,0.006309131,9.588840290535932e-05
67,-0.01601555,-0.00024340998527047107
68,0.0031778573,4.829819661509322e-05
69,0.0064366795,9.782692779007945e-05
70,-0.004780628,-7.265766897826992e-05
71,-0.0041711703,-6.339491882448943e-05
72,-0.0073045897,-0.000111017733703794
73,0.0048076008,7.306761361450737e-05
74,-0.0053066625,-8.065253066375914e-05
75,0.0014429061,2.192979630879001e-05
76,0.0126964385,0.00019296495451282512
77,0.011838865,0.0001799312430865521
78,0.0012095188,1.838269308851259e-05
79,0.012095665,0.00018383418156325284
80,0.0048281965,7.338063483742268e-05
