Day,ForecastedLogReturn,ForecastedVolatility
1,-0.002030787,-1.6602590715929264e-05
2,-0.0001731054,-1.4152139753761154e-06
3,-0.002202041,-1.8002667984516216e-05
4,-0.0063588577,-5.1986500467721735e-05
5,0.0022778797,1.862268371237298e-05
6,-0.002197981,-1.7969476751891648e-05
7,-0.004817674,-3.938663497401686e-05
8,0.0024790335,2.0267205833997427e-05
9,-0.0004729141,-3.866283930143817e-06
10,-0.009502821,-7.768980091036062e-05
11,0.0052690343,4.3076707426782564e-05
12,-0.0012015621,-9.823306673662026e-06
13,-0.0037621509,-3.07572628311117e-05
14,0.004664971,3.813822052877081e-05
15,0.0038758228,3.1686581178205246e-05
16,-0.0033878877,-2.769749449367399e-05
17,-0.0031487294,-2.5742268780901783e-05
18,0.0027122474,2.217383343011322e-05
19,0.00050449657,4.124484623719566e-06
20,-0.00018734911,-1.531662627371809e-06
21,0.003057731,2.4998316529779218e-05
22,0.00085248967,6.969483586505806e-06
23,-0.0030207273,-2.469579415775289e-05
24,0.0001907259,1.559269364202128e-06
25,0.0015428507,1.2613493562178562e-05
26,-0.0010508676,-8.591311771492167e-06
27,-0.004740428,-3.8755116429233426e-05
28,-0.00075652124,-6.184898867102442e-06
29,-0.0038911565,-3.181194151531536e-05
30,0.0006819736,5.5754384918127145e-06
31,-0.002294198,-1.8756092023993424e-05
32,-0.0015602041,-1.2755364810098189e-05
33,-0.00024397412,-1.994597353920485e-06
34,0.002504782,2.0477711381093756e-05
35,0.0007759723,6.343920124091245e-06
36,-0.0077285096,-6.318401592047322e-05
37,-0.0020328327,-1.6619314818116537e-05
38,0.0009731988,7.956334577303516e-06
39,0.0029949395,2.4484966920095482e-05
40,-0.00162377,-1.3275044490556312e-05
41,0.0036407893,2.976507777300756e-05
42,-0.0047144047,-3.854236285519843e-05
43,-0.0018473932,-1.5103264295271345e-05
44,-0.001466105,-1.1986062771714181e-05
45,-0.0006717245,-5.491647618123588e-06
46,0.0012370943,1.0113798009053404e-05
47,0.0030939805,2.529467157980614e-05
48,-0.005428541,-4.43807457866788e-05
49,-0.008021917,-6.558275393526368e-05
50,-0.0023522237,-1.923047900589759e-05
51,0.0020948858,1.712662654342308e-05
52,0.0015272582,1.2486017490993656e-05
53,-0.0010477715,-8.566000054119612e-06
54,0.0022423493,1.8332206653189935e-05
55,-0.0010574883,-8.645438587761938e-06
56,-0.008380313,-6.851280293331392e-05
57,0.0041225543,3.3703721854765916e-05
58,-0.0012869423,-1.0521327603844587e-05
59,-0.0034487785,-2.8195303974714784e-05
60,0.0025074868,2.049982427605273e-05
61,0.004761794,3.892979250040544e-05
62,-0.007437033,-6.080106548860345e-05
63,-0.00037597603,-3.0737718701905256e-06
64,0.0040277424,3.292859226814081e-05
65,-0.00075450767,-6.168436971274866e-06
66,-0.00028473607,-2.327844505645233e-06
67,0.0021129982,1.7274703183230995e-05
68,0.00071882806,5.87674024802666e-06
69,-0.0074901427,-6.123526018531705e-05
70,0.0009965681,8.147389266421168e-06
71,0.0009170158,7.497013278052061e-06
72,-0.004119699,-3.368037739890151e-05
73,0.0091352835,7.46850207204287e-05
74,-0.015099514,-0.00012344526941962883
75,-0.0011648333,-9.523032328574371e-06
76,-0.0042524463,-3.4765647142318875e-05
77,0.0037312098,3.0504305550919474e-05
78,-0.0023953512,-1.9583065185302416e-05
79,-0.000663257,-5.422421808048332e-06
80,0.00043558652,3.561114273219135e-06
