Day,ForecastedLogReturn,ForecastedVolatility
1,-0.00067235157,-2.069883761326649e-05
2,0.0034838167,0.0001072518612029787
3,0.0040507396,0.0001247049974357218
4,0.018447075,0.000567906774246971
5,0.0037589967,0.00011572347919743868
6,-0.0023953766,-7.374342946804301e-05
7,-0.008256835,-0.0002541927368747683
8,0.005365068,0.0001651675676394301
9,0.010927906,0.0003364236324815435
10,-0.00875563,-0.0002695485063272935
11,-0.00622184,-0.0001915439258836965
12,-0.009928632,-0.0003056602269225113
13,-0.016556498,-0.000509703959072924
14,-0.01523046,-0.0004688809170576146
15,-0.02851479,-0.0008778487669179566
16,-0.00802711,-0.0002471204935334614
17,-0.020981617,-0.0006459345212225842
18,-0.017303409,-0.0005326981756715283
19,-0.014416466,-0.00044382149587840773
20,-0.016317165,-0.0005023359123766528
21,-0.033907533,-0.0010438683353808935
22,-0.008606308,-0.00026495152665185616
23,-0.029302664,-0.000902104068596017
24,0.024200346,0.0007450254626046097
25,-0.019442752,-0.0005985594219926634
26,-0.014504012,-0.0004465166695697281
27,-0.0037789592,-0.00011633803740350458
28,-0.027384162,-0.0008430415686497254
29,0.033164743,0.001021001018622269
30,-0.015698863,-0.0004833010510654806
31,-0.016429467,-0.0005057932305655655
32,-0.008566608,-0.0002637293200592985
33,-0.01932119,-0.0005948170522427295
34,-0.016917175,-0.0005208076663997085
35,-0.020092245,-0.0006185545475244872
36,-0.03629555,-0.001117385260389867
37,-0.003235697,-9.961331370682282e-05
38,-0.007183796,-0.00022115843774913818
39,0.012704139,0.0003911062529756982
40,-0.007305173,-0.00022489513055187
41,-0.014194055,-0.0004369744381094464
42,-0.031266112,-0.0009625502527441675
43,-0.007328447,-0.00022561163010024235
44,-0.02064616,-0.0006356072367757486
45,-0.009973913,-0.00030705426151800595
46,-0.028279273,-0.0008705982158258963
47,-0.0010615814,-3.268156502173681e-05
48,-0.033751212,-0.001039055889754835
49,-0.010997773,-0.0003385745360277357
50,-0.03186998,-0.0009811408212581575
51,0.016244726,0.0005001058469555884
52,0.008376357,0.00025787231614807406
53,-0.0063400893,-0.0001951843112841481
54,-0.026160978,-0.0008053849442864025
55,0.00097653014,3.0063198562415106e-05
56,-0.0050710617,-0.00015611636344067
57,-0.005014141,-0.0001543640217280882
58,-0.009302531,-0.0002863852708847257
59,-0.005782585,-0.00017802113659832683
60,-0.005612464,-0.00017278383741853575
61,-0.008823819,-0.00027164777259110803
62,-0.008477935,-0.0002609994539128549
63,-0.009442751,-0.00029070204447427896
64,-0.008823819,-0.00027164777259110803
65,-0.009232043,-0.0002842152434810399
66,-0.010605084,-0.0003264853049323958
67,-0.021710612,-0.000668377156456179
68,-0.02503172,-0.0007706198930504284
69,-0.0037618373,-0.00011581092712150974
70,-0.0047921343,-0.0001475293786971999
71,-0.0066909674,-0.00020598635194433797
72,-0.0025154026,-7.743851999607743e-05
73,-0.005782585,-0.00017802113659832683
74,-0.008069711,-0.00024843198302292307
75,-0.008069711,-0.00024843198302292307
76,-0.008069711,-0.00024843198302292307
77,-0.008823819,-0.00027164777259110803
78,-0.009232043,-0.0002842152434810399
79,-0.010605084,-0.0003264853049323958
80,-0.021710612,-0.000668377156456179
