Day,ForecastedLogReturn,ForecastedVolatility
1,-0.013845802,-0.00019292527443388492
2,0.00010214447,1.423265291347174e-06
3,-0.015293485,-0.00021309705598034404
4,0.008812328,0.0001227896179366236
5,-0.003882327,-5.409574426748102e-05
6,-0.028928664,-0.00040308753842482095
7,-0.0013550646,-1.888126076926359e-05
8,-0.008796823,-0.00012257357841930289
9,-0.0037586943,-5.2373066594213035e-05
10,-0.032400448,-0.00045146284552886586
11,0.002360825,3.2895371042065226e-05
12,-0.003868164,-5.389840122628837e-05
13,-0.009336466,-0.00013009287742205157
14,0.0044467743,6.196066691838205e-05
15,-0.012057871,-0.00016801251035150868
16,-0.002844586,-3.963602329216878e-05
17,-0.00079151057,-1.1028786214649797e-05
18,0.0076935226,0.00010720035793701364
19,-0.007191296,-0.0001002024125880443
20,-0.028029602,-0.00039056015324697856
21,-0.0011713001,-1.6320714614480187e-05
22,0.007803074,0.00010872683129251791
23,-0.003218591,-4.48473505118563e-05
24,-0.008334253,-0.00011612819618105402
25,-0.006968271,-9.709481364089952e-05
26,-0.016953228,-0.00023622366585779837
27,0.0019439913,2.7087274884185292e-05
28,0.005670034,7.900537767148426e-05
29,-0.0013562121,-1.8897249938549917e-05
30,0.0013036786,1.8165256782115014e-05
31,0.00018852213,2.6268382693315725e-06
32,-0.01544448,-0.00021520100161604843
33,-0.00061103835,-8.51411423070965e-06
34,0.00087533204,1.2196741744599149e-05
35,0.004296489,5.986661617287211e-05
36,-0.021464637,-0.00029908493648364174
37,0.00043485497,6.0592021116761975e-06
38,0.0003152667,4.392877460178691e-06
39,0.0018670401,2.6015048361584283e-05
40,-0.009959033,-0.00013876762708450223
41,0.005215667,7.267430250245207e-05
42,-0.0014147061,-1.9712296910205396e-05
43,0.0009607953,1.3387573936255417e-05
44,-0.0037437228,-5.216445635510389e-05
45,-0.02456485,-0.00034228282177699
46,0.00026580898,3.7037413441343147e-06
47,-0.00043187648,-6.017700346819681e-06
48,-0.0017038074,-2.374058943613249e-05
49,-0.004883424,-6.804487593185498e-05
50,-0.029377125,-0.00040933633352660347
51,-0.01840272,-0.0002564206615310087
52,-0.00078566436,-1.0947326125595781e-05
53,0.005662641,7.89023669982207e-05
54,-0.00250106,-3.484938475962664e-05
55,-0.0019152972,-2.668745643580404e-05
56,-0.00087264884,-1.2159354469739058e-05
57,-0.0015037276,-2.09527089901884e-05
58,-0.0012627745,-1.759530461846267e-05
59,-0.015437642,-0.000215105725178268
60,-0.016066669,-0.00022387048265499882
61,-0.014844529,-0.0002068413831188198
62,0.017933248,0.00024987910744852246
63,-0.005180473,-7.218391174441561e-05
64,-0.015232261,-0.00021224398018807898
65,-0.0037072077,-5.165566110130577e-05
66,-0.020696742,-0.0002883852186303698
67,0.015272912,0.00021281039614507168
68,-0.0057158456,-7.964371163694591e-05
69,9.134921e-05,1.2728458268215715e-06
70,-0.0067252046,-9.370796467133617e-05
71,-0.011092946,-0.00015456739843982918
72,-0.0021383623,-2.9795610145644964e-05
73,0.006548665,9.124808848054574e-05
74,0.0039058675,5.442375501108728e-05
75,-0.012476998,-0.00017385257187105613
76,-0.00017914189,-2.49613548872118e-06
77,-0.0011258672,-1.5687660627310808e-05
78,0.0010420451,1.4519695364682575e-05
79,-0.0054206797,-7.553091512664516e-05
80,-0.03353221,-0.00046723264023324315
