Day,ForecastedLogReturn,ForecastedVolatility
1,0.0059814886,0.00011272896974789536
2,-0.0049569136,-9.341951545354932e-05
3,-0.007120938,-0.0001342033831467312
4,-0.0032986319,-6.216702829086777e-05
5,-0.0078137,-0.00014725937898766114
6,-0.0009733754,-1.8344531395746456e-05
7,0.0015685079,2.9560580543322198e-05
8,0.0067084483,0.00012642947469792832
9,0.0065799453,0.0001240076685333062
10,0.0059214095,0.00011159669958521342
11,0.00027449938,5.173299603479725e-06
12,0.003880029,7.31242184813441e-05
13,-0.0010365944,-1.9535975902047733e-05
14,-0.0012487395,-2.3534128571358857e-05
15,0.012188359,0.00022970555641902457
16,-0.0024301007,-4.579842325066228e-05
17,-0.0048299246,-9.102624005027923e-05
18,-0.0012760002,-2.4047890705588586e-05
19,-0.0048956764,-9.2265419390073e-05
20,0.002648655,4.991736652795838e-05
21,-0.003488705,-6.574920535574464e-05
22,0.001202978,2.2671691748141966e-05
23,-0.016180761,-0.00030494758935706295
24,-0.0064546294,-0.0001216459252818472
25,0.011050112,0.00020825379386455958
26,-0.00019099434,-3.5995379037136625e-06
27,0.001195217,2.2525426619235847e-05
28,0.012257167,0.00023100233261724756
29,0.005371024,0.00010122396436667244
30,0.0076290225,0.00014377889815857248
31,-0.0058517945,-0.00011028471458679875
32,0.014613782,0.00027541582040694864
33,0.004281487,8.0690214820891e-05
34,0.0030443761,5.737524699101298e-05
35,-0.0050043315,-9.431316629874064e-05
36,0.0033689258,6.349180869071314e-05
37,-0.011847063,-0.00022327338359336209
38,-0.009413354,-0.00017740695954161206
39,-0.0053142947,-0.00010015482871557666
40,-0.0056099957,-0.00010572769994241258
41,-0.00016711096,-3.149424499556083e-06
42,-0.0024312374,-4.581984545566392e-05
43,-0.004122266,-7.768949133749044e-05
44,0.0043032477,8.110032586633617e-05
45,-0.011189349,-0.0002108779042773168
46,-0.001997508,-3.7645650688371765e-05
47,0.0015221185,2.868631148418009e-05
48,-0.0011851592,-2.2335873892553985e-05
49,0.0021992372,4.1447499696467016e-05
50,-0.0018929227,-3.567460159232676e-05
51,-0.006719371,-0.00012663532444824314
52,0.008617594,0.00016240981880928402
53,-0.012299182,-0.00023179415558671827
54,0.010124575,0.00019081085339592792
55,-0.0017893078,-3.372184386489079e-05
56,-0.0062076473,-0.00011699122503161374
57,0.0018918845,3.5655035510372166e-05
58,0.012425477,0.00023417434598070632
59,0.015518378,0.0002924641043582006
60,0.0068059843,0.00012826766838618253
61,0.009508225,0.00017919492820765227
62,-0.0014122603,-2.661589179115287e-05
63,0.004250562,8.010739218411759e-05
64,-0.0060250564,-0.00011355006066233962
65,0.010726941,0.00020216321788751808
66,0.0056148167,0.0001058185578237653
67,0.002374414,4.474893266548054e-05
68,0.004106649,7.739517077659736e-05
69,0.0039146277,7.377627494657223e-05
70,0.0037833194,7.130159779709457e-05
71,-0.0035348774,-6.66193848009864e-05
72,0.0044009215,8.29411172492567e-05
73,-0.011020437,-0.0002076945347756884
74,-0.009916964,-0.0001868981460127484
75,-0.008387,-0.0001580639809444777
76,-0.018939853,-0.0003569462753644525
77,-0.0018629688,-3.5110081294156744e-05
78,-0.0055382964,-0.00010437643358816534
79,0.008321379,0.00015682726765941783
80,-0.0022678038,-4.273972554102622e-05
