Day,ForecastedLogReturn,ForecastedVolatility
1,-0.08684844,-0.018281160265738273
2,0.03788088,0.007973734885152553
3,-0.014421662,-0.0030356875358135615
4,-0.009857434,-0.0020749403510232824
5,0.0012925421,0.0002720736224793957
6,0.007277902,0.0015319618889589922
7,0.0009290426,0.00019555880038200153
8,-0.0037541687,-0.000790233679637213
9,-0.026069948,-0.005487593304819699
10,-0.013795071,-0.00290379326793841
11,-0.0009452487,-0.00019897010703983552
12,-0.017557824,-0.0036958338365287624
13,0.013560281,0.0028543711205322874
14,0.001684966,0.0003546768928572504
15,-0.030542504,-0.006429043809527048
16,-0.022675721,-0.004773125456815891
17,-0.01633397,-0.003438218560313488
18,-0.018236976,-0.0038387919420786805
19,-0.0003965458,-8.347090102935909e-05
20,0.016882088,0.0035535948010320196
21,-0.009471311,-0.0019936634786769936
22,-0.036094762,-0.007597766324100013
23,0.003840344,0.0008083731431105754
24,-0.018050076,-0.0037994504981279475
25,-0.0009310511,-0.00019598158240311078
26,-0.017812353,-0.0037494108287295944
27,-0.0194052,-0.004084697040933987
28,-0.0145716285,-0.0030672546719402033
29,-0.0044299783,-0.0009324882021934435
30,-0.021534862,-0.004532980367857637
31,0.0056350543,0.0011861506515228955
32,-0.0012700924,-0.0002673480844435334
33,-0.012863818,-0.002707769047112026
34,0.019878361,0.004184295300692937
35,0.009579969,0.0020165353170368463
36,0.009560019,0.002012335971450951
37,-0.034972165,-0.0073614651625143485
38,-0.034337804,-0.007227935343534061
39,-0.00014901097,-3.1366061654132006e-05
40,-0.048494022,-0.010207748313258238
41,-0.035047166,-0.0073772525533328595
42,-0.0075569036,-0.0015906902888267569
43,-0.028596219,-0.006019360508085998
44,-0.0020226722,-0.00042576234887668524
45,0.006645694,0.0013988852134977651
46,-0.015792226,-0.0033241844007247377
47,0.010658461,0.0022435524765564616
48,-0.003985105,-0.0008388446187881453
49,-0.041675255,-0.008772431948741695
50,-0.020715065,-0.00436041727780655
51,-0.01434423,-0.003019388483915774
52,-0.004876087,-0.0010263918309710255
53,0.0038525714,0.0008109469355664467
54,0.022048827,0.00464116747635424
55,-0.013490599,-0.0028397033068876267
56,0.002298451,0.0004838124057369528
57,-0.029564554,-0.006223190206894176
58,-0.020838287,-0.004386354769790053
59,-0.0051594847,-0.0010860456316528612
60,-0.0031791432,-0.0006691936840369253
61,0.015412908,0.0032443397873229683
62,0.042948216,0.009040383954990724
63,-0.026552947,-0.005589262125620534
64,-0.03624119,-0.007628588317022697
65,0.04928395,0.010374024441312236
66,-0.0011624899,-0.000244698284447633
67,-0.0010121616,-0.00021305493826560083
68,-0.018072907,-0.003804256191498595
69,-0.036708478,-0.007726950356564819
70,0.035152584,0.0073994425689977985
71,-0.021046009,-0.0044300792476145295
72,-0.052283928,-0.011005504390954457
73,-0.0033357814,-0.0007021652416087543
74,-0.012144001,-0.0025562513025948826
75,-0.000970209,-0.00020422412872829457
76,0.008107421,0.0017065714272884596
77,-0.001417315,-0.00029833769047839394
78,-0.027277369,-0.005741749281646116
79,-0.03468751,-0.007301547101627584
80,-0.0005763323,-0.00012131506244008094
