Day,ForecastedLogReturn,ForecastedVolatility
1,-0.00040758293,-5.023786296435499e-06
2,-0.00040758293,-5.023786296435499e-06
3,-0.00025942782,-3.1976557726558703e-06
4,-0.00022046259,-2.7173781260412764e-06
5,-7.711128e-05,-9.504583546367265e-07
6,-7.711128e-05,-9.504583546367265e-07
7,-7.711128e-05,-9.504583546367265e-07
8,-7.711128e-05,-9.504583546367265e-07
9,-7.711128e-05,-9.504583546367265e-07
10,-7.711128e-05,-9.504583546367265e-07
11,-7.711128e-05,-9.504583546367265e-07
12,-7.711128e-05,-9.504583546367265e-07
13,-7.711128e-05,-9.504583546367265e-07
14,-7.711128e-05,-9.504583546367265e-07
15,-7.711128e-05,-9.504583546367265e-07
16,-7.711128e-05,-9.504583546367265e-07
17,-7.711128e-05,-9.504583546367265e-07
18,-7.711128e-05,-9.504583546367265e-07
19,-7.711128e-05,-9.504583546367265e-07
20,-7.711128e-05,-9.504583546367265e-07
21,-7.711128e-05,-9.504583546367265e-07
22,-7.711128e-05,-9.504583546367265e-07
23,-7.711128e-05,-9.504583546367265e-07
24,-7.711128e-05,-9.504583546367265e-07
25,-7.711128e-05,-9.504583546367265e-07
26,-7.711128e-05,-9.504583546367265e-07
27,-7.711128e-05,-9.504583546367265e-07
28,-7.711128e-05,-9.504583546367265e-07
29,-7.711128e-05,-9.504583546367265e-07
30,-7.711128e-05,-9.504583546367265e-07
31,-7.711128e-05,-9.504583546367265e-07
32,-7.711128e-05,-9.504583546367265e-07
33,-7.711128e-05,-9.504583546367265e-07
34,-7.711128e-05,-9.504583546367265e-07
35,-7.711128e-05,-9.504583546367265e-07
36,-7.711128e-05,-9.504583546367265e-07
37,-7.711128e-05,-9.504583546367265e-07
38,-7.711128e-05,-9.504583546367265e-07
39,-7.711128e-05,-9.504583546367265e-07
40,-7.711128e-05,-9.504583546367265e-07
41,-7.711128e-05,-9.504583546367265e-07
42,-7.711128e-05,-9.504583546367265e-07
43,-7.711128e-05,-9.504583546367265e-07
44,-7.711128e-05,-9.504583546367265e-07
45,-7.711128e-05,-9.504583546367265e-07
46,-7.711128e-05,-9.504583546367265e-07
47,-7.711128e-05,-9.504583546367265e-07
48,-7.711128e-05,-9.504583546367265e-07
49,-7.711128e-05,-9.504583546367265e-07
50,-7.711128e-05,-9.504583546367265e-07
51,-7.711128e-05,-9.504583546367265e-07
52,-7.711128e-05,-9.504583546367265e-07
53,-7.711128e-05,-9.504583546367265e-07
54,-7.711128e-05,-9.504583546367265e-07
55,-7.711128e-05,-9.504583546367265e-07
56,-7.711128e-05,-9.504583546367265e-07
57,-7.711128e-05,-9.504583546367265e-07
58,-7.711128e-05,-9.504583546367265e-07
59,-7.711128e-05,-9.504583546367265e-07
60,-7.711128e-05,-9.504583546367265e-07
61,-7.711128e-05,-9.504583546367265e-07
62,-7.711128e-05,-9.504583546367265e-07
63,-7.711128e-05,-9.504583546367265e-07
64,-7.711128e-05,-9.504583546367265e-07
65,-7.711128e-05,-9.504583546367265e-07
66,-7.711128e-05,-9.504583546367265e-07
67,-7.711128e-05,-9.504583546367265e-07
68,-7.711128e-05,-9.504583546367265e-07
69,-7.711128e-05,-9.504583546367265e-07
70,-7.711128e-05,-9.504583546367265e-07
71,-7.711128e-05,-9.504583546367265e-07
72,-7.711128e-05,-9.504583546367265e-07
73,-7.711128e-05,-9.504583546367265e-07
74,-7.711128e-05,-9.504583546367265e-07
75,-7.711128e-05,-9.504583546367265e-07
76,-7.711128e-05,-9.504583546367265e-07
77,-7.711128e-05,-9.504583546367265e-07
78,-7.711128e-05,-9.504583546367265e-07
79,-7.711128e-05,-9.504583546367265e-07
80,-7.711128e-05,-9.504583546367265e-07
