Day,ForecastedLogReturn,ForecastedVolatility
1,-0.002947762,-3.3870946404403304e-05
2,-0.0039807493,-4.574037858366458e-05
3,-0.0026256167,-3.0169371324951993e-05
4,0.009356183,0.00010750623103607853
5,0.00069424516,7.977150551349284e-06
6,-0.0026193184,-3.0097001355044268e-05
7,-0.0027378278,-3.1458721086781075e-05
8,-0.00020838961,-2.394478776930214e-06
9,-0.0037814223,-4.3450032631651246e-05
10,0.0037007732,4.252334334007285e-05
11,-0.0068250084,-7.84220373908349e-05
12,0.0031928925,3.6687593873184864e-05
13,0.0001256999,1.4443413448948108e-06
14,-0.004234816,-4.865970467597423e-05
15,0.007913237,9.092621769143278e-05
16,-0.00065701734,-7.549388275611662e-06
17,-0.0034118493,-3.920349303184307e-05
18,0.0053096246,6.100967976916828e-05
19,0.008612075,9.89561355043978e-05
20,-0.003950255,-4.538998711204599e-05
21,0.00052819867,6.069210907278269e-06
22,-0.007154467,-8.220764681743683e-05
23,-0.005741424,-6.597122429143915e-05
24,0.0014298358,1.6429377008627697e-05
25,0.001375263,1.5802313732160407e-05
26,-0.0076557933,-8.796808346694756e-05
27,0.0017971427,2.0649877758962216e-05
28,-0.00012317963,-1.4153825553438498e-06
29,0.015921624,0.00018294574067222158
30,-0.0054901484,-6.308396988591571e-05
31,0.0047994554,5.5147634622482026e-05
32,0.0016669455,1.9153861182953e-05
33,-0.00024795637,-2.8491164399761563e-06
34,-0.0010923932,-1.2552028325136706e-05
35,-0.003203456,-3.680897295472394e-05
36,0.019622961,0.00022547555827672744
37,0.003133772,3.6008274989264146e-05
38,-0.00020223248,-2.32373088448283e-06
39,-0.007267142,-8.350232848381754e-05
40,0.0023768537,2.731098625310473e-05
41,0.005432298,6.241924485012802e-05
42,-8.7097615e-06,-1.0007859270767e-07
43,-0.0036802506,-4.2287530297022816e-05
44,0.0025770983,2.961187562500666e-05
45,-0.0045747287,-5.256543578565099e-05
46,0.0028064311,3.224700023591941e-05
47,0.00011617374,1.3348820496616898e-06
48,-0.0005328791,-6.1229907759551226e-06
49,-0.0029739598,-3.4171970272062445e-05
50,0.0008263577,9.495175613456827e-06
51,-0.0017045907,-1.9586419631237e-05
52,-0.0008203083,-9.425665556226319e-06
53,-0.00544073,-6.251613409008877e-05
54,-0.0025612048,-2.9429253212310598e-05
55,-0.0026824316,-3.082219655569922e-05
56,-0.0010985625,-1.2622916170046136e-05
57,-0.004683542,-5.381574466282281e-05
58,-0.008885953,-0.00010210309887442393
59,0.00044819596,5.149948292586636e-06
60,0.0018524801,2.1285726772784024e-05
61,0.0030590552,3.514975007102792e-05
62,-0.0050162254,-5.763840721438213e-05
63,0.004168677,4.78997437454405e-05
64,0.037046526,0.0004256791838316237
65,0.00093511253,1.0744811648684483e-05
66,0.00086536474,9.94338198433113e-06
67,-0.0041508446,-4.769484130208415e-05
68,-0.026994528,-0.0003101777712839842
69,0.01722476,0.0001979192910376684
70,0.0030269325,3.478064744013482e-05
71,-0.0043615745,-5.011621084938901e-05
72,0.009490452,0.00010904903219856371
73,0.0006515653,7.486742410103852e-06
74,0.002650015,3.0449717676163793e-05
75,0.0036347618,4.1764845807326245e-05
76,-0.0048625288,-5.587237234412125e-05
77,-0.0012377125,-1.4221803992326907e-05
78,0.000954468,1.0967213333221065e-05
79,0.013887479,0.0001595726080465816
80,0.001975808,2.2702813504344323e-05
