Day,ForecastedLogReturn,ForecastedVolatility
1,-0.0013938969,-1.2168738569245558e-05
2,-0.0004542053,-3.965218336815812e-06
3,-0.0009034285,-7.886942785027163e-06
4,-0.0023941835,-2.090125464465735e-05
5,0.0014768736,1.2893126865141439e-05
6,-0.0005833172,-5.092366941915811e-06
7,-0.0024061895,-2.1006066419864805e-05
8,-0.0041660555,-3.6369720551436494e-05
9,-0.0082846135,-7.232478771118635e-05
10,-0.004263503,-3.722043889769224e-05
11,-0.001265282,-1.1045929342378779e-05
12,-0.0029228232,-2.551628591568957e-05
13,-0.005501165,-4.8025245260190576e-05
14,0.000107485794,9.383524314089714e-07
15,-0.0023517746,-2.0531024046477148e-05
16,0.003218656,2.8098909848287102e-05
17,-0.0047305617,-4.1297867981173414e-05
18,0.0059783156,5.2190775993717166e-05
19,0.0024000732,2.095267166522649e-05
20,-0.004255975,-3.715472040033923e-05
21,0.0069573205,6.073750194197004e-05
22,-0.0017642633,-1.5402042092137345e-05
23,0.0023760234,2.0742716798621163e-05
24,-0.002698819,-2.356072563989947e-05
25,0.0017516274,1.5291731077953377e-05
26,-0.00804967,-7.02737250353551e-05
27,0.0016896543,1.475070495099892e-05
28,-0.00021594403,-1.8851943320436937e-06
29,-0.0039997892,-3.491821415814946e-05
30,-0.010883584,-9.50138326497886e-05
31,-9.895741e-05,-8.638995347630721e-07
32,-0.0040645725,-3.548377292780471e-05
33,-0.0040223184,-3.511489401837682e-05
34,-0.004522624,-3.9482568280350646e-05
35,0.0037075065,3.2366581501351176e-05
36,0.0010700776,9.34179232128467e-06
37,0.0050892797,4.442948080867605e-05
38,-0.008978112,-7.837903618724023e-05
39,-0.0005548572,-4.843910796477246e-06
40,0.0015218768,1.3286004855920524e-05
41,0.002797858,2.4425338940006047e-05
42,-0.005734043,-5.0058274578712795e-05
43,0.0058468757,5.104330403681103e-05
44,0.0037820286,3.3017160477219504e-05
45,0.0023779252,2.075931919520595e-05
46,0.0017448033,1.5232156158425733e-05
47,0.0035802578,3.125569864103205e-05
48,-0.0055969735,-4.88616539992038e-05
49,-0.0016222697,-1.4162436793997499e-05
50,0.0057258895,4.998709241313992e-05
51,0.00787755,6.877111870938669e-05
52,0.002765109,2.4139439491667445e-05
53,0.003131741,2.734014089163787e-05
54,0.003727692,3.254280106235933e-05
55,0.004176227,3.645851735569739e-05
56,0.0034095051,2.9765025795762614e-05
57,0.0031843295,2.7799239435592243e-05
58,0.00029471391,2.572856456901081e-06
59,0.008930707,7.796519584141966e-05
60,-0.0016479803,-1.4386890301009204e-05
61,0.0015965446,1.3937856248569225e-05
62,-0.0059904982,-5.229713052345546e-05
63,-0.002318084,-2.0236904704432762e-05
64,-0.0016294414,-1.422504539091285e-05
65,-0.001911373,-1.6686312064928764e-05
66,-0.006740568,-5.884525151515476e-05
67,-0.00050323526,-4.393250652305163e-06
68,-0.0053001456,-4.6270342671527495e-05
69,-0.002908839,-2.53942030136725e-05
70,-0.004334697,-3.784196367953719e-05
71,0.00012464331,1.0881377751778972e-06
72,-0.0058039166,-5.0668270370177124e-05
73,-0.0029679022,-2.5909826538849488e-05
74,-0.0013866608,-1.2105567954375298e-05
75,0.0010556775,9.216079169475676e-06
76,-0.0072385394,-6.319254678249599e-05
77,-0.011762172,-0.00010268392034957598
78,-0.0016515874,-1.4418380583708738e-05
79,-0.00064472546,-5.628461945692661e-06
80,-0.0037634906,-3.285532369758181e-05
