Day,ForecastedLogReturn,ForecastedVolatility
1,0.017649984,0.00031340918957047776
2,0.004060485,7.210166839457654e-05
3,-0.00631724,-0.0001121746698728991
4,-0.00078896486,-1.400957847838543e-05
5,-0.00024164798,-4.290921669628804e-06
6,-0.01414294,-0.0002511349194775066
7,-0.0051242695,-9.099119626705957e-05
8,0.0014807071,2.629278346486096e-05
9,0.0013727352,2.437553723321106e-05
10,-0.0030714087,-5.453873035261005e-05
11,0.007830039,0.00013903729740615174
12,-0.0041958545,-7.450541427353363e-05
13,-0.0033887594,-6.0173898899006345e-05
14,-0.0023252699,-4.128960925170879e-05
15,-0.0058009503,-0.00010300695719642813
16,-0.00831089,-0.00014757572848906998
17,-0.001557826,-2.7662176251451104e-05
18,-0.00093195523,-1.6548645863692868e-05
19,0.0027876536,4.950011586182784e-05
20,-0.0025835847,-4.587648366759653e-05
21,0.0015007184,2.6648122832060247e-05
22,-0.0029230078,-5.190358887349034e-05
23,-0.002006598,-3.5630982386683926e-05
24,-0.0029230078,-5.190358887349034e-05
25,-0.0034007,-6.0385925055606245e-05
26,-0.0028273144,-5.020436981174478e-05
27,-0.0041453303,-7.360825968375556e-05
28,-0.0025321895,-4.496386246343892e-05
29,-0.00077080814,-1.3687171299595715e-05
30,-0.00610893,-0.00010847572217100886
31,0.003752373,6.663055097316823e-05
32,-0.005867024,-0.00010418022041350453
33,-0.0052010166,-9.23539864919913e-05
34,0.0015887427,2.8211162509218686e-05
35,-0.009586426,-0.00017022531806872482
36,-0.006218976,-0.00011042979928589856
37,0.005897587,0.00010472292865632014
38,-0.0031096907,-5.5218500664367236e-05
39,-0.0068474724,-0.00012158995587261933
40,0.010482367,0.00018613445705043563
41,-0.0005094921,-9.047006107792811e-06
42,-0.00543046,-9.642819287358567e-05
43,0.008325303,0.0001478316614739807
44,-0.0025830555,-4.586708628334508e-05
45,-0.010222764,-0.00018152470312533207
46,-0.00055591407,-9.871316499386792e-06
47,-0.0010672383,-1.8950854796941427e-05
48,0.00086217746,1.5309608191973944e-05
49,-0.00020589352,-3.6560328598899704e-06
50,-0.00076925376,-1.3659570359312957e-05
51,-0.0029230078,-5.190358887349034e-05
52,-0.0034007,-6.0385925055606245e-05
53,-0.0028273144,-5.020436981174478e-05
54,-0.0041453303,-7.360825968375556e-05
55,-0.0025321895,-4.496386246343892e-05
56,-0.00077080814,-1.3687171299595715e-05
57,-0.00610893,-0.00010847572217100886
58,0.003752373,6.663055097316823e-05
59,-0.005867024,-0.00010418022041350453
60,-0.0052010166,-9.23539864919913e-05
61,0.0015887427,2.8211162509218686e-05
62,-0.009586426,-0.00017022531806872482
63,-0.006218976,-0.00011042979928589856
64,0.005897587,0.00010472292865632014
65,-0.0031096907,-5.5218500664367236e-05
66,-0.0068474724,-0.00012158995587261933
67,0.010482367,0.00018613445705043563
68,-0.0005094921,-9.047006107792811e-06
69,-0.00543046,-9.642819287358567e-05
70,0.008325303,0.0001478316614739807
71,-0.0025830555,-4.586708628334508e-05
72,-0.010222764,-0.00018152470312533207
73,-0.00055591407,-9.871316499386792e-06
74,-0.0010672383,-1.8950854796941427e-05
75,0.00086217746,1.5309608191973944e-05
76,-0.00020589352,-3.6560328598899704e-06
77,-0.00076925376,-1.3659570359312957e-05
78,-0.0029230078,-5.190358887349034e-05
79,-0.0034007,-6.0385925055606245e-05
80,-0.0028273144,-5.020436981174478e-05
