Day,ForecastedLogReturn,ForecastedVolatility
1,0.020869771,0.000296522431093845
2,-0.004930721,-7.005680202597736e-05
3,-0.0038255856,-5.435478610150318e-05
4,0.012006796,0.00017059527514951697
5,-0.020296901,-0.0002883829707831315
6,0.011048495,0.00015697951579922705
7,-0.0015006739,-2.1321915078378037e-05
8,-0.0015695877,-2.2301057892318115e-05
9,0.021818152,0.000309997238472257
10,0.008481658,0.00012050931783338068
11,-0.0035977012,-5.111695310799601e-05
12,-0.008315389,-0.00011814692996825051
13,-0.01993142,-0.0002831901371154636
14,-0.0026509727,-3.766562008164106e-05
15,-0.008024179,-0.00011400935708290709
16,0.0029669206,4.2154679706846244e-05
17,0.0043555964,6.188529935703046e-05
18,-0.018093243,-0.00025707289588840015
19,0.012163006,0.00017281473940891547
20,0.00430295,6.113728926105774e-05
21,0.0016793215,2.3860180291914043e-05
22,0.007440399,0.00010571487209827925
23,-0.018700974,-0.00026570767296698206
24,0.0011645746,1.6546540144074827e-05
25,-0.0015595733,-2.2158771097856337e-05
26,0.004599748,6.535426341444974e-05
27,0.013556607,0.00019261534213657524
28,-0.0022649458,-3.21808622035345e-05
29,-0.0042003547,-5.967959022106108e-05
30,-0.012184934,-0.00017312629725512894
31,0.0030955444,4.3982195726945366e-05
32,-0.0020251258,-2.8773445541834075e-05
33,0.0022090634,3.138687267982212e-05
34,0.012848097,0.00018254866927984063
35,-0.0031339077,-4.4527269784736254e-05
36,-0.003273975,-4.651737943555731e-05
37,-0.010207942,-0.00014503674731980632
38,0.0011578517,1.645101845359475e-05
39,-0.010749077,-0.00015272532540279085
40,-0.0091396915,-0.00012985880556771462
41,0.010444401,0.00014839641140654294
42,-0.00095229206,-1.3530381153608425e-05
43,-0.0051361695,-7.297585887617574e-05
44,0.0054085986,7.68465929529476e-05
45,-0.0011201515,-1.59153658944874e-05
46,-0.0025217792,-3.583000911516602e-05
47,0.0109943,0.0001562095067684771
48,0.0067323074,9.565414722421072e-05
49,0.0020677217,2.9378657740273883e-05
50,-0.007310324,-0.0001038667366254784
51,-0.0070999237,-0.0001008773228813188
52,-0.0041970736,-5.963297232799631e-05
53,-0.010765084,-0.000152952751382951
54,0.0037137961,5.2766456394366184e-05
55,0.0046883607,6.661329057068982e-05
56,0.0089026075,0.00012649026251241528
57,-0.001550201,-2.20256064180785e-05
58,-0.0038422104,-5.459099511502177e-05
59,0.0010896954,1.548263857714305e-05
60,-0.024095902,-0.0003423600335204544
61,-0.0018534153,-2.6333743826376293e-05
62,0.0011832446,1.681180760016231e-05
63,0.007455055,0.00010592311103758106
64,0.0014827042,2.10665967645977e-05
65,0.016999612,0.00024153433039526554
66,-0.009797713,-0.00013920812128030295
67,-0.0016807312,-2.38802092468928e-05
68,-0.011869627,-0.00016864634816622098
69,-0.006853214,-9.737201592202543e-05
70,0.011703425,0.00016628491303691275
71,0.003144325,4.467528126440586e-05
72,0.0017730158,2.5191410267770328e-05
73,0.0032009815,4.5480270255506855e-05
74,-0.010801713,-0.00015347318332568092
75,0.00786455,0.00011174130329659009
76,-0.004883031,-6.937920836995473e-05
77,0.0016997696,2.4150711787835162e-05
78,0.013427056,0.00019077465652860421
79,0.009993393,0.0001419883896628857
80,0.00498365,7.080882816808836e-05
