Day,ForecastedLogReturn,ForecastedVolatility
1,0.0038224556,5.3028399371538445e-05
2,0.00070550933,9.7874335142768e-06
3,-0.0137085365,-0.00019017663405347226
4,0.0051848106,7.192816160990484e-05
5,0.00760595,0.00010551629242334737
6,0.0043554716,6.0422855805034225e-05
7,0.0036520127,5.066386752677494e-05
8,0.0011101203,1.5400546004381165e-05
9,-0.0036686985,-5.089534743811256e-05
10,-0.0012636872,-1.7530957390433597e-05
11,-0.004438692,-6.157735802717315e-05
12,-0.005413663,-7.510300073043109e-05
13,-0.0032681797,-4.5339005909030597e-05
14,-0.009262356,-0.0001284953854260303
15,-0.0056241252,-7.802271290925758e-05
16,-0.009896951,-0.00013729903173964272
17,-0.005052009,-7.008582505972087e-05
18,-0.009989671,-0.00013858533199851114
19,0.0018363595,2.5475561775352788e-05
20,-0.0019265697,-2.6727035879137958e-05
21,0.0016913139,2.3463364545933166e-05
22,0.0010738182,1.4896931442236835e-05
23,0.007797043,0.00010816729862541844
24,-0.0026425903,-3.666029059396304e-05
25,-0.0011992742,-1.663736547399709e-05
26,0.0005113764,7.094254459873639e-06
27,0.002340449,3.24687260686858e-05
28,-0.003786657,-5.253176974357772e-05
29,-0.0021389015,-2.9672685177730596e-05
30,0.0072164983,0.00010011348378515512
31,-0.0027779476,-3.853808315456706e-05
32,-0.0023660734,-3.2824209960713627e-05
33,-0.0025793398,-3.578282458916197e-05
34,0.0051102815,7.089422984936377e-05
35,-0.0031679696,-4.3948805359811257e-05
36,-0.00010519947,-1.4594177141363736e-06
37,-0.007633446,-0.0001058977392753603
38,-0.003792995,-5.261969431856581e-05
39,-0.006199363,-8.600290896574628e-05
40,-0.0040017264,-5.551539770396492e-05
41,-0.0067769163,-9.401522441438376e-05
42,-0.0054401364,-7.547026130224314e-05
43,-0.017426305,-0.0002417527162194747
44,-0.022584854,-0.0003133165565824725
45,-0.0093650045,-0.00012991941405187616
46,0.017252626,0.00023934329668437617
47,0.0031383738,4.35382268909651e-05
48,0.007705086,0.0001068915928563175
49,0.011950451,0.00016578695579884967
50,-0.015249689,-0.00021155683120865305
51,-0.0005914489,-8.20508913451586e-06
52,0.0008746124,1.213337735904352e-05
53,0.00041313466,5.731360158271118e-06
54,0.0051518884,7.147143574005009e-05
55,0.0047036367,6.525290307019873e-05
56,0.0012436023,1.7252322309548517e-05
57,-0.00032716407,-4.538702026585798e-06
58,-0.0005899891,-8.184837670424475e-06
59,0.00029679912,4.117453162328993e-06
60,-0.00013377749,-1.8558766230344928e-06
61,0.00078370445,1.087222367074288e-05
62,0.0016427153,2.278916254839535e-05
63,0.0003821043,5.300880279549595e-06
64,0.0017025394,2.3619093855433213e-05
65,0.00085268664,1.1829204066772256e-05
66,0.000977327,1.3558322505155082e-05
67,-0.0022320778,-3.096530660015848e-05
68,0.007979179,0.00011069404567463722
69,-0.004450354,-6.173914363798845e-05
70,-0.001329448,-1.844324793530425e-05
71,-0.0016001237,-2.21982952569555e-05
72,-0.0071457927,-9.913259553405363e-05
73,-0.0042861286,-5.946086967409108e-05
74,-0.0032170403,-4.462955623783797e-05
75,0.00459072,6.368642377736324e-05
76,0.002753678,3.820139479179444e-05
77,7.477652e-05,1.0373643711881926e-06
78,-0.004591527,-6.369761905222121e-05
79,0.00037238325,5.166021388135349e-06
80,-0.0024999608,-3.4681611358542596e-05
