Day,ForecastedLogReturn,ForecastedVolatility
1,-0.003154118,-4.006480054214889e-05
2,-0.015715474,-0.0001996238967144697
3,-0.00050434866,-6.406427391609123e-06
4,-0.0029403314,-3.7349200697092474e-05
5,0.0046334984,5.885644850334442e-05
6,0.0073130997,9.289375762512764e-05
7,0.012496931,0.000158740737380974
8,-0.0011743802,-1.4917421224926654e-05
9,-0.012544496,-0.00015934493155891671
10,0.010712758,0.00013607749929732526
11,-0.0050801,-6.452935307366081e-05
12,0.014703331,0.00018676726497365197
13,0.0017741688,2.2536163057491726e-05
14,-0.0024052372,-3.0552232092946805e-05
15,0.00027337964,3.4725715976048503e-06
16,-0.013179153,-0.00016740658754373257
17,-0.0041500004,-5.2714874366964605e-05
18,0.0017268533,2.1935143758888477e-05
19,-5.264015e-05,-6.68655078872909e-07
20,0.025246331,0.00032068844892266186
21,0.013035882,0.00016558670589280158
22,-0.02514917,-0.00031945427114168066
23,-0.021158472,-0.00026876290841379983
24,0.013742379,0.000174560893475604
25,-0.0029197934,-3.708831936822826e-05
26,0.0011136081,1.4145471568740682e-05
27,0.029166456,0.00037048335703820066
28,0.0076752,9.749328976094287e-05
29,0.0018047163,2.2924188913830572e-05
30,-0.003083661,-3.916982763874871e-05
31,0.0012039802,1.5293411523303672e-05
32,-0.010071631,-0.00012793366022253688
33,-0.017562522,-0.0002230857907052923
34,0.005665139,7.196073562015613e-05
35,-0.027029369,-0.0003433372662222777
36,0.002227634,2.829624889764441e-05
37,0.0010304827,1.3089580933751094e-05
38,0.014481799,0.00018395328379536047
39,0.00013242413,1.6821013885754519e-06
40,-0.0052927695,-6.723075986240593e-05
41,-0.0044572474,-5.661764248475717e-05
42,0.0010357382,1.3156337688712245e-05
43,0.003649731,4.636026242577722e-05
44,0.0030066825,3.819201803723995e-05
45,0.0046637114,5.924022590679909e-05
46,-0.012053766,-0.0001531114973831477
47,-0.004184454,-5.315251972783831e-05
48,-0.016878907,-0.00021440225467532357
49,-0.00061316363,-7.78863632476479e-06
50,0.015788684,0.00020055383025939014
51,0.0059956876,7.615949062597421e-05
52,0.004708905,5.981428904542124e-05
53,0.0045504007,5.780090981119731e-05
54,-0.0035326185,-4.4872656223184225e-05
55,0.00530743,6.74169819886191e-05
56,-0.0023563218,-2.9930890313317705e-05
57,0.011785064,0.00014969833795179445
58,-0.010274595,-0.0001305117864613174
59,0.0027587397,3.504255547749075e-05
60,-0.007780891,-9.883581861736076e-05
61,0.0066562863,8.455066566644582e-05
62,0.0037377125,4.747783769829227e-05
63,0.012352631,0.00015690779539733396
64,-0.004858152,-6.171008388022352e-05
65,-0.009021911,-0.00011459972300725212
66,0.0026940058,3.422028095233353e-05
67,0.0045089843,5.727482328426131e-05
68,0.0046260874,5.876231118673918e-05
69,0.0074236738,9.429831123190197e-05
70,0.002139328,2.717455382362037e-05
71,-0.0027505888,-3.493901921673938e-05
72,-0.00070671976,-8.977021609935225e-06
73,0.00783743,9.95539949562198e-05
74,-0.02077505,-0.00026389253999443323
75,-5.246456e-05,-6.664246595931079e-07
76,-0.0139115015,-0.00017670915258607986
77,0.003032242,3.851668383067298e-05
78,0.0072828876,9.250999205168449e-05
79,0.009585653,0.00012176059459551261
80,0.008878475,0.00011277774744428354
