Day,ForecastedLogReturn,ForecastedVolatility
1,-0.008544857,-9.451684673476439e-05
2,-0.0029916335,-3.3091223708521446e-05
3,0.011098829,0.00012276698928767425
4,0.0014497249,1.603577807469103e-05
5,0.0016007442,1.7706241320882656e-05
6,-0.00072505395,-8.020007303302771e-06
7,-0.00936708,-0.00010361167377407537
8,-0.0010188342,-1.1269585668791362e-05
9,-0.0012279768,-1.3582965167754106e-05
10,-0.0006438868,-7.1221966954910315e-06
11,-0.0015317872,-1.6943490449115728e-05
12,0.008252939,9.128787285169649e-05
13,-0.00965911,-0.00010684188384882654
14,-0.008206112,-9.076990853641002e-05
15,-0.010251609,-0.00011339566737520716
16,-0.00092098827,-1.0187286973099412e-05
17,-0.0005751488,-6.361867986803492e-06
18,0.0010984989,1.2150777868511092e-05
19,0.0024952998,2.7601149645395724e-05
20,0.0010719831,1.1857479802360323e-05
21,-0.003363629,-3.7205962412837474e-05
22,0.003181639,3.519292212182141e-05
23,0.0036443912,4.031154376272118e-05
24,0.00016918126,1.871357271718283e-06
25,0.00205021,2.267789779843804e-05
26,-0.0046094004,-5.0985757625959514e-05
27,-0.0005545518,-6.134039147278109e-06
28,-0.00027237317,-3.012789389733986e-06
29,-7.844011e-05,-8.676461625592647e-07
30,-0.0043406654,-4.8013211104389445e-05
31,0.00068336556,7.558881407603078e-06
32,-0.0061370274,-6.788323083966584e-05
33,0.00634719,7.020789445083736e-05
34,-0.00460941,-5.09858657927318e-05
35,0.0003396894,3.7573914223510357e-06
36,-0.0006615618,-7.3177042732978125e-06
37,-0.0032319936,-3.57499088879095e-05
38,-0.0057260776,-6.333760979795107e-05
39,0.00480781,5.318041507844139e-05
40,-0.0056975125,-6.302164435450818e-05
41,-0.0011010455,-1.2178946298793739e-05
42,-0.010115189,-0.00011188668939383956
43,0.0021342046,2.3606983411986454e-05
44,-0.004735627,-5.2381984624216327e-05
45,-0.0026698147,-2.9531504165197653e-05
46,0.0008766951,9.697348797282041e-06
47,0.0026939688,2.9798678668141835e-05
48,-0.0012341847,-1.365163304035993e-05
49,-0.0026874202,-2.9726242986301405e-05
50,0.0034813033,3.8507587267133376e-05
51,0.0061204415,6.769976969227251e-05
52,-0.004358755,-4.821330418072133e-05
53,-0.00053540635,-5.9222666349387504e-06
54,-0.006108455,-6.756718298344406e-05
55,0.00460356,5.092115630891175e-05
56,-0.008962564,-9.913721616692702e-05
57,0.0010087461,1.115799876618231e-05
58,0.0041933185,4.6383369631989655e-05
59,0.0036479768,4.0351204912559143e-05
60,-0.0034045351,-3.76584343229045e-05
61,-0.00038438677,-4.251800491422868e-06
62,-0.009103733,-0.00010069872199323586
63,0.0040826416,4.515914325406261e-05
64,0.0014682598,1.6240797889960574e-05
65,-0.0034462085,-3.811939474919659e-05
66,-0.0034160032,-3.778528561740249e-05
67,-0.00522933,-5.784295925019794e-05
68,0.0012695437,1.4042747348848087e-05
69,0.0047832252,5.29084786621173e-05
70,0.0012160476,1.3451013294862995e-05
71,-5.8893125e-05,-6.514319314110954e-07
72,-0.0074567148,-8.248063035510019e-05
73,0.0005504453,6.088616185266442e-06
74,-0.008670978,-9.591190965251946e-05
75,0.0070951297,7.84810454814793e-05
76,0.006244783,6.907514110667296e-05
77,-0.0054777153,-6.0590410718642176e-05
78,-0.0068332963,-7.558483894714929e-05
79,-0.003804497,-4.2082514543560626e-05
80,-0.011091574,-0.0001226867398442359
