Day,ForecastedLogReturn,ForecastedVolatility
1,0.014245197,0.000240704278018545
2,-0.009086135,-0.0001535304496193328
3,-6.280272e-05,-1.0611915715379535e-06
4,-0.0015371974,-2.5974367525618912e-05
5,0.003016539,5.097113176869072e-05
6,0.0052087065,8.80126766858756e-05
7,-0.030132897,-0.0005091622934110398
8,-0.0122765275,-0.00020743922635687442
9,-2.5932115e-05,-4.3818073884426315e-07
10,-0.0032334926,-5.463704670700563e-05
11,-0.0052169636,-8.8152198849079e-05
12,0.019002903,0.0003210963001016061
13,0.0015319546,2.588577937115431e-05
14,-0.029703258,-0.0005019025772624587
15,0.0023164996,3.914241098403982e-05
16,-0.005499086,-9.291928215289535e-05
17,-0.009880692,-0.00016695625539587467
18,0.0018082409,3.0554250200862415e-05
19,-0.0015350092,-2.5937393995002357e-05
20,-0.008143543,-0.00013760326922477328
21,0.008761511,0.0001480452111520979
22,-0.004911347,-8.29881241611963e-05
23,-0.0002721912,-4.599275288117691e-06
24,-0.0048257355,-8.154152985808427e-05
25,0.0022348857,3.7763362812780915e-05
26,0.00750807,0.00012686553905251626
27,-0.0031513444,-5.324896956652296e-05
28,-0.0037879376,-6.400562713352317e-05
29,-0.0070011895,-0.00011830066278103858
30,0.0036134545,6.105734804536427e-05
31,-0.0066304486,-0.00011203617115820857
32,-0.01935328,-0.00032701669160932153
33,0.00061969645,1.0471149364151288e-05
34,-0.0041174344,-6.957320822640231e-05
35,0.0028571412,4.827775287442173e-05
36,0.006484521,0.00010957040097220627
37,-0.0068952795,-0.00011651107780478197
38,-0.0019937323,-3.368853982470083e-05
39,0.002629276,4.4427462056946896e-05
40,0.0148704685,0.00025126962766116863
41,0.006711926,0.00011341290995912571
42,-0.01029712,-0.00017399272978862416
43,-0.004051943,-6.846658313745279e-05
44,0.012498586,0.00021119140630964232
45,0.0017753624,2.999869516729939e-05
46,-0.021530055,-0.00036379813926579966
47,-0.008939252,-0.0001510485413802778
48,-0.003602584,-6.087366458388774e-05
49,-0.0038190605,-6.453151836405907e-05
50,-0.0011226336,-1.896939026908098e-05
51,0.018595392,0.0003142104895020564
52,-0.027586438,-0.0004661341996238446
53,0.00080673164,1.3631524643954071e-05
54,-0.0110371215,-0.0001864967073138544
55,-0.0151289655,-0.00025563750856536145
56,-0.0053010224,-8.957255996404981e-05
57,0.024107248,0.00040734554631553864
58,0.010055209,0.00016990510494178408
59,-0.011495139,-0.00019423593844494975
60,0.017014163,0.0002874921054059634
61,0.0071140593,0.00012020784860611303
62,-0.021106785,-0.00035664606259345485
63,-0.012864779,-0.00021737903956961586
64,0.0061314,0.00010360363321646912
65,0.002887218,4.8785967783074235e-05
66,0.001791432,3.0270227155260537e-05
67,-0.0079108905,-0.00013367208356408313
68,0.0031004678,5.238929760486987e-05
69,9.343357e-05,1.5787678885860848e-06
70,-0.018445347,-0.000311675139207256
71,0.006481838,0.00010952506335070965
72,-0.0010868807,-1.8365265675800283e-05
73,-0.0026300058,-4.443979574693231e-05
74,0.0006105985,1.0317418868768517e-05
75,0.018339291,0.0003098830992955765
76,-0.005010815,-8.466885793027065e-05
77,-0.011302345,-0.00019097825487548214
78,-0.0026530216,-4.48286984335154e-05
79,-0.0005054992,-8.541532746907197e-06
80,-0.015345535,-0.0002592969360220859
