Day,ForecastedLogReturn,ForecastedVolatility
1,-0.008475509,-0.00011017160199121705
2,-0.004231201,-5.500061646773258e-05
3,0.0034785552,4.5217110186841826e-05
4,-0.0015472508,-2.0112432938189188e-05
5,-0.009093489,-0.00011820461253006543
6,-0.0020649417,-2.6841803323534774e-05
7,-0.004001035,-5.200872859240657e-05
8,-0.01051029,-0.00013662135855189154
9,0.0033497268,4.354249241319204e-05
10,-0.0014921682,-1.939642408308247e-05
11,0.000709548,9.22328620501199e-06
12,-0.005712464,-7.425528576063565e-05
13,-0.0014609084,-1.899008456342214e-05
14,0.0059342855,7.713870303697519e-05
15,-0.006579897,-8.55308892679363e-05
16,0.00183244,2.3819556391890863e-05
17,0.0030403358,3.952077547045717e-05
18,-0.007881943,-0.00010245595269705958
19,-0.0022873122,-2.9732357142073245e-05
20,-0.000979947,-1.2738154298928009e-05
21,0.0049652965,6.454299054904046e-05
22,-0.011246541,-0.00014619174613387517
23,-0.010136906,-0.00013176780770317905
24,-0.0028953576,-3.763622895357358e-05
25,-0.004455009,-5.7909856041799584e-05
26,-0.00072944013,-9.481860259002208e-06
27,-0.00074845005,-9.728966815794887e-06
28,-0.0149436155,-0.00019424935446859037
29,-0.002774933,-3.607085051585622e-05
30,-0.0029009546,-3.770898354980785e-05
31,-0.018698521,-0.0002430586906876879
32,0.010157751,0.00013203876629095982
33,-0.0016308755,-2.1199455731723804e-05
34,-0.0017281881,-2.2464404809963122e-05
35,0.006528926,8.486832881623643e-05
36,0.0027665172,3.596145682722992e-05
37,0.0044483757,5.782363038987088e-05
38,0.0056802724,7.383683258102992e-05
39,-0.0034843814,-4.5292842882110766e-05
40,-0.0059827473,-7.77686496724173e-05
41,0.008671743,0.00011272241645097681
42,-0.0026697014,-3.4702964836684174e-05
43,0.00093617575,1.216917924745722e-05
44,-0.0011614355,-1.5097289951611567e-05
45,-0.006669279,-8.669275344559585e-05
46,-0.004456874,-5.793409849430745e-05
47,0.0019038598,2.4747928828314106e-05
48,-0.003589421,-4.665823470599361e-05
49,-0.0025389744,-3.30036687911556e-05
50,0.005044157,6.55680861338373e-05
51,-0.0006233364,-8.102637223139224e-06
52,0.014129798,0.00018367068666587152
53,-0.0040342817,-5.244089797610289e-05
54,-0.00047378402,-6.158632762304352e-06
55,-0.0007057869,-9.174396502490286e-06
56,-0.0036839764,-4.788734218075923e-05
57,-0.007420269,-9.645473206547681e-05
58,-0.0016516754,-2.1469830200486574e-05
59,-0.0067898706,-8.82602988740742e-05
60,-0.009929593,-0.00012907297915351493
61,0.0013812927,1.79551739632092e-05
62,0.008057149,0.00010473342366859213
63,0.008457538,0.00010993800280839972
64,0.01585443,0.0002060888598174971
65,-0.009439978,-0.00012270856360673197
66,-0.007817238,-0.00010161485762944976
67,-0.0053678527,-6.97757466217879e-05
68,-0.00073686725,-9.578404085863807e-06
69,-0.010325896,-0.0001342244488605375
70,-0.010126717,-0.00013163536703879154
71,0.0062751533,8.156958173244949e-05
72,0.0012281089,1.5963965195076132e-05
73,-0.00335242,-4.3577500209466505e-05
74,-0.009656371,-0.0001255214144632621
75,0.010194491,0.00013251633957884126
76,-0.00024139446,-3.1378429125242686e-06
77,0.0021768128,2.8295996370767575e-05
78,-0.004783094,-6.217457254906082e-05
79,-0.006905737,-8.976642403648582e-05
80,-0.0032798355,-4.2633987589688634e-05
