Day,ForecastedLogReturn,ForecastedVolatility
1,0.00034873723,4.382524336714458e-06
2,-0.00066695956,-8.381572856434184e-06
3,0.0013824861,1.7373478824921893e-05
4,-0.0015111647,-1.899056232083704e-05
5,-0.00018756252,-2.357067791905681e-06
6,0.0012875459,1.6180380854771793e-05
7,-0.002278899,-2.8638555866592846e-05
8,0.00018518252,2.3271587819345596e-06
9,0.0009790959,1.2304140099335759e-05
10,0.0047362274,5.9519403845624446e-05
11,0.004095185,5.1463528169920104e-05
12,-0.008349241,-0.00010492355736701051
13,0.004226815,5.3117699481907346e-05
14,-0.0020266385,-2.5468437811200414e-05
15,0.0040336386,5.069008386393632e-05
16,0.0009390194,1.1800504498298369e-05
17,0.0009424876,1.1844089375282308e-05
18,0.0022675677,2.849615597447051e-05
19,-0.009183929,-0.00011541295321773165
20,-0.005287821,-6.64511899644216e-05
21,0.0010615698,1.3340575658374651e-05
22,0.014651745,0.0001841261034970011
23,0.005747927,7.223326695173639e-05
24,0.0016277537,2.0455717584679648e-05
25,0.0016766754,2.1070508373967668e-05
26,0.0041773673,5.2496298982824304e-05
27,2.992309e-05,3.7603863623332767e-07
28,-0.0013120177,-1.6487913768831634e-05
29,-0.0023099238,-2.9028438040203875e-05
30,-0.004859617,-6.107002011154459e-05
31,-0.006898838,-8.669658184339256e-05
32,-0.0037797336,-4.749929985888374e-05
33,0.009186132,0.00011544063265759926
34,-0.0022040796,-2.769831221298397e-05
35,0.009048749,0.00011371416124422419
36,0.0030761096,3.8656971125646835e-05
37,0.007883684,9.907297815494089e-05
38,0.0067107608,8.433304442130957e-05
39,0.0019812852,2.4898490055253956e-05
40,-0.0011972182,-1.504524731839521e-05
41,-0.0047897752,-6.019233023646952e-05
42,-0.008387321,-0.00010540210152654846
43,0.00069163356,8.691646953741915e-06
44,0.012438957,0.0001563183550884644
45,0.0033545252,4.215577521460471e-05
46,0.0005893982,7.406871811324141e-06
47,0.0023691833,2.9773143714223625e-05
48,0.005445838,6.843696447715695e-05
49,0.0007002557,8.799999818151822e-06
50,-0.0021597436,-2.7141147910819924e-05
51,0.00080911006,1.0167955188505814e-05
52,-0.001950564,-2.4512421850973524e-05
53,-0.008892597,-0.00011175182355108077
54,-0.003387105,-4.256519977498908e-05
55,-0.005783257,-7.267725570061507e-05
56,0.0034605095,4.348766246072528e-05
57,0.0017920225,2.2520056647085766e-05
58,0.0038841425,4.881139016101443e-05
59,0.0025646063,3.222899177567062e-05
60,-0.00097033195,-1.2194004602923806e-05
61,-0.0047897752,-6.019233023646952e-05
62,-0.006082329,-7.643564377965492e-05
63,-0.009987069,-0.00012550588351855187
64,0.0076214224,9.577718198320238e-05
65,0.0036094189,4.5358982782202524e-05
66,0.0013472144,1.6930225951215165e-05
67,0.0025351308,3.1858578840207495e-05
68,-0.0010454317,-1.3137771094334017e-05
69,-0.0006301839,-7.919419109399248e-06
70,-0.0021984032,-2.7626977673451985e-05
71,-0.0017441574,-2.1918543796288157e-05
72,-0.0038637226,-4.8554776005125436e-05
73,-5.4785676e-05,-6.884827261464647e-07
74,-0.0035874713,-4.508317150105228e-05
75,0.004536562,5.70102421400096e-05
76,-0.0038827886,-4.879437579073639e-05
77,0.012205956,0.00015339026827899266
78,0.0041379337,5.200074337895334e-05
79,0.0007980613,1.0029107393634987e-05
80,-0.0034393843,-4.322218561737762e-05
