Day,ForecastedLogReturn
1,-0.0007209265183410952
2,-0.0007209265183410952
3,-0.0007209265183410952
4,-0.0007209265183410952
5,-0.0007209265183410952
6,-0.0007209265183410952
7,-0.0007209265183410952
8,-0.0007209265183410952
9,-0.0007209265183410952
10,-0.0007209265183410952
11,-0.0007209265183410952
12,-0.0007209265183410952
13,-0.0007209265183410952
14,-0.0007209265183410952
15,-0.0007209265183410952
16,-0.0007209265183410952
17,-0.0007209265183410952
18,-0.0007209265183410952
19,-0.0007209265183410952
20,-0.0007209265183410952
21,-0.0007209265183410952
22,-0.0007209265183410952
23,-0.0007209265183410952
24,-0.0007209265183410952
25,-0.0007209265183410952
26,-0.0007209265183410952
27,-0.0007209265183410952
28,-0.0007209265183410952
29,-0.0007209265183410952
30,-0.0007209265183410952
31,-0.0007209265183410952
32,-0.0007209265183410952
33,-0.0007209265183410952
34,-0.0007209265183410952
35,-0.0007209265183410952
36,-0.0007209265183410952
37,-0.0007209265183410952
38,-0.0007209265183410952
39,-0.0007209265183410952
40,-0.0007209265183410952
41,-0.0007209265183410952
42,-0.0007209265183410952
43,-0.0007209265183410952
44,-0.0007209265183410952
45,-0.0007209265183410952
46,-0.0007209265183410952
47,-0.0007209265183410952
48,-0.0007209265183410952
49,-0.0007209265183410952
50,-0.0007209265183410952
51,-0.0007209265183410952
52,-0.0007209265183410952
53,-0.0007209265183410952
54,-0.0007209265183410952
55,-0.0007209265183410952
56,-0.0007209265183410952
57,-0.0007209265183410952
58,-0.0007209265183410952
59,-0.0007209265183410952
60,-0.0007209265183410952
61,-0.0007209265183410952
62,-0.0007209265183410952
63,-0.0007209265183410952
64,-0.0007209265183410952
65,-0.0007209265183410952
66,-0.0007209265183410952
67,-0.0007209265183410952
68,-0.0007209265183410952
69,-0.0007209265183410952
70,-0.0007209265183410952
71,-0.0007209265183410952
72,-0.0007209265183410952
73,-0.0007209265183410952
74,-0.0007209265183410952
75,-0.0007209265183410952
76,-0.0007209265183410952
77,-0.0007209265183410952
78,-0.0007209265183410952
79,-0.0007209265183410952
80,-0.0007209265183410952
