Day,ForecastedLogReturn
1,-0.00025149182523445874
2,-0.00025149182523445874
3,-0.00025149182523445874
4,-0.00025149182523445874
5,-0.00025149182523445874
6,-0.00025149182523445874
7,-0.00025149182523445874
8,-0.00025149182523445874
9,-0.00025149182523445874
10,-0.00025149182523445874
11,-0.00025149182523445874
12,-0.00025149182523445874
13,-0.00025149182523445874
14,-0.00025149182523445874
15,-0.00025149182523445874
16,-0.00025149182523445874
17,-0.00025149182523445874
18,-0.00025149182523445874
19,-0.00025149182523445874
20,-0.00025149182523445874
21,-0.00025149182523445874
22,-0.00025149182523445874
23,-0.00025149182523445874
24,-0.00025149182523445874
25,-0.00025149182523445874
26,-0.00025149182523445874
27,-0.00025149182523445874
28,-0.00025149182523445874
29,-0.00025149182523445874
30,-0.00025149182523445874
31,-0.00025149182523445874
32,-0.00025149182523445874
33,-0.00025149182523445874
34,-0.00025149182523445874
35,-0.00025149182523445874
36,-0.00025149182523445874
37,-0.00025149182523445874
38,-0.00025149182523445874
39,-0.00025149182523445874
40,-0.00025149182523445874
41,-0.00025149182523445874
42,-0.00025149182523445874
43,-0.00025149182523445874
44,-0.00025149182523445874
45,-0.00025149182523445874
46,-0.00025149182523445874
47,-0.00025149182523445874
48,-0.00025149182523445874
49,-0.00025149182523445874
50,-0.00025149182523445874
51,-0.00025149182523445874
52,-0.00025149182523445874
53,-0.00025149182523445874
54,-0.00025149182523445874
55,-0.00025149182523445874
56,-0.00025149182523445874
57,-0.00025149182523445874
58,-0.00025149182523445874
59,-0.00025149182523445874
60,-0.00025149182523445874
61,-0.00025149182523445874
62,-0.00025149182523445874
63,-0.00025149182523445874
64,-0.00025149182523445874
65,-0.00025149182523445874
66,-0.00025149182523445874
67,-0.00025149182523445874
68,-0.00025149182523445874
69,-0.00025149182523445874
70,-0.00025149182523445874
71,-0.00025149182523445874
72,-0.00025149182523445874
73,-0.00025149182523445874
74,-0.00025149182523445874
75,-0.00025149182523445874
76,-0.00025149182523445874
77,-0.00025149182523445874
78,-0.00025149182523445874
79,-0.00025149182523445874
80,-0.00025149182523445874
