Day,ForecastedLogReturn
1,-2.906196314585236e-05
2,-2.906196314585236e-05
3,-2.906196314585236e-05
4,-2.906196314585236e-05
5,-2.906196314585236e-05
6,-2.906196314585236e-05
7,-2.906196314585236e-05
8,-2.906196314585236e-05
9,-2.906196314585236e-05
10,-2.906196314585236e-05
11,-2.906196314585236e-05
12,-2.906196314585236e-05
13,-2.906196314585236e-05
14,-2.906196314585236e-05
15,-2.906196314585236e-05
16,-2.906196314585236e-05
17,-2.906196314585236e-05
18,-2.906196314585236e-05
19,-2.906196314585236e-05
20,-2.906196314585236e-05
21,-2.906196314585236e-05
22,-2.906196314585236e-05
23,-2.906196314585236e-05
24,-2.906196314585236e-05
25,-2.906196314585236e-05
26,-2.906196314585236e-05
27,-2.906196314585236e-05
28,-2.906196314585236e-05
29,-2.906196314585236e-05
30,-2.906196314585236e-05
31,-2.906196314585236e-05
32,-2.906196314585236e-05
33,-2.906196314585236e-05
34,-2.906196314585236e-05
35,-2.906196314585236e-05
36,-2.906196314585236e-05
37,-2.906196314585236e-05
38,-2.906196314585236e-05
39,-2.906196314585236e-05
40,-2.906196314585236e-05
41,-2.906196314585236e-05
42,-2.906196314585236e-05
43,-2.906196314585236e-05
44,-2.906196314585236e-05
45,-2.906196314585236e-05
46,-2.906196314585236e-05
47,-2.906196314585236e-05
48,-2.906196314585236e-05
49,-2.906196314585236e-05
50,-2.906196314585236e-05
51,-2.906196314585236e-05
52,-2.906196314585236e-05
53,-2.906196314585236e-05
54,-2.906196314585236e-05
55,-2.906196314585236e-05
56,-2.906196314585236e-05
57,-2.906196314585236e-05
58,-2.906196314585236e-05
59,-2.906196314585236e-05
60,-2.906196314585236e-05
61,-2.906196314585236e-05
62,-2.906196314585236e-05
63,-2.906196314585236e-05
64,-2.906196314585236e-05
65,-2.906196314585236e-05
66,-2.906196314585236e-05
67,-2.906196314585236e-05
68,-2.906196314585236e-05
69,-2.906196314585236e-05
70,-2.906196314585236e-05
71,-2.906196314585236e-05
72,-2.906196314585236e-05
73,-2.906196314585236e-05
74,-2.906196314585236e-05
75,-2.906196314585236e-05
76,-2.906196314585236e-05
77,-2.906196314585236e-05
78,-2.906196314585236e-05
79,-2.906196314585236e-05
80,-2.906196314585236e-05
