Day,ForecastedLogReturn
1,-0.0017024832825556211
2,-0.0017024832825556211
3,-0.0017024832825556211
4,-0.0017024832825556211
5,-0.0017024832825556211
6,-0.0017024832825556211
7,-0.0017024832825556211
8,-0.0017024832825556211
9,-0.0017024832825556211
10,-0.0017024832825556211
11,-0.0017024832825556211
12,-0.0017024832825556211
13,-0.0017024832825556211
14,-0.0017024832825556211
15,-0.0017024832825556211
16,-0.0017024832825556211
17,-0.0017024832825556211
18,-0.0017024832825556211
19,-0.0017024832825556211
20,-0.0017024832825556211
21,-0.0017024832825556211
22,-0.0017024832825556211
23,-0.0017024832825556211
24,-0.0017024832825556211
25,-0.0017024832825556211
26,-0.0017024832825556211
27,-0.0017024832825556211
28,-0.0017024832825556211
29,-0.0017024832825556211
30,-0.0017024832825556211
31,-0.0017024832825556211
32,-0.0017024832825556211
33,-0.0017024832825556211
34,-0.0017024832825556211
35,-0.0017024832825556211
36,-0.0017024832825556211
37,-0.0017024832825556211
38,-0.0017024832825556211
39,-0.0017024832825556211
40,-0.0017024832825556211
41,-0.0017024832825556211
42,-0.0017024832825556211
43,-0.0017024832825556211
44,-0.0017024832825556211
45,-0.0017024832825556211
46,-0.0017024832825556211
47,-0.0017024832825556211
48,-0.0017024832825556211
49,-0.0017024832825556211
50,-0.0017024832825556211
51,-0.0017024832825556211
52,-0.0017024832825556211
53,-0.0017024832825556211
54,-0.0017024832825556211
55,-0.0017024832825556211
56,-0.0017024832825556211
57,-0.0017024832825556211
58,-0.0017024832825556211
59,-0.0017024832825556211
60,-0.0017024832825556211
61,-0.0017024832825556211
62,-0.0017024832825556211
63,-0.0017024832825556211
64,-0.0017024832825556211
65,-0.0017024832825556211
66,-0.0017024832825556211
67,-0.0017024832825556211
68,-0.0017024832825556211
69,-0.0017024832825556211
70,-0.0017024832825556211
71,-0.0017024832825556211
72,-0.0017024832825556211
73,-0.0017024832825556211
74,-0.0017024832825556211
75,-0.0017024832825556211
76,-0.0017024832825556211
77,-0.0017024832825556211
78,-0.0017024832825556211
79,-0.0017024832825556211
80,-0.0017024832825556211
