Day,ForecastedLogReturn
1,-0.00028395868257358604
2,-0.00028395868257358604
3,-0.00028395868257358604
4,-0.00028395868257358604
5,-0.00028395868257358604
6,-0.00028395868257358604
7,-0.00028395868257358604
8,-0.00028395868257358604
9,-0.00028395868257358604
10,-0.00028395868257358604
11,-0.00028395868257358604
12,-0.00028395868257358604
13,-0.00028395868257358604
14,-0.00028395868257358604
15,-0.00028395868257358604
16,-0.00028395868257358604
17,-0.00028395868257358604
18,-0.00028395868257358604
19,-0.00028395868257358604
20,-0.00028395868257358604
21,-0.00028395868257358604
22,-0.00028395868257358604
23,-0.00028395868257358604
24,-0.00028395868257358604
25,-0.00028395868257358604
26,-0.00028395868257358604
27,-0.00028395868257358604
28,-0.00028395868257358604
29,-0.00028395868257358604
30,-0.00028395868257358604
31,-0.00028395868257358604
32,-0.00028395868257358604
33,-0.00028395868257358604
34,-0.00028395868257358604
35,-0.00028395868257358604
36,-0.00028395868257358604
37,-0.00028395868257358604
38,-0.00028395868257358604
39,-0.00028395868257358604
40,-0.00028395868257358604
41,-0.00028395868257358604
42,-0.00028395868257358604
43,-0.00028395868257358604
44,-0.00028395868257358604
45,-0.00028395868257358604
46,-0.00028395868257358604
47,-0.00028395868257358604
48,-0.00028395868257358604
49,-0.00028395868257358604
50,-0.00028395868257358604
51,-0.00028395868257358604
52,-0.00028395868257358604
53,-0.00028395868257358604
54,-0.00028395868257358604
55,-0.00028395868257358604
56,-0.00028395868257358604
57,-0.00028395868257358604
58,-0.00028395868257358604
59,-0.00028395868257358604
60,-0.00028395868257358604
61,-0.00028395868257358604
62,-0.00028395868257358604
63,-0.00028395868257358604
64,-0.00028395868257358604
65,-0.00028395868257358604
66,-0.00028395868257358604
67,-0.00028395868257358604
68,-0.00028395868257358604
69,-0.00028395868257358604
70,-0.00028395868257358604
71,-0.00028395868257358604
72,-0.00028395868257358604
73,-0.00028395868257358604
74,-0.00028395868257358604
75,-0.00028395868257358604
76,-0.00028395868257358604
77,-0.00028395868257358604
78,-0.00028395868257358604
79,-0.00028395868257358604
80,-0.00028395868257358604
