Company,MAE,RMSE
AETEC,0.03252358800096963,0.05195170776415518
AMV,0.0017620167290468656,0.0024721616840482634
ARTES,0.01708480471972715,0.034015342779028256
BH,0.013427308618727499,0.01822498372668404
BHL,0.03284547544741305,0.043956548191464564
BNA,0.010261878362612123,0.01730272725824686
BS,0.009953398001965048,0.019416696227276906
BTEI,0.02395238595377434,0.035080727537629995
CC,0.010185768128483918,0.013243510709110774
CELL,0.02860202019596786,0.0441282317495763
CIL,0.017315721220142404,0.04334408258758498
CITY,0.010792992389628567,0.015362111053589936
DH,0.010783253852974963,0.015635000262917358
ECYCL,0.014874749117796956,0.027206033447071953
GIF,0.028435231392781302,0.03601561537641942
HANL,0.008799362082653708,0.013326621415579788
ICF,0.01239388047176687,0.0177186034709123
LNDOR,0.015743429457540585,0.023613913812637652
LSTR,0.05047509121161854,0.08510029499800131
MIP,0.0555936613199321,0.06959658630106429
MNP,0.016636864343066503,0.026957406354112822
MPBS,0.017424667121542933,0.023379838486665694
NAKL,0.015147374576711621,0.02726272981467482
NBL,0.009137446205783172,0.015201939063994464
OTH,0.009144179726363132,0.014738735627490535
PLAST,0.026410388707539482,0.03232776312444481
SAH,0.00754487341030176,0.010630729778770472
SAMAA,0.012810940258540751,0.02958825598389238
SERVI,0.08393123970699931,0.13107356725659092
SIPHA,0.021683379592053752,0.028826054341434905
SITS,0.027651088800741873,0.047082382973832465
SMD,0.03418139291619037,0.045870040550869
SOPAT,0.015489688691303165,0.021798200893355754
SOTE,0.018041151269700944,0.02682432321814001
SPDI,0.011721326166140847,0.023820199281098398
STAR,0.009272001559267723,0.016479524308521048
STIP,0.06390822474393316,0.10339258048926815
STVR,0.01126069047422042,0.017999499809813076
TINV,0.03539984512373921,0.05018272136990334
TJL,0.014528072836767813,0.021523506159088053
TLNET,0.009367374537061084,0.01377387934458474
TLS,0.012979625441932808,0.017727428656043435
TRE,0.01542491260248102,0.022908413124758106
UMED,0.010859391903993343,0.013537488380068364
WIFAK,0.007265379359510682,0.011480993540775957
