Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,0.47,0.47,0.47,0.47,2730.0,4.44,4.444444444444429
2020-09-23,0.48,0.48,0.48,0.48,200.0,2.13,2.127659574468077
2020-09-24,0.51,0.5,0.51,0.5,2510.0,6.25,6.25
2020-09-25,0.53,0.53,0.53,0.53,1440.0,3.92,3.9215686274509887
2020-09-28,0.55,0.55,0.55,0.55,3110.0,3.77,3.7735849056603765
2020-09-29,0.58,0.56,0.58,0.56,8550.0,5.45,5.454545454545445
2020-09-30,0.59,0.58,0.59,0.58,2810.0,1.72,1.724137931034475
2020-10-01,0.6,0.6,0.6,0.6,600.0,1.69,1.6949152542372836
2020-10-02,0.58,0.56,0.58,0.56,7110.0,-3.33,-3.3333333333333326
2020-10-05,0.57,0.57,0.57,0.57,260.0,-1.72,-1.7241379310344862
2020-10-06,0.57,0.56,0.57,0.56,4840.0,0.0,0.0
2020-10-07,0.57,0.58,0.58,0.57,1220.0,0.0,0.0
2020-10-08,0.57,0.57,0.57,0.57,220.0,0.0,0.0
2020-10-09,0.59,0.58,0.59,0.58,660.0,3.51,3.5087719298245723
2020-10-13,0.56,0.58,0.58,0.56,710.0,-5.08,-5.084745762711851
2020-10-14,0.54,0.55,0.55,0.54,750.0,-3.57,-3.57142857142857
2020-10-16,0.53,0.53,0.53,0.53,540.0,-1.85,-1.851851851851849
2020-10-19,0.52,0.52,0.52,0.52,1390.0,-1.89,-1.8867924528301883
2020-10-20,0.53,0.53,0.53,0.53,130.0,1.92,1.9230769230769162
2020-10-21,0.54,0.54,0.54,0.54,130.0,1.89,1.8867924528301883
2020-10-22,0.54,0.54,0.54,0.54,950.0,0.0,0.0
2020-10-23,0.54,0.54,0.54,0.54,120.0,0.0,0.0
2020-10-26,0.54,0.55,0.55,0.54,760.0,0.0,0.0
2020-10-27,0.53,0.53,0.53,0.53,10.0,-1.85,-1.851851851851849
2020-10-28,0.54,0.54,0.54,0.54,400.0,1.89,1.8867924528301883
2020-11-02,0.55,0.56,0.56,0.55,250.0,1.85,1.85185185185186
2020-11-03,0.56,0.56,0.56,0.56,70.0,1.82,1.81818181818183
2020-11-04,0.55,0.56,0.57,0.55,360.0,-1.79,-1.7857142857142905
2020-11-05,0.56,0.56,0.56,0.56,70.0,1.82,1.81818181818183
2020-11-06,0.58,0.57,0.58,0.57,150.0,3.57,3.5714285714285587
2020-11-09,0.58,0.58,0.58,0.58,10.0,0.0,0.0
2020-11-10,0.58,0.58,0.58,0.58,40.0,0.0,0.0
2020-11-12,0.58,0.58,0.58,0.58,90.0,0.0,0.0
2020-11-13,0.58,0.58,0.58,0.58,10.0,0.0,0.0
2020-11-16,0.57,0.57,0.57,0.57,10.0,-1.72,-1.7241379310344862
2020-11-17,0.57,0.58,0.58,0.57,70.0,0.0,0.0
2020-11-18,0.56,0.56,0.56,0.56,30.0,-1.75,-1.754385964912264
2020-11-20,0.58,0.58,0.58,0.58,1020.0,3.57,3.5714285714285587
2020-11-23,0.59,0.59,0.59,0.59,180.0,1.72,1.724137931034475
2020-11-24,0.6,0.59,0.6,0.59,130.0,1.69,1.6949152542372836
2020-11-25,0.58,0.58,0.58,0.58,590.0,-3.33,-3.3333333333333326
2020-11-26,0.58,0.58,0.58,0.58,20.0,0.0,0.0
2020-11-27,0.58,0.58,0.58,0.58,730.0,0.0,0.0
2020-11-30,0.56,0.56,0.56,0.56,350.0,-3.45,-3.44827586206895
2020-12-01,0.55,0.56,0.56,0.55,2840.0,-1.79,-1.7857142857142905
2020-12-02,0.53,0.54,0.54,0.53,2790.0,-3.64,-3.6363636363636376
2020-12-03,0.52,0.52,0.52,0.52,1960.0,-1.89,-1.8867924528301883
2020-12-04,0.51,0.51,0.51,0.51,3290.0,-1.92,-1.9230769230769273
2020-12-07,0.51,0.5,0.51,0.5,3510.0,0.0,0.0
2020-12-08,0.51,0.51,0.51,0.51,3280.0,0.0,0.0
2020-12-09,0.51,0.51,0.51,0.51,21120.0,0.0,0.0
2020-12-10,0.53,0.52,0.53,0.52,2590.0,3.92,3.9215686274509887
2020-12-11,0.53,0.53,0.53,0.53,330.0,0.0,0.0
2020-12-15,0.53,0.53,0.53,0.53,2050.0,0.0,0.0
2020-12-16,0.52,0.53,0.53,0.52,1130.0,-1.89,-1.8867924528301883
2020-12-17,0.52,0.52,0.52,0.52,3490.0,0.0,0.0
2020-12-18,0.52,0.53,0.53,0.52,4100.0,0.0,0.0
2020-12-21,0.53,0.53,0.53,0.52,7680.0,1.92,1.9230769230769162
2020-12-22,0.55,0.55,0.55,0.55,2500.0,3.77,3.7735849056603765
2020-12-23,0.57,0.56,0.57,0.56,5280.0,3.64,3.6363636363636154
2020-12-24,0.59,0.59,0.59,0.59,1430.0,3.51,3.5087719298245723
2020-12-25,0.61,0.6,0.61,0.6,4160.0,3.39,3.3898305084745894
2020-12-28,0.63,0.63,0.63,0.63,36160.0,3.28,3.2786885245901676
2020-12-29,0.63,0.63,0.63,0.63,220.0,0.0,0.0
2020-12-30,0.61,0.62,0.62,0.61,16430.0,-3.17,-3.1746031746031744
2020-12-31,0.61,0.61,0.61,0.61,270.0,0.0,0.0
2021-01-04,0.6,0.6,0.6,0.6,20.0,-1.64,-1.6393442622950838
2021-01-05,0.62,0.62,0.62,0.62,5260.0,3.33,3.3333333333333437
2021-01-06,0.6,0.61,0.61,0.6,650.0,-3.23,-3.2258064516129115
2021-01-07,0.59,0.6,0.6,0.59,2029.9999999999998,-1.67,-1.6666666666666718
2021-01-08,0.58,0.58,0.58,0.58,1290.0,-1.69,-1.6949152542372947
2021-01-12,0.59,0.59,0.59,0.59,20.0,1.72,1.724137931034475
2021-01-13,0.58,0.58,0.58,0.58,6610.0,-1.69,-1.6949152542372947
2021-01-18,0.56,0.57,0.57,0.56,6500.0,-3.45,-3.44827586206895
2021-01-19,0.57,0.57,0.57,0.57,20.0,1.79,1.7857142857142572
2021-01-20,0.56,0.59,0.59,0.56,700.0,-1.75,-1.754385964912264
2021-01-21,0.58,0.55,0.58,0.55,5030.0,3.57,3.5714285714285587
2021-01-22,0.58,0.59,0.59,0.58,1060.0,0.0,0.0
2021-01-26,0.58,0.59,0.59,0.58,30.0,0.0,0.0
2021-02-09,0.51,0.49,0.51,0.49,690.0,2.0,2.0000000000000018
2021-02-10,0.54,0.52,0.54,0.52,280.0,5.88,5.882352941176472
2021-02-11,0.55,0.55,0.55,0.55,1420.0,1.85,1.85185185185186
2021-02-12,0.53,0.54,0.54,0.53,30700.0,-3.64,-3.6363636363636376
2021-02-15,0.53,0.53,0.53,0.53,20.0,0.0,0.0
2021-02-16,0.52,0.53,0.53,0.52,160.0,-1.89,-1.8867924528301883
2021-02-17,0.51,0.51,0.51,0.51,310.0,-1.92,-1.9230769230769273
2021-02-18,0.49,0.5,0.5,0.49,1590.0,-3.92,-3.9215686274509887
2021-02-19,0.49,0.49,0.49,0.49,100.0,0.0,0.0
2021-02-22,0.49,0.49,0.49,0.49,10.0,0.0,0.0
2021-02-23,0.49,0.49,0.49,0.48,150.0,0.0,0.0
2021-02-24,0.48,0.48,0.48,0.48,1680.0,-2.04,-2.0408163265306145
