Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-23,4.09,4.1,4.1,3.99,9720.0,-0.49,-0.48661800486619056
2020-09-24,4.08,4.0,4.08,4.0,4950.0,-0.24,-0.24449877750610804
2020-09-25,4.02,4.02,4.03,4.02,7700.0,-1.47,-1.4705882352941346
2020-09-28,4.08,4.02,4.08,4.0,4090.0,1.49,1.4925373134328401
2020-09-30,4.0,3.96,4.01,3.96,3960.0,0.5,0.5025125628140614
2020-10-01,3.98,3.99,3.99,3.96,12610.0,-0.5,-0.5000000000000004
2020-10-02,3.98,3.96,3.98,3.96,1310.0,0.0,0.0
2020-10-05,4.05,4.05,4.05,4.05,870.0,1.76,1.7587939698492372
2020-10-07,4.24,4.24,4.35,4.2,3790.0,0.0,0.0
2020-10-08,4.27,4.15,4.27,4.15,8650.0,0.71,0.7075471698112956
2020-10-09,4.34,4.34,4.34,4.25,150.0,1.64,1.6393442622950838
2020-10-12,4.3,4.32,4.32,4.25,2180.0,-0.92,-0.9216589861751112
2020-10-13,4.28,4.28,4.28,4.28,800.0,-0.47,-0.46511627906975495
2020-10-14,4.36,4.28,4.36,4.28,4740.0,1.87,1.869158878504673
2020-10-16,4.4,4.38,4.42,4.26,20090.0,0.92,0.917431192660545
2020-10-19,4.43,4.42,4.43,4.34,2450.0,0.68,0.6818181818181612
2020-10-22,4.12,4.12,4.12,4.11,370.0,0.24,0.24330900243307862
2020-10-23,4.12,4.07,4.12,4.06,1760.0,0.0,0.0
2020-10-26,4.2,4.15,4.2,4.1,2970.0,1.94,1.9417475728155331
2020-10-27,4.19,4.2,4.25,4.1,2460.0,-0.24,-0.23809523809523725
2020-10-28,4.2,4.12,4.2,4.11,4620.0,0.24,0.23866348448686736
2020-10-30,4.2,4.23,4.23,4.2,380.0,0.0,0.0
2020-11-02,4.16,4.1,4.16,4.08,2580.0,-0.95,-0.952380952380949
2020-11-03,4.2,4.16,4.2,4.16,7280.0,0.96,0.9615384615384581
2020-11-05,4.18,4.19,4.19,4.04,390.0,1.95,1.9512195121951237
2020-11-06,4.12,4.14,4.14,4.12,4140.0,-1.44,-1.4354066985645786
2020-11-10,4.15,4.07,4.15,4.07,1420.0,0.73,0.728155339805836
2020-11-11,4.15,4.1,4.15,4.1,430.0,0.0,0.0
2020-11-12,4.15,4.15,4.15,4.1,12430.0,0.0,0.0
2020-11-13,4.14,4.14,4.14,4.1,2320.0,-0.24,-0.2409638554217053
2020-11-16,4.15,4.09,4.15,4.03,310.0,0.24,0.24154589371983004
2020-11-17,4.15,4.15,4.15,4.06,560.0,0.0,0.0
2020-11-18,4.15,4.06,4.15,4.06,11820.0,0.0,0.0
2020-11-19,4.08,4.2,4.2,4.08,18690.0,-1.69,-1.6867469879518149
2020-11-20,4.08,4.05,4.08,4.03,1560.0,0.0,0.0
2020-11-23,4.08,4.01,4.19,4.0,21920.0,0.0,0.0
2020-11-24,4.15,4.18,4.18,4.15,30.0,1.72,1.71568627450982
2020-11-25,4.19,4.18,4.2,4.15,2870.0,0.96,0.9638554216867545
2020-11-26,4.18,4.15,4.19,4.15,3550.0,-0.24,-0.23866348448688957
