Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-25,57.98,57.98,57.98,57.98,20.0,0.0,0.0
2020-10-02,57.9,57.9,57.9,57.9,20.0,0.0,0.0
2020-10-07,57.5,57.5,57.5,57.5,20.0,0.0,0.0
2020-10-16,57.98,57.98,57.98,57.98,10.0,0.0,0.0
2020-11-03,57.98,57.98,57.98,57.98,10.0,0.0,0.0
2020-11-04,57.98,57.98,57.98,57.98,510.0,0.0,0.0
2020-11-25,59.0,59.0,59.0,59.0,20.0,0.0,0.0
2020-12-10,59.0,59.0,59.0,59.0,20.0,0.0,0.0
2020-12-21,59.0,59.0,59.0,59.0,20.0,0.0,0.0
2020-12-23,59.0,59.0,59.0,59.0,20.0,0.0,0.0
2020-12-24,59.0,59.0,59.0,59.0,40.0,0.0,0.0
2020-12-29,59.5,59.5,59.5,59.5,60.0,0.0,0.0
2020-12-30,59.5,59.5,59.5,59.5,360.0,0.0,0.0
2021-01-15,59.5,59.5,59.5,59.5,10.0,0.0,0.0
2021-02-04,59.0,59.0,59.0,59.0,2000.0,0.0,0.0
2021-03-09,59.0,59.0,59.0,59.0,0.0,0.0,0.0
2021-03-23,59.0,59.0,59.0,59.0,0.0,0.0,0.0
2021-08-17,56.2,56.2,56.2,56.2,60.0,0.0,0.0
2021-08-19,56.2,56.2,56.2,56.2,40.0,0.0,0.0
2021-08-20,56.2,56.2,56.2,56.2,40.0,0.0,0.0
2021-10-29,56.2,56.2,56.2,56.2,5060.0,0.0,0.0
2021-11-16,56.2,56.2,56.2,56.2,100.0,0.0,0.0
2021-12-02,56.2,56.2,56.2,56.2,10.0,0.0,0.0
2021-12-03,56.2,56.2,56.2,56.2,390.0,0.0,0.0
2021-12-13,56.2,56.2,56.2,56.2,300.0,0.0,0.0
2021-12-16,56.2,56.2,56.2,56.2,50.0,0.0,0.0
2022-01-07,55.0,55.0,55.0,55.0,30.0,0.0,0.0
2022-02-09,57.41,57.41,57.41,57.41,153980.0,0.0,0.0
2022-03-07,57.43,57.43,57.43,57.43,51330.0,0.0,0.0
2022-03-09,57.43,57.43,57.43,57.43,10.0,0.0,0.0
2022-03-21,57.43,57.43,57.43,57.43,51330.0,0.0,0.0
2022-03-22,57.43,57.43,57.43,57.43,51330.0,0.0,0.0
2022-03-29,57.43,57.43,57.43,57.43,0.0,0.0,0.0
2022-04-14,57.43,57.43,57.43,57.43,51330.0,0.0,0.0
2022-04-19,57.43,57.43,57.43,57.43,500.0,0.0,0.0
2022-04-20,57.43,57.43,57.43,57.43,2000.0,0.0,0.0
2022-04-21,57.43,57.43,57.43,57.43,1000.0,0.0,0.0
2022-04-26,57.43,57.43,57.43,57.43,670.0,0.0,0.0
2022-04-28,57.43,57.43,57.43,57.43,10.0,0.0,0.0
2022-04-29,57.43,57.43,57.43,57.43,500.0,0.0,0.0
2022-05-04,57.43,57.43,57.43,57.43,310.0,0.0,0.0
2022-06-06,57.43,57.43,57.43,57.43,10.0,0.0,0.0
2022-06-13,57.43,57.43,57.43,57.43,490.0,0.0,0.0
2022-07-13,54.6,54.6,54.6,54.6,10.0,0.0,0.0
2022-08-09,54.6,54.6,54.6,54.6,20.0,0.0,0.0
2022-08-23,54.6,54.6,54.6,54.6,200.0,0.0,0.0
