Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-29,56.17,54.54,56.17,54.54,150.0,0.0,0.0
2020-11-13,47.5,47.5,47.5,47.5,680.0,0.0,0.0
2020-11-17,47.5,47.5,47.5,47.5,1650.0,0.0,0.0
2020-11-18,47.5,47.5,47.5,47.5,1510.0,0.0,0.0
2020-11-19,47.5,47.5,47.5,47.5,3550.0,0.0,0.0
2020-11-20,47.5,47.5,47.5,47.5,3000.0,0.0,0.0
2020-11-23,47.5,47.5,47.5,47.5,3530.0,0.0,0.0
2020-11-24,47.5,47.5,47.5,47.5,3000.0,0.0,0.0
2020-11-27,47.5,47.5,47.5,47.5,300.0,0.0,0.0
2020-12-01,47.5,47.5,47.5,47.5,3000.0,0.0,0.0
2020-12-03,47.5,47.5,47.5,47.5,3000.0,0.0,0.0
2020-12-04,47.5,47.5,47.5,47.5,7500.0,0.0,0.0
2020-12-08,47.5,47.5,47.5,47.5,120.0,0.0,0.0
2020-12-14,47.51,47.51,47.51,47.51,200.0,0.0,0.0
2020-12-16,47.5,47.5,47.5,47.5,100.0,0.0,0.0
2020-12-17,47.5,47.5,47.5,47.5,10000.0,0.0,0.0
2020-12-18,47.5,47.5,47.5,47.5,20.0,0.0,0.0
2020-12-21,47.5,47.5,47.5,47.5,20.0,0.0,0.0
2020-12-23,47.5,47.5,47.5,47.5,10550.0,0.0,0.0
2020-12-25,47.5,47.5,47.5,47.5,550.0,0.0,0.0
2021-01-11,47.5,47.5,47.5,47.5,6350.0,0.0,0.0
2021-01-12,47.5,47.5,47.5,47.5,21150.0,0.0,0.0
2021-01-18,47.5,47.5,47.5,47.5,14320.0,0.0,0.0
2021-01-20,47.5,47.5,47.5,47.5,200.0,0.0,0.0
2021-01-29,47.5,47.5,47.5,47.5,0.0,0.0,0.0
2021-02-05,47.5,47.5,47.5,47.5,140.0,0.0,0.0
2021-02-12,47.5,47.5,47.5,47.5,150.0,0.0,0.0
2021-02-17,47.5,47.5,47.5,47.5,100.0,0.0,0.0
2021-03-08,47.5,47.5,47.5,47.5,10.0,0.0,0.0
2021-03-10,47.5,47.5,47.5,47.5,750.0,0.0,0.0
2021-03-24,47.5,47.5,47.5,47.5,10.0,0.0,0.0
2021-03-31,47.5,47.5,47.5,47.5,90440.0,0.0,0.0
2021-04-07,47.5,47.5,47.5,47.5,80.0,0.0,0.0
2021-06-23,47.0,47.0,47.0,47.0,10.0,0.0,0.0
2021-08-25,48.0,48.0,48.0,48.0,30.0,0.0,0.0
2021-12-09,47.5,47.5,47.5,47.5,10.0,0.0,0.0
2022-01-05,47.5,47.5,47.5,47.5,0.0,0.0,0.0
2022-02-22,47.5,47.5,47.5,47.5,30.0,0.0,0.0
2022-03-01,47.5,47.5,47.5,47.5,20.0,0.0,0.0
2022-03-14,47.5,47.5,47.5,47.5,290.0,0.0,0.0
2022-03-16,47.5,50.35,50.35,47.5,220.0,0.0,0.0
2022-04-12,47.5,47.5,47.5,47.5,120.0,0.0,0.0
2022-05-04,47.5,47.5,47.5,47.5,250.0,0.0,0.0
2022-08-02,48.5,48.5,48.5,48.5,40.0,0.0,0.0
2022-08-16,48.5,48.5,48.5,48.5,10.0,0.0,0.0
2022-08-22,48.5,48.5,48.5,48.5,30.0,0.0,0.0
2022-08-24,48.5,48.5,48.5,48.5,10.0,0.0,0.0
2022-09-01,48.5,48.5,48.5,48.5,10.0,0.0,0.0
2022-09-02,48.5,48.5,48.5,48.5,50.0,0.0,0.0
2022-09-19,49.0,49.0,49.0,49.0,1060.0,0.0,0.0
2022-09-23,49.0,49.0,49.0,49.0,10.0,0.0,0.0
2022-09-30,49.0,49.0,49.0,49.0,10.0,0.0,0.0
2022-10-06,49.0,49.0,49.0,49.0,10.0,0.0,0.0
2022-10-07,49.0,49.0,49.0,49.0,10.0,0.0,0.0
2022-10-14,49.0,49.0,49.0,49.0,30.0,0.0,0.0
2022-10-17,49.0,49.0,49.0,49.0,100.0,0.0,0.0
2022-11-01,50.0,50.0,50.0,50.0,20.0,0.0,0.0
2022-11-03,50.0,50.0,50.0,50.0,40.0,0.0,0.0
2022-12-28,50.0,50.0,50.0,50.0,20.0,0.0,0.0
2023-01-10,50.0,50.0,50.0,50.0,30.0,0.0,0.0
2023-01-11,50.0,50.0,50.0,50.0,450.0,0.0,0.0
2023-01-18,50.0,50.0,50.0,50.0,200.0,0.0,0.0
2023-01-23,50.0,50.0,50.0,50.0,830.0,0.0,0.0
2023-01-30,50.0,50.0,50.0,50.0,20.0,0.0,0.0
2023-03-29,50.0,50.0,50.0,50.0,10.0,0.0,0.0
2023-04-24,50.0,50.0,50.0,50.0,20.0,0.0,0.0
2023-06-09,48.75,48.75,48.75,48.75,20.0,0.0,0.0
2023-06-16,48.75,48.75,48.75,48.75,60.0,0.0,0.0
2023-08-08,48.75,48.75,48.75,48.75,180.0,0.0,0.0
2023-08-09,48.75,48.75,48.75,48.75,10.0,0.0,0.0
2023-08-29,48.75,48.75,48.75,48.75,130.0,0.0,0.0
