Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-25,8.35,8.3,8.35,8.3,430.0,0.0,0.0
2020-09-28,8.3,8.35,8.35,8.3,110.0,-0.6,-0.5988023952095634
2020-09-29,8.35,8.35,8.35,8.35,80.0,0.6,0.6024096385542022
2020-09-30,8.35,8.35,8.35,8.35,100.0,0.0,0.0
2020-10-21,8.6,8.85,8.85,8.59,150.0,0.0,0.0
2020-10-22,8.6,8.6,8.6,8.6,390.0,0.0,0.0
2020-11-16,8.1,8.1,8.1,8.1,250.0,0.0,0.0
2020-11-18,7.96,8.0,8.0,7.96,670.0,-1.73,-1.7283950617283939
2020-11-30,7.98,7.76,7.98,7.76,760.0,-0.25,-0.24999999999999467
2020-12-01,7.97,8.21,8.21,7.97,210.0,-0.13,-0.12531328320802837
2020-12-04,7.63,7.62,7.63,7.62,2810.0,0.13,0.1312335958005173
2020-12-10,8.29,8.29,8.29,8.29,400.0,-0.12,-0.1204819277108582
2020-12-16,7.87,8.24,8.24,7.87,80.0,-1.63,-1.6249999999999987
2020-12-17,7.84,7.87,7.87,7.84,600.0,-0.38,-0.3811944091486663
2020-12-31,7.98,8.0,8.0,7.98,120.0,-0.25,-0.24999999999999467
2021-01-05,8.19,8.19,8.19,8.19,3530.0,-0.12,-0.12195121951219523
2021-01-06,8.19,8.19,8.19,8.19,60.0,0.0,0.0
2021-01-11,7.99,7.99,7.99,7.99,1200.0,-0.13,-0.12499999999999734
2021-01-21,7.9,7.77,7.9,7.76,80.0,-1.13,-1.126408010012514
2021-01-22,7.9,7.9,7.9,7.9,20.0,0.0,0.0
2021-01-27,7.6,7.6,7.6,7.6,120.0,0.0,0.0
2021-01-29,7.93,7.93,7.93,7.93,100.0,-0.13,-0.12594458438287548
2021-02-11,7.44,7.45,7.45,7.44,300.0,-0.53,-0.5347593582887722
2021-02-16,7.49,7.49,7.49,7.49,90.0,0.0,0.0
2021-02-17,7.49,7.49,7.49,7.49,80.0,0.0,0.0
2021-02-18,7.5,7.5,7.5,7.5,120.0,0.13,0.1335113484646211
2021-02-23,7.27,7.27,7.27,7.27,30.0,-0.14,-0.13736263736264798
2021-03-11,7.25,7.47,7.47,7.25,250.0,-0.14,-0.13774104683195176
2021-03-12,7.25,7.25,7.25,7.25,100.0,0.0,0.0
2021-03-15,7.25,7.25,7.25,7.25,120.0,0.0,0.0
2021-03-16,7.2,7.25,7.25,7.2,10.0,-0.69,-0.6896551724137945
2021-03-17,7.2,7.2,7.2,7.2,510.0,0.0,0.0
2021-03-19,7.38,7.39,7.39,7.38,90.0,-0.27,-0.2702702702702786
2021-03-22,7.38,7.38,7.38,7.38,50.0,0.0,0.0
2021-03-23,7.38,7.5,7.5,7.38,170.0,0.0,0.0
2021-03-25,7.3,7.3,7.3,7.3,110.0,-1.08,-1.084010840108407
2021-03-26,7.4,7.4,7.4,7.4,30.0,1.37,1.3698630136986356
2021-04-07,7.2,7.2,7.2,7.2,330.0,0.14,0.13908205841446364
2021-04-08,7.2,7.2,7.2,7.2,160.0,0.0,0.0
