Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,1.53,1.46,1.53,1.45,347600.0,-0.65,-0.6493506493506551
2020-09-23,1.53,1.5,1.53,1.5,95680.0,0.0,0.0
2020-09-24,1.5,1.52,1.52,1.49,110630.0,-1.96,-1.9607843137254943
2020-09-25,1.52,1.5,1.54,1.48,64269.99999999999,1.33,1.333333333333342
2020-09-28,1.52,1.54,1.54,1.5,13370.0,0.0,0.0
2020-09-29,1.52,1.5,1.54,1.5,45250.0,0.0,0.0
2020-09-30,1.48,1.52,1.52,1.48,340140.0,-2.63,-2.631578947368418
2020-10-02,1.42,1.36,1.42,1.33,215810.0,1.43,1.4285714285714235
2020-10-05,1.46,1.43,1.47,1.42,126260.0,2.82,2.8169014084507005
2020-10-07,1.48,1.52,1.52,1.47,264930.0,-2.63,-2.631578947368418
2020-10-08,1.48,1.5,1.5,1.46,23730.0,0.0,0.0
2020-10-09,1.47,1.5,1.5,1.46,20350.0,-0.68,-0.6756756756756799
2020-10-12,1.47,1.47,1.47,1.44,33080.0,0.0,0.0
2020-10-13,1.49,1.47,1.49,1.44,17330.0,1.36,1.3605442176870763
2020-10-14,1.5,1.5,1.5,1.48,18850.0,0.67,0.6711409395973256
2020-10-16,1.47,1.5,1.5,1.47,51010.0,-2.0,-2.0000000000000018
2020-10-19,1.49,1.47,1.5,1.46,53340.0,1.36,1.3605442176870763
2020-10-20,1.48,1.47,1.49,1.46,49360.0,-0.67,-0.6711409395973145
2020-10-21,1.51,1.49,1.52,1.47,231490.0,2.03,2.0270270270270396
2020-10-22,1.51,1.51,1.56,1.5,392170.0,0.0,0.0
2020-10-23,1.52,1.53,1.54,1.5,113000.0,0.66,0.6622516556291425
2020-10-26,1.5,1.51,1.51,1.49,65370.00000000001,-1.32,-1.3157894736842146
2020-10-27,1.49,1.51,1.51,1.47,90420.0,-0.67,-0.666666666666671
2020-10-28,1.47,1.5,1.5,1.47,46740.0,-1.34,-1.342281879194629
2020-10-30,1.46,1.46,1.48,1.45,30220.0,-0.68,-0.6802721088435382
2020-11-02,1.46,1.46,1.48,1.45,27990.0,0.0,0.0
2020-11-03,1.47,1.48,1.48,1.45,21090.0,0.68,0.6849315068493178
2020-11-04,1.48,1.48,1.49,1.47,16930.0,0.68,0.6802721088435382
2020-11-05,1.48,1.49,1.49,1.47,59380.0,0.0,0.0
2020-11-06,1.49,1.49,1.49,1.45,87890.0,0.68,0.6756756756756799
2020-11-09,1.52,1.5,1.54,1.48,81840.0,2.01,2.0134228187919545
2020-11-11,1.59,1.61,1.65,1.59,202840.0,-0.62,-0.6249999999999978
2020-11-12,1.58,1.58,1.61,1.56,77490.0,-0.63,-0.6289308176100628
2020-11-13,1.58,1.56,1.59,1.56,42040.0,0.0,0.0
2020-11-19,1.84,1.79,1.87,1.79,1070000.0,2.79,2.7932960893854775
2020-11-20,1.79,1.84,1.84,1.79,485140.0,-2.72,-2.717391304347827
2020-11-23,1.79,1.76,1.83,1.72,628550.0,0.0,0.0
2020-11-24,1.75,1.79,1.82,1.74,129740.00000000001,-2.23,-2.2346368715083775
2020-11-25,1.73,1.74,1.74,1.71,128470.0,-1.14,-1.1428571428571455
2020-11-26,1.69,1.69,1.72,1.68,225500.0,-2.31,-2.3121387283236983
2020-11-27,1.7,1.69,1.72,1.67,77260.0,0.59,0.591715976331364
2020-12-01,1.76,1.76,1.77,1.71,63120.0,0.0,0.0
2020-12-02,1.81,1.72,1.82,1.72,335540.0,2.84,2.840909090909083
2020-12-03,1.79,1.84,1.86,1.79,720370.0,-1.1,-1.104972375690605
2020-12-04,1.8,1.79,1.84,1.79,498150.0,0.56,0.5586592178770999
2020-12-07,1.84,1.81,1.87,1.8,465210.0,2.22,2.2222222222222143
2020-12-08,1.86,1.89,1.91,1.86,1070000.0,1.09,1.0869565217391353
2020-12-09,1.89,1.88,1.9,1.86,123550.0,1.61,1.6129032258064502
2020-12-10,1.85,1.86,1.89,1.85,177930.0,-2.12,-2.116402116402105
2020-12-11,1.83,1.87,1.87,1.82,171260.0,-1.08,-1.0810810810810811
2020-12-14,1.82,1.83,1.85,1.82,100540.0,-0.55,-0.5464480874316946
2020-12-15,1.82,1.83,1.85,1.8,95330.0,0.0,0.0
2020-12-16,1.8,1.79,1.82,1.79,127240.0,-1.1,-1.098901098901095
2020-12-17,1.85,1.8,1.85,1.78,310580.0,2.78,2.77777777777779
2020-12-18,1.89,1.85,1.89,1.84,237690.0,2.16,2.1621621621621623
2020-12-21,1.94,1.89,1.94,1.87,394570.0,2.65,2.645502645502651
2020-12-22,1.95,1.95,2.0,1.94,804520.0,0.52,0.5154639175257714
2020-12-23,1.96,1.94,1.99,1.94,273210.0,0.51,0.512820512820511
2020-12-24,1.95,1.96,1.97,1.95,200260.0,-0.51,-0.5102040816326481
2020-12-25,1.92,1.96,1.96,1.92,287010.0,-1.54,-1.538461538461544
2020-12-28,1.92,1.93,1.97,1.92,197190.0,0.0,0.0
2020-12-29,1.91,1.96,1.96,1.91,413210.0,-0.52,-0.520833333333337
2020-12-30,1.89,1.92,1.92,1.88,224940.0,-1.05,-1.0471204188481686
2020-12-31,1.9,1.89,1.92,1.84,486710.0,0.53,0.5291005291005346
2021-01-04,1.88,1.9,1.9,1.85,154340.0,-1.05,-1.0526315789473717
2021-01-05,1.85,1.88,1.88,1.83,377590.0,-1.6,-1.5957446808510523
2021-01-06,1.84,1.84,1.85,1.82,191470.0,-0.54,-0.5405405405405461
2021-01-07,1.87,1.84,1.89,1.83,208090.0,1.63,1.6304347826086918
2021-01-08,1.91,1.88,1.92,1.87,165910.0,2.14,2.1390374331550666
2021-01-11,1.91,1.91,1.93,1.88,164540.0,0.0,0.0
2021-01-12,1.9,1.9,1.92,1.9,119670.0,-0.52,-0.5235602094240788
2021-01-13,1.86,1.9,1.9,1.86,106840.0,-2.11,-2.1052631578947323
2021-01-15,1.88,1.9,1.9,1.86,13550.0,1.08,1.0752688172043001
2021-01-18,1.86,1.85,1.88,1.85,101180.0,-1.06,-1.0638297872340274
2021-01-19,1.89,1.85,1.89,1.85,89520.0,1.61,1.6129032258064502
2021-01-20,1.9,1.89,1.9,1.88,62930.0,0.53,0.5291005291005346
2021-01-21,1.9,1.91,1.92,1.87,100240.0,0.0,0.0
2021-01-22,1.91,1.9,1.91,1.9,39410.0,0.53,0.5263157894736858
2021-01-25,1.91,1.9,1.91,1.89,97330.0,0.0,0.0
2021-01-26,1.89,1.87,1.9,1.87,31340.0,-1.05,-1.0471204188481686
2021-01-27,1.88,1.88,1.9,1.88,135770.0,-0.53,-0.5291005291005346
2021-01-28,1.87,1.88,1.89,1.86,97270.0,-0.53,-0.5319148936170137
2021-01-29,1.88,1.86,1.89,1.86,32619.999999999996,0.53,0.53475935828875
2021-02-01,1.87,1.88,1.88,1.87,61930.0,-0.53,-0.5319148936170137
2021-02-02,1.87,1.87,1.89,1.85,97050.0,0.0,0.0
2021-02-03,1.86,1.87,1.87,1.84,80690.0,-0.53,-0.5347593582887722
2021-02-04,1.84,1.87,1.88,1.84,94650.0,-1.08,-1.0752688172043001
2021-02-05,1.86,1.86,1.87,1.85,18060.0,1.09,1.0869565217391353
2021-02-08,1.88,1.89,1.9,1.86,138130.0,1.08,1.0752688172043001
2021-02-09,1.89,1.88,1.9,1.86,112650.0,0.53,0.5319148936170137
2021-02-10,1.91,1.89,1.93,1.87,204200.0,1.06,1.0582010582010692
2021-02-11,1.91,1.93,1.93,1.88,1010000.0,0.0,0.0
2021-02-12,1.91,1.91,1.93,1.9,84920.0,0.0,0.0
2021-02-15,1.94,1.92,1.95,1.91,257649.99999999997,1.57,1.5706806282722585
2021-02-16,1.97,1.96,1.98,1.95,332620.0,1.55,1.546391752577314
2021-02-17,1.93,1.98,1.98,1.93,88640.0,-2.03,-2.0304568527918843
2021-02-18,1.94,1.93,1.95,1.93,59000.0,0.52,0.5181347150259086
2021-02-19,1.96,1.94,1.98,1.94,196180.0,1.03,1.0309278350515427
2021-02-22,1.94,1.96,1.97,1.94,118200.0,-1.02,-1.0204081632653073
2021-02-23,1.95,1.97,1.97,1.93,70760.0,0.52,0.5154639175257714
2021-02-24,1.93,1.95,1.95,1.92,82550.0,-1.03,-1.025641025641022
2021-02-25,1.93,1.92,1.95,1.92,59130.0,0.0,0.0
2021-02-26,1.93,1.93,1.94,1.91,29320.0,0.0,0.0
2021-03-01,1.93,1.96,1.96,1.92,42890.0,0.0,0.0
2021-03-02,1.96,1.93,1.97,1.93,94110.0,1.55,1.5544041450777257
2021-03-03,1.97,1.94,1.97,1.94,51730.0,0.51,0.5102040816326481
2021-03-04,1.97,1.96,1.98,1.96,126150.0,0.0,0.0
2021-03-08,2.08,2.03,2.11,2.03,512090.00000000006,2.46,2.4630541871921263
2021-03-09,2.06,2.06,2.08,2.04,230270.0,-0.96,-0.9615384615384581
2021-03-10,2.03,2.07,2.07,2.01,204080.0,-1.46,-1.456310679611661
2021-03-11,2.01,2.01,2.03,2.0,134830.0,-0.99,-0.9852216748768461
2021-03-12,2.04,2.03,2.06,2.0,68710.0,1.49,1.4925373134328401
2021-03-15,2.07,2.05,2.08,2.05,268010.0,1.47,1.4705882352941124
2021-03-16,2.08,2.09,2.11,2.06,242110.0,0.48,0.48309178743961567
2021-03-17,2.07,2.05,2.09,2.05,64260.00000000001,-0.48,-0.48076923076924016
2021-03-18,2.05,2.07,2.08,2.05,101940.0,-0.97,-0.9661835748792313
2021-03-19,2.01,2.07,2.09,2.01,217310.0,-1.95,-1.9512195121951237
2021-03-22,2.05,2.01,2.07,1.97,126170.0,1.99,1.990049751243772
2021-03-23,2.0,2.06,2.06,2.0,299060.0,-2.44,-2.4390243902438935
2021-03-24,2.0,2.0,2.04,1.98,87260.0,0.0,0.0
2021-03-25,1.99,2.0,2.03,1.98,89930.0,-0.5,-0.5000000000000004
2021-03-26,2.01,2.0,2.02,2.0,63000.0,1.01,1.0050251256281229
2021-03-29,2.05,2.0,2.05,1.99,107810.0,1.99,1.990049751243772
2021-03-30,2.03,2.05,2.07,2.02,136840.0,-0.98,-0.9756097560975618
2021-03-31,2.01,2.05,2.05,2.01,69960.0,-0.99,-0.9852216748768461
2021-04-01,2.04,2.01,2.04,2.0,125460.0,1.49,1.4925373134328401
2021-04-02,2.07,2.05,2.09,2.05,176060.0,1.47,1.4705882352941124
