Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,7.1,7.2,7.4,7.1,3380.0,-0.7,-0.6993006993007089
2020-09-24,7.48,7.48,7.48,7.48,20.0,-0.27,-0.2666666666666595
2020-09-28,7.2,7.24,7.45,7.05,3520.0,-0.83,-0.8264462809917328
2020-10-01,7.05,7.19,7.19,6.98,15390.0,-0.84,-0.8438818565400963
2020-10-02,7.0,7.2,7.2,6.99,1710.0,-0.71,-0.7092198581560294
2020-10-06,7.15,7.19,7.19,7.05,1830.0,-0.56,-0.5563282336578546
2020-10-07,7.2,7.1,7.2,7.0,8180.0,0.7,0.6993006993006867
2020-10-08,7.1,7.0,7.1,7.0,950.0,-1.39,-1.388888888888895
2020-10-09,7.1,7.1,7.1,6.89,1810.0,0.0,0.0
2020-10-12,7.19,7.19,7.2,7.1,130.0,1.27,1.2676056338028374
2020-10-13,7.19,7.2,7.2,7.11,110.0,0.0,0.0
2020-10-14,7.1,7.2,7.2,7.0,3160.0,-1.25,-1.251738525730195
2020-10-16,7.13,7.2,7.2,7.01,640.0,0.42,0.42253521126760507
2020-10-19,7.19,7.14,7.19,7.13,70.0,0.84,0.8415147265077305
2020-10-20,7.29,7.2,7.29,7.2,920.0,1.39,1.3908205841446364
2020-10-23,7.6,7.69,7.69,7.6,1780.0,-0.78,-0.7832898172323799
2020-10-26,7.67,7.68,7.68,7.67,50.0,0.92,0.9210526315789558
2020-10-27,7.67,7.67,7.67,7.64,1000.0,0.0,0.0
2020-10-28,7.66,7.67,7.68,7.5,15240.0,-0.13,-0.13037809647978849
2020-11-02,7.4,7.4,7.4,7.4,0.0,-1.33,-1.3333333333333308
2020-11-03,7.48,7.48,7.48,7.48,10.0,1.08,1.0810810810810922
2020-11-04,7.4,7.61,7.61,7.4,1590.0,-1.07,-1.0695187165775444
2020-11-06,7.6,7.6,7.6,7.5,8520.0,0.0,0.0
2020-11-09,7.59,7.59,7.59,7.59,20.0,-0.13,-0.1315789473684159
2020-11-10,7.6,7.67,7.67,7.51,2510.0,0.13,0.13175230566535578
2020-11-11,7.61,7.62,7.62,7.51,2110.0,0.13,0.13157894736843812
2020-11-12,7.61,7.62,7.62,7.53,730.0,0.0,0.0
2020-11-13,7.62,7.6,7.62,7.6,2200.0,0.13,0.13140604467805073
2020-11-16,7.61,7.61,7.62,7.6,4300.0,-0.13,-0.1312335958005173
2020-11-17,7.7,7.62,7.7,7.6,38700.0,1.18,1.182654402102501
2020-11-18,7.6,7.65,7.65,7.6,20730.0,-1.3,-1.2987012987013102
2020-11-19,7.75,7.65,7.77,7.65,11360.0,1.97,1.9736842105263275
2020-11-20,7.77,7.77,7.77,7.77,0.0,0.26,0.2580645161290196
2020-11-23,7.9,7.8,7.9,7.8,2210.0,1.67,1.6731016731016846
2020-11-24,8.0,7.9,8.0,7.85,1400.0,1.27,1.2658227848101111
2020-11-26,8.19,8.2,8.2,8.0,2460.0,-0.12,-0.12195121951219523
2020-11-27,8.2,8.2,8.2,8.19,400.0,0.12,0.12210012210012167
2020-11-30,8.2,8.3,8.3,8.2,110.0,0.0,0.0
2020-12-01,8.25,8.43,8.43,8.18,1230.0,0.61,0.6097560975609762
2020-12-02,8.15,8.24,8.29,8.1,480.0,-1.21,-1.2121212121212088
2020-12-03,8.2,8.25,8.25,8.2,70.0,0.61,0.6134969325153339
2020-12-04,8.23,8.24,8.24,8.0,240.0,0.37,0.3658536585366079
2020-12-07,8.24,8.24,8.24,8.24,0.0,0.12,0.12150668286754485
2020-12-08,8.1,8.1,8.1,8.1,160.0,-1.7,-1.6990291262136026
2020-12-09,7.99,8.1,8.14,7.87,4230.0,-1.36,-1.3580246913580174
2020-12-10,8.0,8.14,8.14,7.9,280.0,0.13,0.12515644555695093
2020-12-11,7.99,8.0,8.0,7.76,260.0,-0.13,-0.12499999999999734
2020-12-14,7.99,8.0,8.0,7.9,660.0,0.0,0.0
2020-12-15,7.93,7.9,7.93,7.8,2690.0,-0.75,-0.7509386733416834
2020-12-17,8.11,8.15,8.18,8.1,2370.0,-0.49,-0.4907975460122782
2020-12-18,8.15,8.15,8.15,8.11,710.0,0.49,0.4932182490752224
2020-12-21,8.17,8.15,8.17,8.15,150.0,0.25,0.24539877300613355
2020-12-22,8.2,8.19,8.25,8.11,5430.0,0.37,0.3671970624234966
2020-12-23,8.25,8.24,8.25,8.2,1140.0,0.61,0.6097560975609762
2020-12-24,8.25,8.25,8.25,8.15,180.0,0.0,0.0
2020-12-25,8.2,8.25,8.25,8.1,370.0,-0.61,-0.60606060606061
2020-12-28,8.25,8.2,8.25,8.1,4230.0,0.61,0.6097560975609762
2020-12-29,8.2,8.25,8.25,8.2,200.0,-0.61,-0.60606060606061
2020-12-30,8.2,8.12,8.2,8.12,670.0,0.0,0.0
2020-12-31,8.25,8.2,8.25,8.14,400.0,0.61,0.6097560975609762
2021-01-05,8.39,8.43,8.43,8.21,800.0,-0.47,-0.47449584816131596
2021-01-06,8.39,8.39,8.4,8.22,580.0,0.0,0.0
2021-01-07,8.35,8.39,8.39,8.21,760.0,-0.48,-0.47675804529202503
2021-01-08,8.25,8.25,8.35,8.21,1920.0,-1.2,-1.19760479041916
2021-01-11,8.25,8.25,8.25,8.21,290.0,0.0,0.0
2021-01-12,8.24,8.2,8.24,8.2,610.0,-0.12,-0.12121212121212199
2021-01-13,8.24,8.24,8.24,8.17,590.0,0.0,0.0
2021-01-15,8.25,8.17,8.25,8.16,3100.0,0.12,0.12135922330096527
2021-01-18,8.42,8.38,8.48,8.38,790.0,2.06,2.0606060606060517
2021-01-19,8.42,8.42,8.42,8.42,260.0,0.0,0.0
2021-01-20,8.42,8.42,8.42,8.42,500.0,0.0,0.0
2021-01-25,8.65,8.8,8.85,8.65,12210.0,-1.7,-1.7045454545454586
2021-01-26,8.69,8.65,8.69,8.65,3070.0,0.46,0.46242774566473965
2021-01-27,8.78,8.69,8.78,8.65,9340.0,1.04,1.0356731875719172
2021-01-28,8.75,8.78,8.78,8.7,2890.0,-0.34,-0.3416856492027276
2021-01-29,8.77,8.78,8.78,8.77,200.0,0.23,0.22857142857142243
2021-02-01,8.8,8.78,8.8,8.72,500.0,0.34,0.3420752565564511
2021-02-02,8.8,8.84,8.85,8.75,1540.0,0.0,0.0
2021-02-03,8.84,8.85,8.85,8.8,1290.0,0.45,0.4545454545454408
2021-02-04,8.83,8.84,8.84,8.72,170.0,-0.11,-0.11312217194570096
2021-02-08,9.19,9.36,9.36,9.08,1710.0,1.1,1.1001100110010986
2021-02-09,9.02,9.15,9.19,9.0,7690.0,-1.85,-1.8498367791077275
2021-02-10,9.09,9.19,9.2,9.0,3370.0,0.78,0.77605321507761
2021-02-11,9.1,9.16,9.16,8.89,1310.0,0.11,0.11001100110010764
2021-02-12,9.0,9.1,9.1,8.9,7720.0,-1.1,-1.098901098901095
2021-02-15,9.0,9.1,9.1,8.83,7820.0,0.0,0.0
2021-02-16,9.0,9.0,9.0,9.0,10220.0,0.0,0.0
2021-02-17,9.0,9.0,9.0,8.75,170.0,0.0,0.0
2021-02-18,9.0,9.0,9.0,9.0,0.0,0.0,0.0
2021-02-19,9.0,9.0,9.0,8.76,10810.0,0.0,0.0
2021-02-22,8.99,9.1,9.1,8.83,330.0,-0.11,-0.11111111111110628
2021-02-24,8.8,8.96,8.96,8.71,970.0,0.11,0.11376564277589818
2021-02-25,8.95,8.96,8.96,8.72,860.0,1.7,1.7045454545454364
2021-02-26,8.85,8.84,8.85,8.84,10.0,-1.12,-1.1173184357541888
2021-03-01,8.85,8.76,8.9,8.76,11840.0,0.0,0.0
2021-03-02,8.85,8.85,8.85,8.76,2060.0,0.0,0.0
2021-03-03,8.85,8.85,8.85,8.8,1140.0,0.0,0.0
2021-03-04,8.85,8.85,8.85,8.73,650.0,0.0,0.0
2021-03-05,8.85,8.85,8.85,8.73,1870.0,0.0,0.0
2021-03-08,8.7,8.85,8.85,8.7,1280.0,-1.69,-1.6949152542372947
2021-03-09,8.75,8.7,8.85,8.7,3320.0,0.57,0.5747126436781658
2021-03-10,8.85,8.75,8.85,8.7,90.0,1.14,1.1428571428571344
2021-03-11,8.85,8.85,8.85,8.7,3460.0,0.0,0.0
2021-03-12,8.9,8.85,8.9,8.85,7340.0,0.56,0.5649717514124353
2021-03-15,8.82,8.9,8.9,8.82,2700.0,-0.9,-0.8988764044943864
2021-03-16,8.98,8.89,8.98,8.89,3800.0,1.81,1.8140589569161092
2021-03-17,8.98,8.98,8.98,8.9,50.0,0.0,0.0
2021-03-18,8.98,8.8,8.98,8.8,5000.0,0.0,0.0
2021-03-19,8.88,8.98,8.98,8.72,5820.0,-1.11,-1.1135857461024412
2021-03-22,8.94,8.95,8.95,8.94,0.0,0.68,0.6756756756756577
2021-03-23,8.93,8.69,8.93,8.69,2920.0,-0.11,-0.11185682326622093
2021-03-24,9.0,8.95,9.08,8.93,12500.0,0.78,0.7838745800671898
2021-03-25,9.08,9.1,9.1,9.0,320.0,0.89,0.8888888888888946
2021-03-26,9.06,9.0,9.06,9.0,8630.0,-0.22,-0.22026431718060735
2021-03-29,9.0,9.08,9.09,9.0,11570.0,-0.66,-0.6622516556291425
2021-03-31,9.0,9.0,9.0,9.0,200.0,0.0,0.0
2021-04-01,9.0,9.08,9.08,9.0,6620.0,0.0,0.0
2021-04-02,9.0,9.0,9.0,9.0,0.0,0.0,0.0
2021-04-05,9.0,9.0,9.0,9.0,740.0,0.0,0.0
2021-04-06,9.0,9.0,9.0,9.0,0.0,0.0,0.0
2021-04-08,8.8,9.0,9.0,8.8,1310.0,0.0,0.0
2021-04-13,8.94,8.94,8.94,8.94,10.0,-0.56,-0.556173526140169
2021-04-14,8.92,8.92,8.92,8.92,0.0,-0.22,-0.22371364653243075
2021-04-15,8.9,8.52,8.9,8.52,200.0,-0.22,-0.22421524663677195
2021-04-16,8.91,8.91,8.91,8.91,0.0,0.11,0.11235955056179137
2021-04-19,8.9,8.9,8.9,8.9,200.0,-0.11,-0.11223344556677839
2021-04-21,8.99,8.99,8.99,8.99,0.0,1.01,1.011235955056189
2021-04-23,8.67,8.7,8.7,8.6,1200.0,-0.34,-0.34482758620688614
2021-04-28,9.48,9.33,9.49,9.33,1510.0,1.61,1.6077170418006492
2021-04-29,9.4,9.48,9.5,9.33,13530.0,-0.84,-0.8438818565400852
2021-04-30,9.39,9.49,9.49,9.33,2120.0,-0.11,-0.10638297872340718
2021-05-03,9.4,9.38,9.4,9.38,700.0,0.11,0.10649627263046302
2021-05-04,9.3,9.4,9.4,9.25,3580.0,-1.06,-1.0638297872340385
2021-05-05,9.38,9.3,9.4,9.25,7310.0,0.86,0.8602150537634357
2021-05-06,9.46,9.46,9.46,9.3,2440.0,0.85,0.8528784648187626
2021-05-07,9.4,9.46,9.5,9.35,810.0,-0.63,-0.634249471458781
2021-05-10,9.55,9.55,9.59,9.54,3100.0,1.6,1.5957446808510634
2021-05-11,9.71,9.59,9.79,9.59,4330.0,1.68,1.675392670157061
2021-05-18,10.19,10.06,10.3,10.06,9700.0,1.39,1.3930348258706315
2021-05-19,10.25,10.2,10.49,10.15,42190.0,0.59,0.5888125613346507
2021-05-21,10.5,10.7,10.7,10.45,8860.0,-0.47,-0.4739336492891044
2021-05-24,10.5,10.68,10.68,10.4,3860.0,0.0,0.0
2021-05-25,10.4,10.5,10.5,10.3,650.0,-0.95,-0.952380952380949
2021-05-26,10.4,10.49,10.49,10.21,1290.0,0.0,0.0
2021-05-27,10.4,10.4,10.4,10.4,330.0,0.0,0.0
2021-05-28,10.48,10.4,10.48,10.4,280.0,0.77,0.7692307692307665
2021-05-31,10.4,10.49,10.49,10.39,850.0,-0.76,-0.7633587786259555
2021-06-01,10.49,10.49,10.49,10.45,10.0,0.87,0.8653846153846123
2021-06-02,10.4,10.49,10.49,10.4,5710.0,-0.86,-0.8579599618684486
2021-06-03,10.46,10.4,10.48,10.4,6900.0,0.58,0.5769230769230749
2021-06-04,10.6,10.47,10.69,10.47,7310.0,1.34,1.338432122370925
2021-06-08,10.97,10.96,10.97,10.95,310.0,0.18,0.18264840182649067
2021-06-09,10.96,10.95,10.98,10.95,2870.0,-0.09,-0.09115770282588365
2021-06-10,10.9,10.95,10.95,10.8,1720.0,-0.55,-0.5474452554744547
2021-06-11,10.9,10.9,10.9,10.89,1010.0,0.0,0.0
2021-06-14,10.79,10.89,10.89,10.67,980.0,-1.01,-1.0091743119266194
2021-06-15,10.85,10.89,10.89,10.68,850.0,0.56,0.5560704355885182
2021-06-16,10.88,10.95,11.1,10.88,11220.0,0.28,0.27649769585254
2021-06-17,11.03,11.04,11.04,10.88,3780.0,1.38,1.3786764705882248
2021-06-18,11.15,11.04,11.25,11.04,1620.0,1.09,1.0879419764279419
2021-06-21,11.1,11.15,11.15,11.0,680.0,-0.45,-0.4484304932735439
2021-06-23,11.32,11.34,11.34,11.0,1500.0,-0.18,-0.17636684303350414
2021-06-24,11.4,11.33,11.4,11.3,1850.0,0.71,0.7067137809187329
2021-06-25,11.39,11.39,11.4,11.3,420.0,-0.09,-0.08771929824561431
2021-06-28,11.39,11.3,11.4,11.15,2140.0,0.0,0.0
2021-06-29,11.37,11.3,11.37,11.3,3890.0,-0.18,-0.17559262510975504
2021-06-30,11.37,11.37,11.39,11.37,740.0,0.0,0.0
2021-07-02,11.36,11.36,11.36,11.36,0.0,-0.09,-0.08795074758135568
2021-07-05,11.43,11.36,11.43,11.36,110.0,0.62,0.616197183098599
2021-07-06,11.42,11.42,11.42,11.42,0.0,-0.09,-0.08748906386701893
