Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,14.75,14.8,14.8,14.75,220.0,0.0,0.0
2020-09-23,14.7,14.75,14.75,14.6,2000.0,-0.34,-0.3389830508474634
2020-09-24,14.64,14.52,14.75,14.5,3270.0,-0.41,-0.40816326530611624
2020-09-25,14.64,14.56,14.68,14.56,960.0,0.0,0.0
2020-10-02,13.85,13.45,13.85,13.4,16420.0,0.22,0.21707670043413785
2020-10-07,14.35,14.55,14.55,14.3,7730.0,-1.03,-1.0344827586206917
2020-10-08,14.3,14.4,14.4,14.3,1500.0,-0.35,-0.34843205574912606
2020-10-09,14.5,14.48,14.55,14.22,2700.0,1.4,1.3986013986013957
2020-10-12,14.55,14.55,14.55,14.55,370.0,0.34,0.34482758620690834
2020-10-13,14.55,14.55,14.55,14.55,440.0,0.0,0.0
2020-10-16,14.3,14.49,14.5,14.3,1870.0,0.7,0.7042253521126751
2020-10-19,14.3,14.5,14.55,14.29,2730.0,0.0,0.0
2020-10-20,14.5,14.5,14.5,14.5,1910.0,1.4,1.3986013986013957
2020-10-21,14.35,14.5,14.5,14.32,4130.0,-1.03,-1.0344827586206917
2020-10-22,14.5,14.5,14.5,14.35,1800.0,1.05,1.0452961672473782
2020-10-23,14.5,14.5,14.5,14.45,2450.0,0.0,0.0
2020-10-26,14.7,14.5,14.88,14.5,6160.0,1.38,1.379310344827589
2020-10-27,14.75,14.8,14.8,14.7,1750.0,0.34,0.3401360544217802
2020-11-03,14.5,14.8,14.8,14.4,770.0,0.21,0.20732550103661485
2020-11-04,14.36,14.5,14.58,14.36,4190.0,-0.97,-0.96551724137931
2020-11-05,14.36,14.68,14.68,14.36,4120.0,0.0,0.0
2020-11-06,14.4,14.5,14.5,14.4,3600.0,0.28,0.278551532033422
2020-11-09,14.31,14.4,14.4,14.3,340.0,-0.62,-0.6249999999999978
2020-11-10,14.35,14.4,14.73,14.35,4370.0,0.28,0.2795248078266921
2020-11-12,14.51,14.64,14.65,14.49,6660.0,-0.55,-0.5483207676490798
2020-11-13,14.65,14.51,14.65,14.51,610.0,0.96,0.9648518263266848
2020-11-16,14.5,14.64,14.64,14.5,7610.0,-1.02,-1.0238907849829393
2020-11-17,14.6,14.6,14.68,14.5,5470.0,0.69,0.6896551724137945
2020-11-18,14.7,14.8,14.8,14.61,7670.0,0.68,0.6849315068493178
2020-11-19,14.5,14.7,14.7,14.4,22260.0,-1.36,-1.3605442176870652
2020-11-20,14.7,14.78,14.78,14.5,8370.0,1.38,1.379310344827589
2020-11-23,14.56,14.76,14.77,14.56,2910.0,-0.95,-0.952380952380949
2020-11-24,14.73,14.75,14.75,14.56,1760.0,1.17,1.1675824175824134
2020-11-25,14.74,14.75,14.75,14.53,4860.0,0.07,0.06788866259335169
2020-11-26,14.67,14.73,14.73,14.5,6900.0,-0.47,-0.47489823609226933
2020-11-27,14.5,14.69,14.69,14.45,4010.0,-1.16,-1.1588275391956393
2020-11-30,14.49,14.5,14.5,14.49,2990.0,-0.07,-0.06896551724138167
2020-12-01,14.49,14.49,14.5,14.45,2120.0,0.0,0.0
2020-12-02,14.47,14.48,14.48,14.47,4280.0,-0.14,-0.13802622498274575
2020-12-03,14.45,14.48,14.48,14.44,4470.0,-0.14,-0.13821700069109877
2020-12-04,14.49,14.49,14.5,14.4,13400.0,0.28,0.27681660899654403
2020-12-07,14.4,14.46,14.5,14.35,7460.0,-0.62,-0.6211180124223614
2020-12-08,14.42,14.49,14.49,14.4,3950.0,0.14,0.1388888888888884
2020-12-09,14.42,14.5,14.5,14.37,10020.0,0.0,0.0
2020-12-10,14.45,14.5,14.5,14.1,960.0,0.21,0.20804438280166426
2020-12-11,14.4,14.42,14.48,14.4,3850.0,-0.35,-0.34602076124566894
2020-12-14,14.4,14.4,14.4,14.39,9050.0,0.0,0.0
2020-12-15,14.38,14.49,14.5,14.38,3050.0,-0.14,-0.1388888888888884
2020-12-16,14.2,14.48,14.48,14.15,1260.0,-1.25,-1.251738525730195
2020-12-17,14.38,14.45,14.45,14.1,3180.0,1.27,1.2676056338028374
2020-12-18,14.34,14.37,14.37,14.34,10200.0,-0.28,-0.2781641168289384
2020-12-21,14.44,14.39,14.5,14.3,4740.0,0.7,0.6973500697350143
2020-12-22,14.3,14.5,14.5,14.11,15530.0,-0.97,-0.9695290858725669
2020-12-23,14.48,14.5,14.5,14.2,10160.0,1.26,1.2587412587412583
2020-12-24,14.5,14.48,14.59,14.35,55490.0,0.14,0.13812154696133394
2020-12-25,14.5,14.6,14.85,14.5,8260.0,0.0,0.0
2020-12-28,14.7,14.85,14.85,14.41,2950.0,1.38,1.379310344827589
2020-12-29,14.7,14.7,14.78,14.4,2270.0,0.0,0.0
2020-12-30,14.8,14.8,14.8,14.71,2710.0,0.68,0.6802721088435382
2020-12-31,14.9,14.8,14.9,14.75,4019.9999999999995,0.68,0.6756756756756799
2021-01-05,14.5,14.5,14.5,14.5,27070.0,0.0,0.0
2021-01-06,14.4,14.5,14.65,14.31,4890.0,-0.69,-0.6896551724137945
2021-01-08,14.64,14.59,14.65,14.5,1820.0,-0.07,-0.06825938566552558
2021-01-11,14.79,14.64,14.8,14.5,2320.0,1.02,1.0245901639344135
2021-01-12,14.78,14.75,14.78,14.75,1800.0,-0.07,-0.06761325219742931
2021-01-13,14.78,14.79,14.79,14.51,2720.0,0.0,0.0
2021-01-15,14.77,14.78,14.8,14.77,2150.0,-0.07,-0.06765899864681346
2021-01-18,14.74,14.75,14.76,14.51,3260.0,-0.2,-0.20311442112389555
2021-01-19,14.7,14.77,14.77,14.52,1100.0,-0.27,-0.27137042062416183
2021-01-20,14.7,14.7,14.7,14.6,2810.0,0.0,0.0
2021-01-21,14.9,14.77,15.1,14.77,23450.0,1.36,1.3605442176870763
2021-01-22,14.9,14.9,15.1,14.9,2580.0,0.0,0.0
2021-01-25,14.9,14.9,14.98,14.82,3040.0,0.0,0.0
2021-01-26,14.86,14.9,14.95,14.86,7320.0,-0.27,-0.26845637583893245
2021-01-27,14.9,14.95,14.95,14.9,7690.0,0.27,0.2691790040376896
2021-01-28,14.9,14.85,14.9,14.8,5980.0,0.0,0.0
2021-01-29,14.85,14.9,14.9,14.75,11790.0,-0.34,-0.3355704697986628
2021-02-01,14.87,14.9,14.9,14.7,600.0,0.13,0.13468013468012074
2021-02-02,14.7,14.86,14.86,14.68,7150.0,-1.14,-1.143241425689312
2021-02-03,14.7,14.84,14.84,14.6,4120.0,0.0,0.0
2021-02-04,14.7,14.7,14.7,14.65,1930.0,0.0,0.0
2021-02-05,14.7,14.81,14.81,14.65,6290.0,0.0,0.0
2021-02-08,14.7,14.83,14.83,14.6,6890.0,0.0,0.0
2021-02-09,14.69,14.6,14.8,14.6,1160.0,-0.07,-0.06802721088434716
2021-02-10,14.69,14.78,14.79,14.66,3410.0,0.0,0.0
2021-02-11,14.7,14.67,14.7,14.67,3330.0,0.07,0.0680735194009463
2021-02-12,14.7,14.67,14.7,14.67,950.0,0.0,0.0
2021-02-15,14.7,14.89,14.89,14.7,3640.0,0.0,0.0
2021-02-16,14.7,14.7,14.7,14.67,1900.0,0.0,0.0
2021-02-17,14.7,14.7,14.7,14.6,1270.0,0.0,0.0
2021-02-18,14.7,14.79,14.8,14.7,1350.0,0.0,0.0
2021-02-19,14.7,14.7,14.7,14.65,3600.0,0.0,0.0
2021-02-22,14.7,14.7,14.7,14.7,80.0,0.0,0.0
2021-02-23,14.7,14.7,14.7,14.7,3420.0,0.0,0.0
2021-02-24,14.68,14.88,14.88,14.68,3540.0,-0.14,-0.1360544217687054
2021-02-25,14.7,14.65,14.7,14.65,4740.0,0.14,0.13623978201635634
2021-02-26,14.71,14.7,14.8,14.66,23320.0,0.07,0.06802721088436936
2021-03-01,14.5,14.71,14.71,14.5,5220.0,-1.43,-1.4276002719238678
2021-03-02,14.7,14.8,14.8,14.52,1400.0,1.38,1.379310344827589
2021-03-03,14.75,14.8,14.8,14.74,1600.0,0.34,0.3401360544217802
2021-03-04,14.7,14.7,14.73,14.7,1380.0,-0.34,-0.3389830508474634
2021-03-05,14.6,14.7,14.74,14.6,21550.0,-0.68,-0.6802721088435382
2021-03-08,14.8,14.69,14.88,14.68,13200.0,1.37,1.3698630136986356
2021-03-09,14.6,14.8,14.82,14.6,7000.0,-1.35,-1.3513513513513598
2021-03-10,14.6,14.6,14.8,14.59,6790.0,0.0,0.0
2021-03-11,14.5,14.6,14.6,14.5,8980.0,-0.68,-0.6849315068493178
2021-03-12,14.6,14.5,14.62,14.5,4450.0,0.69,0.6896551724137945
2021-03-15,14.6,14.78,14.78,14.2,3950.0,0.0,0.0
2021-03-16,14.6,14.61,14.8,14.6,6760.0,0.0,0.0
2021-03-17,14.6,14.6,14.6,14.6,2210.0,0.0,0.0
2021-03-18,14.74,14.76,14.76,14.6,2190.0,0.96,0.9589041095890538
2021-03-19,14.6,14.75,14.75,14.6,15040.0,-0.95,-0.9497964721845387
2021-03-22,14.6,14.6,14.6,14.55,1940.0,0.0,0.0
2021-03-23,14.76,14.77,14.77,14.55,690.0,1.1,1.0958904109588996
2021-03-24,14.6,14.76,14.76,14.5,5410.0,-1.08,-1.084010840108407
2021-03-25,14.45,14.53,14.6,14.45,5450.0,-1.03,-1.0273972602739767
2021-03-26,14.6,14.5,14.6,14.5,4490.0,1.04,1.038062283737018
2021-03-29,14.7,14.6,14.7,14.5,100340.0,0.68,0.6849315068493178
2021-03-30,14.7,14.51,14.7,14.5,22100.0,0.0,0.0
2021-03-31,14.5,14.7,14.7,14.5,26410.0,-1.36,-1.3605442176870652
2021-04-01,14.6,14.7,14.7,14.5,680.0,0.69,0.6896551724137945
2021-04-02,14.7,14.6,14.7,14.55,2740.0,0.68,0.6849315068493178
2021-04-05,14.65,14.7,14.7,14.51,3560.0,-0.34,-0.340136054421758
2021-04-07,14.9,14.94,14.94,14.9,80.0,-0.33,-0.33444816053510573
2021-04-08,14.9,14.75,14.9,14.75,340.0,0.0,0.0
2021-04-12,14.8,14.9,14.9,14.8,490.0,-0.67,-0.6711409395973145
2021-04-13,14.6,14.71,14.71,14.6,4890.0,-1.35,-1.3513513513513598
2021-04-14,14.6,14.6,14.6,14.52,2130.0,0.0,0.0
2021-04-15,14.65,14.6,14.65,14.6,250.0,0.34,0.34246575342467
2021-04-16,14.8,14.6,14.95,14.6,16230.0,1.02,1.0238907849829282
2021-04-19,15.0,14.93,15.1,14.89,42310.0,1.35,1.3513513513513375
2021-04-20,15.0,15.0,15.0,15.0,4380.0,0.0,0.0
2021-04-21,15.1,15.0,15.1,14.58,10720.0,0.67,0.6666666666666599
2021-04-22,15.1,15.1,15.1,15.1,50.0,0.0,0.0
2021-04-23,14.9,14.86,14.9,14.86,200.0,-1.32,-1.3245033112582738
2021-04-26,14.9,15.1,15.1,14.85,420.0,0.0,0.0
2021-04-28,14.6,14.9,14.9,14.6,700.0,0.14,0.137174211248281
2021-04-29,14.8,14.58,14.8,14.5,13350.0,1.37,1.3698630136986356
2021-04-30,14.6,15.0,15.0,14.5,5060.0,-1.35,-1.3513513513513598
2021-05-03,14.7,14.8,14.8,14.5,6020.0,0.68,0.6849315068493178
2021-05-04,14.9,14.51,14.98,14.5,67830.0,1.36,1.3605442176870763
2021-05-10,14.7,14.89,14.89,14.65,770.0,0.0,0.0
2021-05-11,14.75,14.7,14.75,14.65,1270.0,0.34,0.3401360544217802
2021-05-17,14.6,14.75,14.8,14.6,1690.0,-1.02,-1.016949152542379
2021-05-18,14.77,14.6,14.8,14.6,450.0,1.16,1.1643835616438336
2021-05-19,14.77,14.77,14.89,14.77,590.0,0.0,0.0
2021-05-20,14.8,14.8,14.8,14.67,380.0,0.2,0.20311442112390665
2021-05-21,14.69,14.81,14.81,14.6,5530.0,-0.74,-0.7432432432432523
2021-05-24,14.69,14.69,14.8,14.65,1560.0,0.0,0.0
2021-05-25,14.7,14.7,14.7,14.55,28940.0,0.07,0.0680735194009463
2021-05-26,14.6,14.6,14.61,14.6,1680.0,-0.68,-0.6802721088435382
2021-05-27,14.6,14.51,14.6,14.51,440.0,0.0,0.0
2021-05-28,14.54,14.55,14.55,14.5,1320.0,-0.41,-0.4109589041095929
2021-05-31,14.6,14.54,14.6,14.5,3040.0,0.41,0.4126547455295837
2021-06-01,14.6,14.82,14.82,14.6,1500.0,0.0,0.0
2021-06-02,14.6,14.84,14.84,14.5,1090.0,0.0,0.0
2021-06-03,14.6,14.83,14.83,14.55,330.0,0.0,0.0
2021-06-04,14.6,14.6,14.6,14.51,2320.0,0.0,0.0
2021-06-07,14.6,14.8,14.8,14.6,3310.0,0.0,0.0
2021-06-08,14.54,14.59,14.59,14.54,670.0,-0.41,-0.4109589041095929
2021-06-09,14.6,14.54,14.6,14.54,1240.0,0.41,0.4126547455295837
2021-06-10,14.6,14.6,14.6,14.6,160.0,0.0,0.0
2021-06-11,14.7,14.6,14.79,14.6,4610.0,0.68,0.6849315068493178
2021-06-14,14.7,14.85,14.85,14.7,210.0,0.0,0.0
2021-06-15,14.59,14.7,14.7,14.59,250.0,-0.75,-0.7482993197278853
2021-06-16,14.6,14.6,14.6,14.59,2690.0,0.07,0.06854009595613775
2021-06-17,14.8,14.8,14.8,14.8,200.0,1.37,1.3698630136986356
2021-06-18,14.58,14.6,14.6,14.58,540.0,-1.49,-1.4864864864864935
2021-06-21,14.6,14.6,14.6,14.6,2500.0,0.14,0.137174211248281
2021-06-22,14.51,14.51,14.51,14.51,350.0,-0.62,-0.6164383561643838
2021-06-23,14.6,14.51,14.79,14.51,1900.0,0.62,0.6202618883528688
2021-06-24,14.6,14.6,14.6,14.6,2100.0,0.0,0.0
2021-06-25,14.7,14.58,14.7,14.57,3270.0,0.68,0.6849315068493178
2021-06-28,14.58,14.7,14.7,14.5,1340.0,-0.82,-0.8163265306122436
2021-06-29,14.7,14.5,14.7,14.5,1580.0,0.82,0.8230452674897082
2021-06-30,14.7,14.7,14.75,14.7,5390.0,0.0,0.0
2021-07-01,14.85,14.79,14.9,14.79,5900.0,1.02,1.0204081632653184
2021-07-02,14.85,14.58,14.85,14.5,10620.0,0.0,0.0
2021-07-05,14.85,14.85,14.85,14.85,500.0,0.0,0.0
2021-07-07,14.6,14.6,14.6,14.6,460.0,0.0,0.0
2021-07-08,14.8,14.8,14.87,14.8,11360.0,1.37,1.3698630136986356
2021-07-09,14.8,14.8,14.8,14.6,610.0,0.0,0.0
2021-07-12,14.79,14.8,14.8,14.6,6450.0,-0.07,-0.06756756756758353
2021-07-13,14.65,14.42,14.65,14.4,640.0,-0.95,-0.9465855307640214
2021-07-14,14.65,14.7,14.7,14.65,680.0,0.0,0.0
2021-07-15,14.65,14.65,14.65,14.65,70.0,0.0,0.0
2021-07-16,14.65,14.6,14.65,14.6,210.0,0.0,0.0
2021-07-19,14.65,14.65,14.65,14.65,20.0,0.0,0.0
2021-07-22,14.65,14.65,14.65,14.5,1130.0,0.0,0.0
2021-07-23,14.7,14.65,14.7,14.65,520.0,0.34,0.3412969283276279
2021-07-26,14.7,14.66,14.7,14.4,1160.0,0.0,0.0
2021-07-27,14.7,14.6,14.7,14.6,800.0,0.0,0.0
2021-07-28,14.65,14.7,14.7,14.65,300.0,-0.34,-0.340136054421758
2021-07-29,14.75,14.59,14.75,14.58,3110.0,0.68,0.682593856655278
2021-07-30,14.85,14.78,14.85,14.78,3460.0,0.68,0.6779661016949046
2021-08-02,14.8,14.8,14.8,14.8,200.0,-0.34,-0.33670033670032407
2021-08-03,14.8,14.8,14.8,14.8,400.0,0.0,0.0
2021-08-04,14.8,14.8,14.8,14.7,12890.0,0.0,0.0
2021-08-05,14.84,14.83,15.0,14.83,29570.0,0.27,0.2702702702702675
2021-08-09,14.9,14.84,14.9,14.84,0.0,0.4,0.40431266846361336
2021-08-11,14.9,14.7,14.9,14.66,200.0,0.0,0.0
2021-08-12,14.9,14.66,14.9,14.65,1100.0,0.0,0.0
2021-08-16,14.9,14.85,14.9,14.66,450.0,0.0,0.0
2021-08-20,14.88,14.9,14.9,14.7,1140.0,-0.13,-0.13422818791946067
2021-08-23,14.7,14.9,14.9,14.7,5180.0,-1.21,-1.2096774193548487
2021-08-24,14.8,14.7,14.8,14.68,170.0,0.68,0.6802721088435382
2021-08-25,14.8,14.7,14.9,14.7,1330.0,0.0,0.0
2021-08-26,14.89,14.89,14.89,14.71,170.0,0.61,0.6081081081080963
