Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,22.25,22.45,22.45,22.09,12650.0,-0.85,-0.8908685968819552
2020-09-23,22.41,21.91,22.55,21.91,6830.0,0.69,0.7191011235955003
2020-09-24,22.19,22.36,22.56,22.19,7390.0,-0.97,-0.9817045961624249
2020-09-25,22.27,22.19,22.45,22.19,12960.0,0.37,0.3605227579990933
2020-09-28,22.55,22.23,22.64,22.22,16610.0,1.22,1.2572968118545136
2020-09-29,22.48,22.55,22.55,22.19,6980.0,-0.28,-0.31042128603104846
2020-09-30,22.2,22.28,22.36,22.09,12480.0,-1.25,-1.245551601423489
2020-10-02,20.64,20.27,21.18,20.0,32729.999999999996,-1.05,-1.0071942446043258
2020-10-06,21.55,21.18,21.64,21.18,7560.0,-0.42,-0.4158964879852123
2020-10-07,21.32,21.55,21.55,21.18,13080.0,-1.05,-1.0672853828306295
2020-10-08,20.91,21.32,21.32,20.91,6150.0,-1.92,-1.9230769230769273
2020-10-13,21.64,22.18,22.18,21.55,16140.0,-1.65,-1.6363636363636358
2020-10-14,21.82,21.91,21.91,21.14,2810.0,0.84,0.8317929759704246
2020-10-16,21.81,21.82,21.82,21.18,2330.0,-0.04,-0.04582951420715187
2020-10-19,21.55,21.64,21.64,21.36,3650.0,-1.21,-1.1921137093076517
2020-10-20,21.54,21.42,21.54,21.37,3240.0,-0.04,-0.046403712296994026
2020-10-21,21.41,21.55,21.55,21.38,3870.0,-0.59,-0.603528319405755
2020-10-22,21.54,21.53,21.54,21.38,2070.0,0.59,0.6071929005137644
2020-10-23,21.77,21.62,21.81,21.45,700.0,1.1,1.067780872794799
2020-10-26,21.76,21.82,21.82,21.5,4030.0000000000005,-0.04,-0.045934772622868714
2020-10-27,21.77,21.75,21.77,21.59,1140.0,0.04,0.045955882352921584
2020-10-28,21.73,21.59,21.77,21.59,2330.0,-0.21,-0.18373909049149706
2020-10-30,21.59,21.73,21.73,21.41,5660.0,-0.63,-0.644270593649332
2020-11-02,21.64,21.59,21.71,21.59,2790.0,0.21,0.23158869847150765
2020-11-03,21.63,21.73,21.73,21.5,1150.0,-0.04,-0.04621072088725198
2020-11-04,21.62,21.63,21.64,21.45,1860.0,-0.04,-0.0462320850670328
2020-11-05,21.6,21.62,21.62,21.6,650.0,-0.08,-0.09250693802035359
2020-11-06,21.68,21.62,21.72,21.45,2460.0,0.38,0.37037037037035425
2020-11-09,21.68,21.82,21.82,21.36,7830.0,0.0,0.0
2020-11-10,21.62,21.55,21.64,21.45,2730.0,-0.29,-0.276752767527666
2020-11-11,21.71,21.59,21.73,21.59,2290.0,0.42,0.4162812210915856
2020-11-12,21.79,21.72,21.79,21.55,4010.0,0.38,0.36849378166743385
2020-11-13,21.64,21.59,21.79,21.59,2170.0,-0.71,-0.6883891693437283
2020-11-17,22.64,22.32,22.98,22.26,42600.0,1.59,1.6157989228007263
2020-11-19,23.36,23.18,23.55,23.18,53800.0,1.18,1.1693373754872116
2020-11-20,23.27,23.36,23.36,23.0,17260.0,-0.39,-0.3852739726027399
2020-11-23,23.14,23.18,23.31,23.05,3030.0,-0.59,-0.5586592178770888
2020-11-24,23.04,23.14,23.18,22.73,13990.0,-0.43,-0.4321521175453813
2020-11-25,23.13,23.0,23.18,22.73,20210.0,0.39,0.390625
2020-11-26,23.18,23.37,23.64,23.18,88610.0,0.24,0.2161694768698652
2020-11-27,23.06,23.18,23.18,22.84,7430.0,-0.51,-0.5176876617773996
2020-11-30,23.09,23.03,23.16,22.91,4700.0,0.12,0.1300954032957602
2020-12-01,23.4,23.16,23.48,23.16,11120.0,1.34,1.3425725422260726
2020-12-02,23.39,23.45,23.45,23.25,9780.0,-0.04,-0.04273504273503148
2020-12-03,23.36,23.45,23.45,23.32,10900.0,-0.12,-0.1282599401453699
2020-12-04,23.35,23.36,23.41,23.25,12830.0,-0.08,-0.04280821917806987
2020-12-07,23.35,23.45,23.45,23.23,7190.0,0.04,0.0
2020-12-08,23.09,23.41,23.41,22.91,30860.0,-1.13,-1.1134903640257043
2020-12-09,22.95,23.09,23.09,22.8,6270.0,-0.59,-0.606323083585969
2020-12-10,22.91,23.03,23.07,22.82,5070.0,-0.2,-0.17429193899781703
2020-12-11,22.82,23.05,23.05,22.81,5620.0,-0.4,-0.3928415539065866
2020-12-14,22.99,22.82,23.0,22.81,3450.0,0.76,0.7449605609114673
2020-12-15,23.04,23.05,23.05,22.82,5150.0,0.2,0.21748586341887588
2020-12-16,22.99,23.02,23.02,22.84,550.0,-0.2,-0.21701388888889506
2020-12-17,22.91,22.99,22.99,22.77,5270.0,-0.36,-0.3479773814701992
2020-12-18,22.95,22.78,22.95,22.78,3700.0,0.2,0.17459624618070269
2020-12-21,23.18,22.99,23.43,22.99,12870.0,0.99,1.002178649237484
2020-12-22,23.18,23.18,23.44,22.95,2530.0,0.0,0.0
2020-12-23,23.16,23.0,23.18,23.0,2360.0,-0.08,-0.08628127696289623
2020-12-24,23.45,23.18,23.77,23.18,30580.0,1.26,1.2521588946459383
2020-12-25,23.5,23.55,23.64,23.18,8640.0,0.19,0.2132196162046851
2020-12-28,23.45,23.23,23.5,23.23,9800.0,-0.19,-0.21276595744681437
2020-12-29,23.45,23.48,23.48,23.23,4690.0,-0.04,0.0
2020-12-30,23.59,23.45,23.62,23.2,17930.0,0.62,0.5970149253731405
2020-12-31,23.27,23.61,23.61,23.27,36780.0,-1.35,-1.3565069944891928
2021-01-04,23.15,23.6,23.6,23.09,17340.0,-0.55,-0.5156854318865589
2021-01-05,23.09,23.09,23.09,23.0,8610.0,-0.24,-0.2591792656587377
2021-01-06,22.82,23.0,23.0,22.73,6330.0,-1.18,-1.1693373754872227
2021-01-07,22.75,23.18,23.18,22.65,4870.0,-0.32,-0.30674846625766694
2021-01-08,22.91,22.9,22.91,22.75,8610.0,0.72,0.7032967032966964
2021-01-11,22.82,22.86,23.08,22.82,12120.0,-0.4,-0.3928415539065866
2021-01-12,23.05,22.91,23.16,22.91,3610.0,1.0,1.0078878177037787
2021-01-13,22.99,23.09,23.09,22.95,11560.0,-0.24,-0.260303687635588
2021-01-15,23.04,23.04,23.04,23.0,6990.0,0.2,0.21748586341887588
2021-01-18,22.95,23.09,23.09,22.82,6620.0,-0.39,-0.390625
2021-01-19,22.99,23.03,23.03,22.82,610.0,0.2,0.17429193899782813
2021-01-20,23.27,22.99,23.5,22.99,28570.0,1.23,1.2179208351457138
2021-01-22,24.25,24.27,24.27,23.75,12170.0,1.02,1.041666666666674
