Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-30,3.5,3.5,3.5,3.5,560.0,0.29,0.2865329512893977
2020-10-01,3.5,3.5,3.5,3.5,40.0,0.0,0.0
2020-10-02,3.5,3.5,3.5,3.5,20.0,0.0,0.0
2020-10-05,3.47,3.47,3.47,3.47,20.0,-0.86,-0.8571428571428563
2020-10-06,3.5,3.41,3.5,3.37,30.0,0.86,0.8645533141210304
2020-10-07,3.5,3.4,3.5,3.4,20.0,0.0,0.0
2020-10-09,3.5,3.5,3.5,3.5,0.0,0.0,0.0
2020-10-12,3.5,3.4,3.5,3.4,50.0,0.0,0.0
2020-10-14,3.39,3.4,3.4,3.39,80.0,-0.29,-0.2941176470588225
2020-10-20,3.5,3.41,3.5,3.41,20.0,0.29,0.2865329512893977
2020-10-27,3.4,3.4,3.4,3.4,20.0,0.0,0.0
2020-11-03,3.39,3.39,3.39,3.39,70.0,-0.29,-0.2941176470588225
2020-11-04,3.37,3.37,3.37,3.37,2220.0,-0.59,-0.5899705014749235
2020-11-09,3.38,3.33,3.38,3.33,230.0,0.3,0.29673590504450953
2020-11-20,3.38,3.38,3.38,3.38,20.0,0.0,0.0
2020-11-24,3.34,3.34,3.34,3.34,80.0,-1.18,-1.183431952662728
2020-11-30,3.34,3.34,3.34,3.34,20.0,0.0,0.0
2020-12-01,3.31,3.34,3.34,3.31,40.0,-0.9,-0.8982035928143617
2020-12-03,3.31,3.31,3.31,3.31,50.0,0.0,0.0
2020-12-04,3.31,3.31,3.31,3.31,420.0,0.0,0.0
2020-12-07,3.31,3.31,3.31,3.22,530.0,0.0,0.0
2020-12-08,3.28,3.29,3.31,3.27,390.0,-0.91,-0.9063444108761365
2020-12-09,3.31,3.31,3.31,3.23,30.0,0.91,0.9146341463414753
2020-12-28,3.2,3.2,3.2,3.2,1370.0,-0.62,-0.6211180124223614
2020-12-30,3.2,3.11,3.2,3.11,1540.0,0.0,0.0
2021-01-05,3.2,3.11,3.2,3.02,530.0,0.0,0.0
2021-01-20,3.3,3.28,3.3,3.28,2780.0,0.61,0.6097560975609762
2021-01-21,3.3,3.3,3.3,3.3,130.0,0.0,0.0
2021-01-25,3.34,3.34,3.34,3.34,1000.0,1.21,1.21212121212122
2021-01-27,3.33,3.19,3.33,3.19,1160.0,-0.3,-0.29940119760478723
2021-01-28,3.36,3.35,3.36,3.35,1350.0,0.9,0.9009009009008917
2021-01-29,3.36,3.35,3.36,3.35,900.0,0.0,0.0
2021-02-01,3.36,3.36,3.36,3.36,1360.0,0.0,0.0
2021-02-02,3.36,3.35,3.36,3.35,1830.0,0.0,0.0
2021-02-03,3.37,3.35,3.37,3.35,1510.0,0.3,0.29761904761904656
2021-02-04,3.36,3.36,3.36,3.36,1360.0,-0.3,-0.29673590504452063
2021-02-05,3.38,3.36,3.38,3.36,1530.0,0.6,0.5952380952380931
2021-02-08,3.37,3.37,3.37,3.37,1500.0,-0.3,-0.2958579881656709
2021-02-09,3.37,3.37,3.37,3.37,1500.0,0.0,0.0
2021-02-10,3.36,3.36,3.36,3.36,1750.0,-0.3,-0.29673590504452063
2021-02-11,3.36,3.36,3.36,3.36,1750.0,0.0,0.0
2021-02-12,3.36,3.36,3.36,3.36,1750.0,0.0,0.0
2021-02-15,3.36,3.36,3.36,3.36,2000.0,0.0,0.0
2021-02-16,3.36,3.36,3.36,3.36,1750.0,0.0,0.0
2021-02-17,3.36,3.35,3.36,3.35,1770.0,0.0,0.0
2021-02-18,3.36,3.35,3.36,3.35,1760.0,0.0,0.0
2021-02-19,3.36,3.35,3.36,3.35,1290.0,0.0,0.0
2021-02-22,3.36,3.35,3.36,3.35,30.0,0.0,0.0
2021-03-05,3.34,3.35,3.36,3.34,2760.0,-0.6,-0.5952380952380931
2021-03-09,3.33,3.33,3.33,3.33,500.0,-0.3,-0.29940119760478723
2021-03-11,3.33,3.33,3.33,3.33,40.0,0.0,0.0
2021-03-31,3.29,3.28,3.29,3.24,1610.0,-1.2,-1.2012012012012074
2021-04-08,3.19,3.18,3.19,3.18,970.0,-0.31,-0.31250000000000444
2021-04-12,3.18,3.18,3.18,3.18,10.0,-0.31,-0.31347962382444194
2021-04-16,3.18,3.11,3.18,3.11,30.0,0.0,0.0
2021-04-21,3.2,3.18,3.2,3.18,1720.0,0.63,0.6289308176100628
2021-04-26,3.19,3.19,3.19,3.19,0.0,-0.31,-0.31250000000000444
2021-04-27,3.2,3.19,3.2,3.19,10480.0,0.31,0.31347962382446415
2021-05-11,3.25,3.25,3.25,3.25,1000.0,1.56,1.5625
2021-05-19,3.25,3.25,3.25,3.25,100.0,0.0,0.0
2021-05-21,3.25,3.25,3.25,3.25,500.0,0.0,0.0
2021-05-24,3.25,3.25,3.25,3.25,20.0,0.0,0.0
2021-05-26,3.25,3.25,3.25,3.16,20220.0,0.0,0.0
2021-06-01,3.25,3.25,3.25,3.24,2330.0,0.0,0.0
2021-06-07,3.33,3.29,3.33,3.29,20.0,0.0,0.0
2021-06-08,3.29,3.29,3.29,3.29,20.0,-1.2,-1.2012012012012074
2021-06-09,3.33,3.2,3.33,3.2,110.0,1.22,1.2158054711246313
2021-06-25,3.3,3.3,3.3,3.3,20.0,-0.3,-0.30211480362538623
2021-07-05,3.38,3.3,3.38,3.3,1000.0,0.0,0.0
2021-07-16,3.3,3.29,3.3,3.29,500.0,0.0,0.0
2021-08-04,3.3,3.3,3.3,3.3,20.0,0.0,0.0
2021-08-05,3.29,3.29,3.29,3.29,20.0,-0.3,-0.3030303030302939
2021-08-11,3.29,3.29,3.29,3.29,20.0,0.0,0.0
2021-08-19,3.29,3.29,3.29,3.29,40.0,0.0,0.0
2021-08-20,3.29,3.29,3.29,3.29,20.0,0.0,0.0
2021-08-25,3.29,3.28,3.29,3.28,1000.0,0.0,0.0
2021-09-01,3.29,3.29,3.29,3.29,300.0,0.0,0.0
2021-09-02,3.29,3.29,3.29,3.29,1000.0,0.0,0.0
2021-09-15,3.29,3.29,3.29,3.29,20.0,0.0,0.0
2021-09-16,3.28,3.28,3.28,3.28,10.0,-0.3,-0.3039513677811634
2021-09-17,3.29,3.29,3.29,3.29,10.0,0.3,0.3048780487804992
2021-09-22,3.28,3.28,3.28,3.28,20.0,-0.3,-0.3039513677811634
2021-09-23,3.28,3.27,3.28,3.27,40.0,0.0,0.0
2021-09-29,3.15,3.15,3.15,3.15,170.0,0.0,0.0
2021-10-05,3.07,3.07,3.07,3.07,82000.0,1.32,1.320132013201314
2021-10-06,3.07,3.07,3.07,3.07,1000.0,0.0,0.0
2021-10-07,3.05,3.05,3.05,3.05,480.0,-0.65,-0.6514657980456029
2021-10-08,3.06,3.06,3.06,3.06,0.0,0.33,0.3278688524590345
2021-10-11,3.04,2.87,3.04,2.7,830.0,-0.65,-0.6535947712418277
2021-10-21,2.99,2.99,2.99,2.99,1090.0,0.34,0.3355704697986628
2021-10-25,2.98,2.82,2.98,2.82,36690.0,-0.33,-0.33444816053512794
2021-11-05,2.97,2.97,2.97,2.97,1310.0,-0.34,-0.3355704697986517
2021-11-11,2.98,2.96,2.98,2.96,1000.0,0.34,0.33670033670032407
2021-11-15,2.95,2.95,2.95,2.95,3020.0,-1.01,-1.0067114093959662
2021-11-18,2.96,2.96,2.96,2.96,510.0,0.34,0.3389830508474523
