Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-23,60.0,58.8,60.0,58.7,250.0,2.21,2.2146507666098714
2020-09-24,61.0,59.98,61.0,59.98,370.0,1.67,1.6666666666666607
2020-09-25,61.5,61.0,61.5,60.1,1180.0,0.82,0.8196721311475308
2020-09-28,61.5,61.5,61.6,61.0,80.0,0.0,0.0
2020-09-29,61.3,61.49,61.5,60.0,450.0,-0.33,-0.3252032520325243
2020-09-30,61.0,61.01,61.55,61.0,20.0,-0.49,-0.4893964110929794
2020-10-02,58.97,57.99,58.99,55.71,850.0,-0.34,-0.338009126246408
2020-10-05,59.95,58.99,60.5,58.99,30.0,1.66,1.6618619637103649
2020-10-06,59.92,58.2,59.92,58.2,40.0,-0.05,-0.050041701417846696
2020-10-08,58.55,57.02,58.55,56.39,370.0,0.72,0.7225184930328421
2020-10-09,58.8,58.55,58.85,58.55,140.0,0.43,0.4269854824936026
2020-10-12,58.0,58.5,58.5,58.0,90.0,-1.36,-1.3605442176870652
2020-10-13,57.95,57.5,57.95,57.5,190.0,-0.09,-0.08620689655172153
2020-10-14,58.4,57.8,58.4,57.0,450.0,0.78,0.7765314926660771
2020-10-16,58.4,58.4,58.4,58.4,150.0,0.0,0.0
2020-10-19,59.4,58.4,59.49,58.4,50.0,1.71,1.7123287671232834
2020-10-20,58.4,59.5,59.5,58.4,30.0,-1.68,-1.683501683501687
2020-10-23,58.0,58.0,58.0,57.99,100.0,-0.58,-0.5827905382242093
2020-10-26,58.0,58.0,58.0,57.9,110.0,0.0,0.0
2020-10-27,57.6,58.0,58.0,57.6,10.0,-0.69,-0.6896551724137945
2020-10-28,57.1,57.1,57.1,57.1,0.0,-0.87,-0.868055555555558
2020-10-30,58.0,58.0,58.0,58.0,10.0,1.58,1.5761821366024442
2020-11-02,57.5,57.5,57.5,57.2,360.0,-0.86,-0.8620689655172376
2020-11-03,58.0,57.5,58.0,57.5,50.0,0.87,0.8695652173912993
2020-11-05,58.4,58.39,58.4,58.35,60.0,0.69,0.6896551724137945
2020-11-06,58.0,58.0,58.0,56.7,180.0,-0.68,-0.6849315068493178
2020-11-10,58.2,58.2,58.2,58.2,80.0,0.34,0.34482758620690834
2020-11-11,58.4,57.06,58.4,56.99,300.0,0.34,0.3436426116838476
2020-11-13,58.99,59.89,59.89,58.99,130.0,-1.52,-1.519198664440724
2020-11-16,58.7,58.8,59.0,58.5,130.0,-0.49,-0.4916087472452979
2020-11-17,58.9,58.8,58.9,58.0,450.0,0.34,0.34071550255536653
2020-11-23,68.14,70.24,72.27,68.14,3260.0,-0.09,-0.08797653958945162
2020-11-24,68.2,68.14,69.89,66.61,1660.0,0.09,0.08805400645730543
2020-11-25,67.3,68.2,70.0,66.16,730.0,-1.32,-1.3196480938416522
2020-11-26,66.9,67.31,67.4,65.29,890.0,-0.59,-0.5943536404160343
2020-11-27,66.7,65.71,67.5,65.5,530.0,-0.3,-0.2989536621823663
2020-11-30,67.5,66.2,67.5,65.7,1680.0,1.2,1.199400299850062
2020-12-01,69.01,67.0,69.01,67.0,1240.0,2.24,2.2370370370370374
2020-12-02,69.0,67.43,69.01,67.43,800.0,-0.01,-0.014490653528476116
2020-12-03,68.7,69.0,69.0,67.5,570.0,-0.43,-0.43478260869564966
2020-12-04,70.0,67.51,70.0,67.51,1210.0,1.89,1.8922852983988214
2020-12-07,70.0,68.35,70.0,68.35,710.0,0.0,0.0
2020-12-08,69.6,70.0,70.0,68.1,160.0,-0.57,-0.5714285714285783
2020-12-09,68.0,69.48,69.6,68.0,1020.0,-2.3,-2.298850574712641
2020-12-10,69.6,67.64,69.6,67.5,620.0,2.35,2.35294117647058
2020-12-11,69.89,68.5,69.89,67.61,70.0,0.42,0.4166666666666652
2020-12-14,68.7,67.8,69.7,67.8,310.0,-1.7,-1.7026756331377846
2020-12-15,69.89,67.95,69.89,67.0,1060.0,1.73,1.7321688500727683
2020-12-17,69.7,68.0,69.9,67.0,200.0,2.5,2.5000000000000133
2020-12-18,69.45,69.49,69.49,68.0,390.0,-0.36,-0.35868005738880493
2020-12-21,69.48,69.39,69.48,69.39,440.0,0.04,0.04319654427646924
2020-12-22,69.5,68.0,69.5,68.0,420.0,0.03,0.02878526194587394
2020-12-23,69.49,68.11,69.49,68.11,110.0,-0.01,-0.014388489208638777
2020-12-24,70.01,69.47,70.01,67.5,3190.0,0.75,0.7483091092243654
2020-12-25,71.0,70.0,72.0,70.0,1440.0,1.41,1.4140837023282282
2020-12-28,72.0,71.0,72.0,71.0,490.0,1.41,1.4084507042253502
2020-12-29,72.0,72.0,72.5,71.0,380.0,0.0,0.0
2020-12-31,70.0,69.15,71.0,68.9,410.0,0.0,0.0
2021-01-04,69.8,68.56,69.8,68.55,30.0,-0.29,-0.28571428571428914
2021-01-06,66.7,66.5,69.8,66.5,640.0,-1.91,-1.9117647058823461
2021-01-13,73.19,71.0,73.24,71.0,1110.0,0.27,0.2740101383751137
2021-01-15,73.0,73.19,73.19,71.8,30.0,-0.26,-0.25959830577947374
2021-01-20,72.89,72.9,72.9,72.89,10.0,-0.15,-0.15068493150685036
2021-01-22,68.56,69.1,69.11,68.56,150.0,-2.06,-2.0571428571428574
2021-01-25,68.56,68.56,68.56,68.5,260.0,0.0,0.0
2021-01-26,68.0,68.03,68.03,68.0,170.0,-0.82,-0.8168028004667427
2021-01-27,68.87,67.55,68.87,67.2,60.0,1.28,1.2794117647058956
2021-01-28,68.0,69.0,69.0,68.0,10.0,-1.26,-1.2632496006969696
2021-01-29,68.0,68.01,68.02,68.0,90.0,0.0,0.0
2021-02-02,69.0,68.8,70.0,68.8,400.0,-1.43,-1.4285714285714235
2021-02-03,70.0,68.0,70.0,67.8,520.0,1.45,1.449275362318847
2021-02-05,69.0,67.9,69.0,67.9,230.0,1.62,1.6200294550809957
2021-02-08,67.96,69.0,69.0,67.95,30.0,-1.51,-1.5072463768115996
2021-02-09,68.02,69.0,69.0,68.0,1560.0,0.09,0.08828722778104758
2021-02-10,68.7,69.0,69.0,68.5,1180.0,1.0,0.9997059688326981
2021-02-11,69.0,69.0,69.0,68.5,240.0,0.44,0.4366812227074135
2021-02-12,68.11,68.2,68.2,68.1,50.0,-1.29,-1.2898550724637636
2021-02-15,68.5,68.5,68.5,68.5,20.0,0.57,0.5726031419762245
2021-02-16,68.7,68.1,68.7,68.0,140.0,0.29,0.29197080291971655
2021-02-17,68.9,68.11,68.9,68.0,280.0,0.29,0.29112081513829047
2021-02-18,68.9,68.85,68.9,68.85,450.0,0.0,0.0
2021-02-19,68.99,68.85,68.99,68.85,60.0,0.13,0.13062409288822074
2021-02-23,70.69,70.7,70.78,68.8,380.0,-0.16,-0.1553672316384147
2021-02-25,70.57,68.6,70.59,68.6,40.0,-0.17,-0.16975526948649344
2021-02-26,70.5,70.54,70.54,69.0,250.0,-0.1,-0.09919229134192076
2021-03-01,71.17,69.1,71.17,69.1,620.0,0.95,0.9503546099290716
2021-03-02,72.0,70.0,73.0,70.0,610.0,1.17,1.1662217226359406
2021-03-03,72.88,72.0,72.89,72.0,360.0,1.22,1.2222222222222134
2021-03-04,74.0,72.89,74.0,72.89,1280.0,1.54,1.5367727771679496
2021-03-09,79.5,78.49,79.5,78.49,1730.0,1.42,1.415996938384989
2021-03-10,80.0,79.97,80.0,79.26,770.0,0.63,0.6289308176100628
2021-03-11,80.0,80.0,80.0,79.8,910.0,0.0,0.0
2021-03-12,79.99,79.8,80.0,79.1,360.0,-0.01,-0.012500000000004174
2021-03-16,78.49,78.5,78.5,76.0,740.0,1.67,1.6709844559585463
2021-03-17,77.0,76.14,77.0,76.14,10.0,-1.9,-1.8983309975793006
2021-03-18,77.0,77.0,77.0,75.0,460.0,0.0,0.0
2021-03-19,77.5,76.99,77.5,74.69,690.0,0.65,0.6493506493506551
2021-03-22,76.0,77.5,77.5,76.0,180.0,-1.94,-1.9354838709677469
2021-03-23,77.0,76.5,77.0,76.5,250.0,1.32,1.3157894736842035
2021-03-30,71.75,67.49,71.78,67.49,2570.0,-0.04,-0.04179437169128386
2021-03-31,71.74,71.75,71.75,69.62,1160.0,-0.01,-0.013937282229969927
2021-04-01,71.0,70.0,71.0,70.0,360.0,-1.03,-1.0315026484527423
2021-04-05,73.13,73.49,73.49,72.0,440.0,0.0,0.0
2021-04-06,74.03,73.1,74.03,73.1,1240.0,1.23,1.2306850813619707
2021-04-07,74.5,74.69,74.98,74.0,770.0,0.63,0.6348777522625859
2021-04-13,67.87,69.5,69.5,67.87,130.0,0.0,0.0
2021-04-15,65.7,65.84,65.84,65.0,300.0,-0.21,-0.21263669501823124
2021-04-16,65.7,65.0,65.84,65.0,120.0,0.0,0.0
2021-04-19,65.84,65.25,65.84,65.25,110.0,0.21,0.21308980213090578
2021-04-20,67.0,67.81,67.81,67.0,80.0,1.76,1.761846901579589
2021-04-21,67.8,67.0,67.8,67.0,300.0,1.19,1.1940298507462588
2021-04-22,67.8,67.8,67.8,67.8,40.0,0.0,0.0
2021-04-23,66.25,67.25,67.25,66.0,560.0,-2.29,-2.28613569321533
2021-04-26,65.0,67.49,67.49,65.0,180.0,-1.89,-1.8867924528301883
2021-04-27,65.0,65.0,65.0,65.0,60.0,0.0,0.0
2021-04-28,65.0,65.01,65.01,65.0,30.0,0.0,0.0
2021-05-04,66.0,65.99,66.0,65.99,50.0,0.15,0.15174506828528056
2021-05-06,66.0,64.5,66.0,64.5,10.0,0.0,0.0
2021-05-07,66.0,64.5,66.0,64.5,270.0,0.0,0.0
2021-05-17,68.99,67.89,68.99,66.01,90.0,1.49,1.4857310973815707
2021-05-18,69.99,69.99,69.99,68.0,150.0,1.45,1.4494854326714046
2021-05-19,68.5,68.5,70.99,68.5,500.0,-2.13,-2.128875553650511
2021-05-20,69.97,67.2,69.99,67.0,130.0,2.15,2.145985401459849
2021-05-21,71.5,69.97,71.5,68.0,1660.0,2.19,2.1866514220380218
2021-05-24,72.0,72.0,73.5,72.0,960.0,0.7,0.6993006993007089
2021-05-25,72.0,75.0,75.0,72.0,110.0,0.0,0.0
2021-05-26,73.0,72.0,73.0,72.0,330.0,1.39,1.388888888888884
2021-05-27,72.0,73.0,73.0,72.0,200.0,-1.37,-1.3698630136986356
2021-05-28,71.5,72.0,72.0,71.5,370.0,-0.69,-0.694444444444442
2021-05-31,71.07,71.5,71.5,71.07,60.0,-0.6,-0.6013986013986061
2021-06-01,71.5,70.02,71.5,70.02,30.0,0.61,0.6050372871816645
2021-06-03,71.56,70.5,71.56,70.5,80.0,0.08,0.08391608391609129
2021-06-04,71.56,70.5,71.56,70.5,30.0,0.0,0.0
2021-06-07,73.0,71.56,73.0,71.0,20.0,2.01,2.0122973728339932
2021-06-08,72.99,70.81,73.0,70.81,50.0,-0.01,-0.013698630136993462
2021-06-14,71.99,71.0,72.0,71.0,540.0,-1.37,-1.3700506918756017
2021-06-15,72.8,72.8,72.8,72.8,40.0,1.13,1.1251562717043972
2021-06-17,72.5,71.01,72.5,70.63,1360.0,-0.41,-0.4120879120879106
2021-06-22,72.0,70.0,72.0,69.85,80.0,0.0,0.0
2021-06-23,72.0,72.49,72.5,70.0,30.0,0.0,0.0
2021-06-25,72.39,69.84,72.39,69.84,190.0,0.54,0.5416666666666625
2021-06-28,72.18,72.18,72.18,72.18,0.0,-0.29,-0.2900953170327347
2021-06-29,71.99,71.99,71.99,71.99,0.0,-0.26,-0.2632308118592608
2021-06-30,72.5,72.0,72.5,72.0,30.0,0.71,0.708431726628711
2021-07-02,72.39,72.39,72.39,72.39,0.0,-0.15,-0.1517241379310308
2021-07-06,72.39,72.39,72.39,72.39,10.0,0.0,0.0
2021-07-07,72.0,72.39,73.0,72.0,200.0,-0.54,-0.538748445917947
2021-07-13,71.9,71.9,71.9,71.9,0.0,-0.14,-0.1388888888888773
2021-07-15,70.2,70.26,71.9,70.2,190.0,-2.36,-2.364394993045904
2021-07-16,71.9,70.26,71.9,70.26,80.0,2.42,2.4216524216524205
2021-07-22,71.8,71.8,71.9,71.8,150.0,-0.14,-0.13908205841447474
2021-07-23,71.8,71.8,71.8,71.8,150.0,0.0,0.0
2021-07-29,71.7,71.7,71.7,71.7,150.0,0.0,0.0
2021-07-30,71.7,71.7,71.7,71.7,320.0,0.0,0.0
2021-08-04,71.6,71.6,71.6,71.6,80.0,-0.14,-0.1394700139470184
2021-08-05,73.0,70.01,73.0,70.0,140.0,1.96,1.9553072625698498
2021-08-06,73.0,72.0,73.0,72.0,240.0,0.0,0.0
2021-08-16,74.95,74.5,74.95,74.5,180.0,0.0,0.0
2021-08-17,74.9,74.95,75.0,74.9,160.0,-0.07,-0.06671114076050033
