Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,6.89,6.7,6.89,6.7,1260.0,-0.14,-0.14492753623189802
2020-09-23,6.9,6.9,6.9,6.9,0.0,0.15,0.14513788098695635
2020-09-24,6.87,6.87,6.87,6.87,10.0,-0.43,-0.43478260869566077
2020-09-25,6.85,6.85,6.85,6.7,520.0,-0.29,-0.29112081513829047
2020-09-28,6.8,6.8,6.85,6.66,810.0,-0.73,-0.7299270072992692
2020-09-29,6.84,6.8,6.85,6.8,1480.0,0.59,0.588235294117645
2020-09-30,6.82,6.56,6.82,6.56,360.0,-0.29,-0.29239766081871066
2020-10-01,6.77,6.69,6.77,6.69,310.0,-0.73,-0.7331378299120339
2020-10-02,6.7,6.8,6.8,6.61,250.0,-1.03,-1.0339734121122546
2020-10-05,6.82,6.55,6.82,6.51,900.0,1.79,1.7910447761193993
2020-10-06,6.82,6.82,6.82,6.82,100.0,0.0,0.0
2020-10-07,6.8,6.8,6.8,6.8,200.0,-0.29,-0.2932551319648202
2020-10-08,6.79,6.75,6.8,6.6,310.0,-0.15,-0.14705882352941124
2020-10-09,6.75,6.79,6.79,6.6,480.0,-0.59,-0.589101620029453
2020-10-14,6.73,6.72,6.73,6.72,300.0,-0.3,-0.2962962962962945
2020-10-19,6.8,6.7,6.9,6.7,5440.0,1.04,1.0401188707280795
2020-10-20,6.9,6.9,6.91,6.8,1300.0,1.47,1.4705882352941346
2020-10-21,7.1,6.94,7.1,6.8,3530.0,2.9,2.898550724637672
2020-10-22,7.09,7.18,7.31,7.0,2530.0,-0.14,-0.14084507042253502
2020-10-23,7.2,7.1,7.2,6.9,5890.0,1.55,1.5514809590973178
2020-10-26,7.2,7.2,7.2,7.2,50.0,0.0,0.0
2020-10-27,7.0,6.9,7.19,6.9,5130.0,-2.78,-2.777777777777779
2020-10-28,7.13,7.2,7.2,6.9,360.0,1.86,1.857142857142846
2020-10-30,6.92,7.12,7.12,6.92,60.0,-2.95,-2.9453015427770013
2020-11-02,6.92,6.92,7.12,6.92,620.0,0.0,0.0
2020-11-03,7.12,7.12,7.12,7.12,0.0,2.89,2.8901734104046284
2020-11-04,7.11,7.11,7.11,7.11,40.0,-0.14,-0.1404494382022392
2020-11-09,6.92,6.95,6.95,6.92,500.0,-2.54,-2.5352112676056304
2020-11-10,7.05,6.85,7.05,6.8,2210.0,1.88,1.8786127167629951
2020-11-11,7.05,7.05,7.05,7.05,100.0,0.0,0.0
2020-11-12,7.02,7.02,7.02,7.02,100.0,-0.43,-0.42553191489361764
2020-11-17,7.01,6.81,7.01,6.81,1420.0,-0.14,-0.14245014245013454
2020-11-18,7.01,7.0,7.01,6.8,1470.0,0.0,0.0
2020-11-19,7.18,7.02,7.2,6.82,8290.0,2.43,2.4251069900142586
2020-11-20,7.0,7.2,7.26,6.97,2430.0,-2.51,-2.506963788300831
2020-11-23,7.16,7.18,7.18,6.97,1000.0,2.29,2.285714285714291
2020-11-24,7.17,7.17,7.18,6.97,730.0,0.14,0.13966480446927498
2020-11-25,7.2,7.15,7.2,7.15,3690.0,0.42,0.4184100418409997
2020-11-26,7.0,7.0,7.0,7.0,1240.0,-2.78,-2.777777777777779
2020-11-27,7.17,7.2,7.2,6.86,650.0,2.43,2.4285714285714244
2020-11-30,7.2,7.17,7.2,7.17,170.0,0.42,0.4184100418409997
2020-12-01,7.18,7.19,7.2,6.99,370.0,-0.28,-0.2777777777777879
2020-12-02,7.38,7.0,7.38,6.97,1180.0,2.79,2.785515320334264
2020-12-03,7.49,7.34,7.6,7.34,1180.0,1.49,1.4905149051490652
2020-12-07,7.27,7.27,7.27,7.27,30.0,-2.94,-2.937249666221642
2020-12-08,7.2,7.1,7.2,7.07,20.0,-0.96,-0.9628610729023324
2020-12-09,7.18,7.4,7.4,7.18,20.0,-0.28,-0.2777777777777879
2020-12-10,7.25,7.39,7.39,7.17,340.0,0.97,0.9749303621169991
2020-12-11,7.3,7.3,7.3,7.3,0.0,0.69,0.6896551724137945
2020-12-14,7.09,7.25,7.25,7.09,1010.0,-2.88,-2.876712328767128
2020-12-15,7.18,7.2,7.2,7.18,350.0,1.27,1.2693935119887145
2020-12-16,7.2,7.15,7.2,7.15,1250.0,0.28,0.278551532033422
2020-12-17,7.2,7.2,7.2,7.2,10.0,0.0,0.0
2020-12-18,7.1,7.18,7.18,7.1,360.0,-1.39,-1.388888888888895
2020-12-21,7.1,7.1,7.1,7.1,680.0,0.0,0.0
2020-12-22,7.1,7.2,7.2,7.1,1090.0,0.0,0.0
2020-12-23,7.11,7.1,7.11,7.1,1150.0,0.14,0.14084507042253502
2020-12-24,7.0,7.2,7.2,7.0,5580.0,-1.55,-1.5471167369901617
2020-12-25,6.99,7.1,7.1,6.99,580.0,-0.14,-0.14285714285714457
2020-12-28,7.0,7.0,7.0,7.0,950.0,0.14,0.14306151645206988
2020-12-29,7.0,7.0,7.0,6.99,20570.0,0.0,0.0
2020-12-31,7.07,7.27,7.3,7.07,4010.0,-2.88,-2.8846153846153855
2021-01-04,7.2,7.15,7.2,7.15,2400.0,1.84,1.8387553041018467
2021-01-05,7.3,7.2,7.3,7.2,4730.0,1.39,1.388888888888884
2021-01-06,7.2,7.39,7.39,7.2,950.0,-1.37,-1.3698630136986245
2021-01-07,7.35,7.3,7.35,7.3,2500.0,2.08,2.083333333333326
2021-01-08,7.4,7.3,7.68,7.3,74020.0,0.68,0.6802721088435382
2021-01-11,7.4,7.4,7.4,7.39,5580.0,0.0,0.0
2021-01-12,7.4,7.59,7.59,7.3,7070.0,0.0,0.0
2021-01-13,7.6,7.6,7.82,7.6,10180.0,2.7,2.7027027027026973
2021-01-15,7.7,7.8,7.8,7.7,210.0,1.32,1.3157894736842257
2021-01-19,8.22,7.99,8.22,7.99,9240.0,2.88,2.8785982478097605
2021-01-20,8.33,8.35,8.35,8.1,1580.0,1.34,1.338199513381988
2021-01-21,8.1,8.33,8.33,8.1,14820.0,-2.76,-2.7611044417767183
2021-01-22,8.1,8.2,8.2,8.02,6280.0,0.0,0.0
2021-01-25,8.2,8.1,8.2,8.1,4070.0000000000005,1.23,1.2345679012345734
2021-01-26,8.15,8.35,8.35,8.15,2110.0,-0.61,-0.609756097560965
2021-01-27,8.15,8.1,8.15,8.0,8160.0,0.0,0.0
2021-01-28,8.1,8.1,8.1,8.1,0.0,-0.61,-0.613496932515345
2021-01-29,8.29,8.3,8.3,8.06,1480.0,2.35,2.3456790123456805
2021-02-01,8.29,8.29,8.29,8.29,100.0,0.0,0.0
2021-02-02,8.15,8.29,8.29,8.15,2960.0,-1.69,-1.6887816646562026
2021-02-03,8.14,8.15,8.15,8.13,8290.0,-0.12,-0.12269938650306678
2021-02-04,8.15,8.15,8.15,8.15,70.0,0.12,0.12285012285011554
2021-02-05,8.08,8.14,8.14,8.08,11950.0,-0.86,-0.8588957055214785
2021-02-08,8.1,8.08,8.1,8.08,20.0,0.25,0.24752475247524774
2021-02-09,8.3,8.09,8.45,8.09,39290.0,2.47,2.4691358024691468
2021-02-10,8.1,8.3,8.4,8.1,930.0,-2.41,-2.4096385542168752
2021-02-11,8.3,8.34,8.34,8.29,13370.0,2.47,2.4691358024691468
2021-02-15,8.29,8.11,8.29,8.11,1360.0,-0.12,-0.1204819277108582
2021-02-17,8.1,8.1,8.1,8.08,12450.0,-2.29,-2.2919179734619988
2021-02-18,8.29,8.28,8.29,8.28,4750.0,2.35,2.3456790123456805
2021-02-19,8.2,8.2,8.2,8.19,5630.0,-1.09,-1.0856453558504175
2021-02-22,8.2,8.39,8.39,8.2,6620.0,0.0,0.0
2021-02-23,8.08,8.11,8.11,8.08,880.0,-1.46,-1.4634146341463317
2021-02-24,7.98,8.07,8.07,7.98,230.0,-1.24,-1.2376237623762387
2021-02-25,8.0,8.0,8.0,7.98,400.0,0.25,0.25062656641603454
2021-02-26,8.1,8.0,8.1,8.0,600.0,1.25,1.2499999999999956
2021-03-01,7.86,8.09,8.09,7.86,8270.0,-2.96,-2.962962962962956
2021-03-02,7.86,7.86,7.9,7.8,5780.0,0.0,0.0
2021-03-03,7.81,7.81,8.0,7.81,15150.0,-0.64,-0.6361323155216425
2021-03-05,8.26,8.24,8.45,8.1,5490.0,0.24,0.24271844660193054
2021-03-08,8.3,8.27,8.3,8.26,4010.0,0.48,0.4842615012106588
2021-03-09,8.4,8.3,8.4,8.3,11040.0,1.2,1.2048192771084265
2021-03-10,8.3,8.39,8.39,8.3,1210.0,-1.19,-1.1904761904761862
2021-03-11,8.49,8.3,8.49,8.3,2400.0,2.29,2.289156626506017
2021-03-12,8.48,8.35,8.49,8.26,14040.0,-0.12,-0.11778563015312216
2021-03-15,8.44,8.3,8.47,8.3,7220.0,-0.47,-0.4716981132075526
2021-03-16,8.44,8.39,8.44,8.3,3820.0,0.0,0.0
2021-03-18,8.45,8.3,8.45,8.3,3180.0,0.12,0.11848341232227888
2021-03-22,8.3,8.3,8.3,8.3,130.0,-1.78,-1.7751479289940697
2021-03-23,8.3,8.43,8.43,8.3,450.0,0.0,0.0
2021-03-24,8.35,8.3,8.35,8.3,3510.0,0.6,0.6024096385542022
