Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,1.38,1.34,1.38,1.34,3150.0,2.99,2.985074626865658
2020-09-23,1.42,1.38,1.42,1.38,10550.0,2.9,2.898550724637694
2020-09-24,1.46,1.42,1.46,1.42,12630.0,2.82,2.8169014084507005
2020-09-25,1.5,1.48,1.5,1.44,1980.0,2.74,2.7397260273972712
2020-09-28,1.38,1.38,1.5,1.38,350.0,-8.0,-8.000000000000007
2020-09-29,1.42,1.34,1.42,1.34,680.0,2.9,2.898550724637694
2020-09-30,1.46,1.46,1.46,1.42,900.0,2.82,2.8169014084507005
2020-10-01,1.42,1.42,1.42,1.42,10.0,-2.74,-2.73972602739726
2020-10-02,1.38,1.38,1.38,1.38,1010.0,-2.82,-2.8169014084507116
2020-10-05,1.39,1.39,1.39,1.34,2930.0,0.72,0.7246376811594235
2020-10-07,1.3,1.34,1.34,1.3,790.0,-6.47,-6.474820143884886
2020-10-08,1.25,1.25,1.25,1.25,1130.0,-3.85,-3.8461538461538547
2020-10-09,1.19,1.22,1.25,1.19,11900.0,-4.8,-4.800000000000004
2020-10-12,1.19,1.19,1.19,1.19,400.0,0.0,0.0
2020-10-13,1.16,1.19,1.19,1.16,4460.0,-2.52,-2.5210084033613467
2020-10-14,1.16,1.13,1.17,1.13,3220.0,0.0,0.0
2020-10-16,1.13,1.16,1.16,1.13,800.0,-2.59,-2.5862068965517238
2020-10-19,1.1,1.12,1.15,1.1,2970.0,-2.65,-2.65486725663715
2020-10-20,1.13,1.1,1.13,1.08,2000.0,2.73,2.7272727272727115
2020-10-21,1.12,1.18,1.18,1.12,170.0,-0.88,-0.8849557522123686
2020-10-22,1.15,1.12,1.15,1.09,470.0,2.68,2.678571428571419
2020-10-23,1.18,1.18,1.18,1.18,10.0,2.61,2.60869565217392
2020-10-27,1.18,1.18,1.18,1.18,500.0,0.0,0.0
2020-10-30,1.18,1.18,1.18,1.18,500.0,0.0,0.0
2020-11-03,1.18,1.18,1.18,1.18,100.0,0.0,0.0
2020-11-05,1.19,1.16,1.19,1.16,30.0,0.85,0.8474576271186418
2020-11-12,1.18,1.18,1.18,1.16,680.0,-0.84,-0.8403361344537785
2020-11-16,1.18,1.18,1.18,1.18,40.0,0.0,0.0
2020-11-17,1.15,1.15,1.15,1.15,1000.0,-2.54,-2.5423728813559365
2020-11-18,1.1,1.11,1.14,1.1,7200.0,-4.35,-4.347826086956507
2020-11-19,1.14,1.1,1.14,1.1,120.0,3.64,3.6363636363636154
2020-11-20,1.17,1.17,1.17,1.17,150.0,2.63,2.6315789473684292
2020-11-23,1.14,1.18,1.19,1.14,3200.0,-2.56,-2.564102564102566
2020-11-24,1.12,1.11,1.12,1.11,350.0,-1.75,-1.754385964912264
2020-11-26,1.15,1.11,1.15,1.11,20.0,2.68,2.678571428571419
2020-11-30,1.15,1.15,1.15,1.15,180.0,0.0,0.0
2020-12-01,1.12,1.19,1.19,1.12,260.0,-2.61,-2.608695652173898
2020-12-02,1.11,1.09,1.11,1.09,170.0,-0.89,-0.8928571428571397
2020-12-03,1.08,1.1,1.1,1.08,1370.0,-2.7,-2.7027027027027084
2020-12-04,1.08,1.08,1.08,1.08,30.0,0.0,0.0
2020-12-07,1.11,1.11,1.11,1.05,4680.0,2.78,2.77777777777779
