Date,Price,Open,High,Low,Vol.,Change %,Return
2020-12-09,0.14,0.14,0.14,0.14,4390.0,0.0,0.0
2020-12-22,0.14,0.14,0.14,0.14,5000.0,0.0,0.0
2021-01-25,0.14,0.14,0.14,0.14,10.0,0.0,0.0
2021-02-08,0.14,0.14,0.14,0.14,200.0,0.0,0.0
2021-03-08,0.27,0.27,0.27,0.27,1000.0,0.0,0.0
2021-03-09,0.28,0.28,0.28,0.28,1270.0,3.7,3.703703703703698
2021-03-10,0.28,0.28,0.28,0.28,1000.0,0.0,0.0
2021-03-11,0.28,0.28,0.28,0.28,2000.0,0.0,0.0
2021-03-15,0.29,0.29,0.29,0.29,500.0,3.57,3.5714285714285587
2021-05-20,0.29,0.29,0.29,0.29,0.0,0.0,0.0
2021-05-21,0.29,0.29,0.29,0.29,0.0,0.0,0.0
2021-05-28,0.29,0.29,0.29,0.29,0.0,0.0,0.0
2021-06-04,0.29,0.29,0.29,0.29,0.0,0.0,0.0
2021-08-27,0.21,0.21,0.21,0.21,10.0,-4.55,-4.545454545454552
2021-10-14,0.21,0.21,0.21,0.21,100.0,0.0,0.0
2021-11-05,0.21,0.21,0.21,0.21,400.0,0.0,0.0
2021-11-10,0.21,0.21,0.21,0.21,390.0,0.0,0.0
2021-12-16,0.2,0.2,0.2,0.2,5080.0,-4.76,-4.761904761904756
2022-01-12,0.19,0.19,0.19,0.19,20.0,-5.0,-5.000000000000004
2022-02-28,0.18,0.18,0.18,0.18,200.0,-5.26,-5.263157894736848
2022-03-01,0.18,0.18,0.18,0.18,10.0,0.0,0.0
2022-03-09,0.18,0.18,0.18,0.18,30000.0,0.0,0.0
2022-03-14,0.2,0.2,0.2,0.2,60.0,11.11,11.111111111111116
2022-03-31,0.21,0.21,0.21,0.21,0.0,-16.0,-16.000000000000004
2022-04-04,0.2,0.2,0.2,0.2,10.0,-4.76,-4.761904761904756
2022-04-19,0.15,0.15,0.15,0.15,10.0,-6.25,-6.25
2022-04-20,0.15,0.15,0.15,0.15,1000.0,0.0,0.0
2022-04-21,0.15,0.15,0.15,0.15,2140.0,0.0,0.0
2022-04-25,0.14,0.14,0.14,0.14,20.0,-6.67,-6.666666666666654
2022-04-26,0.13,0.13,0.13,0.13,6140.0,-7.14,-7.142857142857151
2022-05-09,0.17,0.17,0.17,0.17,11150.0,6.25,6.25
2022-05-11,0.19,0.19,0.19,0.19,9150.0,11.76,11.764705882352944
2022-05-12,0.2,0.2,0.2,0.2,4150.0,5.26,5.263157894736836
2022-05-24,0.28,0.28,0.28,0.28,1350.0,7.69,7.692307692307709
2022-06-02,0.34,0.34,0.34,0.34,560.0,0.0,0.0
2022-06-03,0.33,0.33,0.33,0.33,7000.0,-2.94,-2.941176470588236
2022-06-30,0.22,0.22,0.22,0.22,4180.0,4.76,4.761904761904767
2022-07-04,0.24,0.24,0.24,0.24,1000.0,9.09,9.090909090909083
2022-07-07,0.25,0.25,0.25,0.25,840.0,4.17,4.166666666666674
2022-07-12,0.26,0.26,0.26,0.26,1110.0,4.0,4.0000000000000036
2022-08-12,0.22,0.22,0.22,0.22,50.0,-15.38,-15.384615384615385
2022-08-17,0.21,0.21,0.21,0.21,150.0,-4.55,-4.545454545454552
2022-08-18,0.2,0.2,0.2,0.2,120.0,-4.76,-4.761904761904756
2022-08-19,0.19,0.19,0.19,0.19,120.0,-5.0,-5.000000000000004
2022-08-22,0.18,0.18,0.18,0.18,250.0,-5.26,-5.263157894736848
2022-08-24,0.17,0.17,0.17,0.17,450.0,-5.56,-5.5555555555555465
2022-08-25,0.18,0.18,0.18,0.18,1000.0,5.88,5.88235294117645
2022-08-26,0.18,0.18,0.18,0.18,1500.0,0.0,0.0
2022-08-29,0.19,0.19,0.19,0.19,230.0,5.56,5.555555555555558
2022-09-07,0.21,0.21,0.21,0.21,700.0,10.53,10.526315789473673
2022-09-14,0.18,0.18,0.18,0.18,10000.0,-14.29,-14.28571428571429
2022-09-15,0.17,0.17,0.17,0.17,170.0,-5.56,-5.5555555555555465
2022-09-16,0.16,0.16,0.16,0.16,10230.0,-5.88,-5.882352941176472
2022-09-19,0.15,0.15,0.15,0.15,820.0,-6.25,-6.25
2022-09-20,0.15,0.15,0.15,0.15,200.0,0.0,0.0
2022-09-21,0.15,0.15,0.15,0.15,1000.0,0.0,0.0
2022-09-23,0.17,0.17,0.17,0.17,10000.0,13.33,13.333333333333353
2022-10-12,0.16,0.16,0.16,0.16,1120.0,-5.88,-5.882352941176472
2022-10-13,0.15,0.15,0.15,0.15,1100.0,-6.25,-6.25
2022-10-14,0.15,0.15,0.15,0.15,750.0,0.0,0.0
2022-10-19,0.16,0.16,0.16,0.16,10000.0,6.67,6.666666666666665
2022-10-24,0.15,0.15,0.15,0.15,3320.0,-6.25,-6.25
2022-10-31,0.14,0.14,0.14,0.14,420.0,-6.67,-6.666666666666654
2022-11-01,0.14,0.14,0.14,0.14,5450.0,0.0,0.0
2022-11-02,0.15,0.15,0.15,0.15,20000.0,7.14,7.14285714285714
2022-11-03,0.16,0.16,0.16,0.16,230.0,6.67,6.666666666666665
2022-11-04,0.17,0.17,0.17,0.17,9010.0,6.25,6.25
2022-11-07,0.17,0.17,0.17,0.17,270.0,0.0,0.0
2022-11-08,0.17,0.17,0.17,0.17,280.0,0.0,0.0
2022-11-16,0.17,0.17,0.17,0.17,80.0,0.0,0.0
2022-11-21,0.17,0.17,0.17,0.17,140.0,0.0,0.0
2022-12-07,0.15,0.15,0.15,0.15,3000.0,-11.76,-11.764705882352954
2022-12-21,0.13,0.13,0.13,0.13,5000.0,-13.33,-13.33333333333333
2022-12-23,0.13,0.13,0.13,0.13,1000.0,0.0,0.0
2022-12-26,0.13,0.13,0.13,0.13,2000.0,0.0,0.0
2022-12-29,0.12,0.12,0.12,0.12,10250.0,-7.69,-7.692307692307699
2023-01-05,0.12,0.12,0.12,0.12,1360.0,0.0,0.0
2023-01-17,0.11,0.11,0.11,0.11,10000.0,-8.33,-8.333333333333325
2023-01-18,0.12,0.12,0.12,0.12,500.0,9.09,9.090909090909083
2023-01-24,0.15,0.15,0.15,0.15,150.0,0.0,0.0
2023-01-26,0.15,0.15,0.15,0.15,10.0,0.0,0.0
2023-02-02,0.15,0.15,0.15,0.15,1110.0,0.0,0.0
2023-02-03,0.15,0.15,0.15,0.15,1480.0,0.0,0.0
2023-02-16,0.16,0.16,0.16,0.16,10.0,6.67,6.666666666666665
2023-05-08,0.15,0.15,0.15,0.15,300.0,-6.25,-6.25
2023-05-09,0.14,0.14,0.14,0.14,360.0,-6.67,-6.666666666666654
2023-05-24,0.15,0.15,0.15,0.15,0.0,7.14,7.14285714285714
2023-05-26,0.15,0.15,0.15,0.15,500.0,0.0,0.0
2023-06-21,0.15,0.15,0.15,0.15,10.0,0.0,0.0
2023-06-22,0.14,0.14,0.14,0.14,1110.0,-6.67,-6.666666666666654
2023-06-23,0.13,0.13,0.13,0.13,1090.0,-7.14,-7.142857142857151
2023-06-26,0.13,0.13,0.13,0.13,300.0,0.0,0.0
2023-07-10,0.12,0.12,0.12,0.12,560.0,-7.69,-7.692307692307699
2023-07-11,0.12,0.12,0.12,0.12,530.0,0.0,0.0
2023-07-13,0.12,0.12,0.12,0.12,260.0,0.0,0.0
2023-07-14,0.12,0.12,0.12,0.12,70.0,0.0,0.0
2023-07-17,0.12,0.12,0.12,0.12,20.0,0.0,0.0
2023-07-18,0.11,0.11,0.11,0.11,2690.0,-8.33,-8.333333333333325
2023-07-21,0.12,0.12,0.12,0.12,1180.0,9.09,9.090909090909083
2023-07-27,0.13,0.13,0.13,0.13,10.0,8.33,8.333333333333348
2023-09-08,0.14,0.14,0.14,0.14,0.0,7.69,7.692307692307709
